ortho,phon,lemme,Lexique383 cgram,Lexique383 freqlemfilms2,Lexique383 freqfilms2,Lexique383 islem,Lexique383 nblettres,Lexique383 puorth,Lexique383 puphon,Lexique383 nbsyll,Lexique383 cgramortho,Megalex-auditory rt.m,Megalex-auditory rt.sd,Megalex-auditory rt.n,Megalex-auditory zrt.m,Megalex-auditory zrt.sd,Megalex-auditory zrt.n,Megalex-auditory acy,Megalex-auditory acy.n,Megalex-auditory nbphon,Megalex-auditory puPhon,Megalex-auditory pld20,Megalex-auditory accd,Megalex-auditory fb,Megalex-auditory ff,Megalex-auditory ft,node,freqlemfilms2,freqlemlivres,freqfilms2,freqlivres,all,replace,delins
abaisse,abEs,abaisse,NOM,0.02,0.02,1,7,7,4,2,"NOM,VER",1173.4126,136.20914,34,0.5866685304,0.6304898,34,0.7446809,47,4,4,1.7,644,3.44999999,1.3,4.75,26,0.02,0.0,0.02,0.0,25,8,17
abaisse,abEs,abaisser,VER,4.93,1.28,0,7,7,4,2,"NOM,VER",1173.4126,136.20914,34,0.5866685304,0.6304898,34,0.7446809,47,4,4,1.7,644,3.44999999,1.3,4.75,27,4.93,18.04,1.28,3.45,25,8,17
abaisser,abese,abaisser,VER,4.93,1.09,1,8,8,5,3,VER,944.977,120.62847,46,-0.7548936363,0.5949154,46,0.9787234,47,5,3,1.85,572,2.91000002,1.09,4.0,31,4.93,18.04,1.09,2.91,16,6,10
abandon,ab@d§,abandon,NOM,4.84,4.77,1,7,7,5,3,NOM,1059.7873,161.32113,45,-0.0630686477,0.8824965,45,1.0,45,5,5,2.85,550,25.19999992,4.77,29.97,51,4.84,27.36,4.77,25.2,1,1,0
abat,aba,abat,NOM,0.65,0.13,1,4,4,3,2,"NOM,VER",975.8492,148.45848,40,-0.5891748822,0.7317724,40,0.8695652,46,3,3,1.0,389,5.12999994,2.28,7.41,102,0.65,1.01,0.13,0.2,75,39,36
abat,aba,abattre,VER,43.47,2.15,0,4,4,3,2,"NOM,VER",975.8492,148.45848,40,-0.5891748822,0.7317724,40,0.8695652,46,3,3,1.0,389,5.12999994,2.28,7.41,103,43.47,50.61,2.15,4.93,75,39,36
abatis,abati,abatis,NOM,0.0,0.0,1,6,5,5,3,NOM,1059.2976,159.83451,33,0.1194318851,0.7970156,33,0.7777778,45,5,5,1.65,641,0.88,0.0,0.88,107,0.0,0.88,0.0,0.88,56,36,20
abattage,abataZ,abattage,NOM,0.65,0.63,1,8,7,6,3,NOM,1193.5857,196.49049,37,0.8693559394,0.9670641,37,0.9302326,43,6,6,1.95,848,1.15,0.63,1.78,110,0.65,1.28,0.63,1.15,2,0,2
abattait,abatE,abattre,VER,43.47,0.42,0,8,0,0,3,VER,1065.4021,199.1707,44,-0.0793702257,0.968891,44,0.9782609,46,5,5,1.8,610,3.44999999,0.42,3.87,114,43.47,50.61,0.42,3.45,41,28,13
abattant,abat@,abattant,NOM,0.07,0.05,1,8,7,5,3,"NOM,VER",972.4212,142.52826,41,-0.5397805854,0.799709,41,0.8913043,46,5,5,1.7,513,2.49999996,0.36,2.86,115,0.07,0.61,0.05,0.54,35,25,10
abattant,abat@,abattre,VER,43.47,0.31,0,8,7,5,3,"NOM,VER",972.4212,142.52826,41,-0.5397805854,0.799709,41,0.8913043,46,5,5,1.7,513,2.49999996,0.36,2.86,116,43.47,50.61,0.31,1.96,35,25,10
abattent,abat,abattre,VER,43.47,0.69,0,8,0,0,2,VER,1137.5556,174.68648,36,0.3930640726,0.9186179,36,0.8444444,45,4,4,1.6,599,2.03000001,0.69,2.72,121,43.47,50.61,0.69,2.03,49,12,37
abattez,abate,abattre,VER,43.47,2.21,0,7,0,0,3,VER,1103.9154,213.83303,40,0.2827179272,1.064465,40,0.9111111,45,5,5,1.65,560,0.0,2.21,2.21,125,43.47,50.61,2.21,0.0,51,38,13
abattoir,abatwaR,abattoir,NOM,3.16,2.67,1,8,6,5,3,NOM,1028.2805,150.71219,45,-0.1267338542,0.8383407,45,1.0,47,7,5,2.1,806,2.36000002,2.67,5.03,132,3.16,4.66,2.67,2.36,5,2,3
abattra,abatRa,abattre,VER,43.47,1.51,0,7,0,0,3,VER,1034.7551,120.92044,45,0.0178445794,0.6803265,45,0.9782609,46,6,6,1.95,663,0.61000001,1.51,2.12,135,43.47,50.61,1.51,0.61,12,7,5
abattrait,abatRE,abattre,VER,43.47,0.63,0,9,0,0,3,VER,1050.2887,135.84228,40,-0.11663125,0.6825167,40,0.9302326,43,6,6,2.25,616,0.40999999,0.63,1.04,139,43.47,50.61,0.63,0.41,15,5,10
abattre,abatR,abattre,VER,43.47,14.43,1,7,6,5,2,VER,996.4494,138.16155,48,-0.5165214992,0.6296802,48,1.0,49,5,5,1.6,633,14.32000017,14.43,28.75,141,43.47,50.61,14.43,14.32,44,23,21
abattront,abatR§,abattre,VER,43.47,0.34,0,9,0,0,3,VER,1128.3228,181.92067,37,0.3322663728,0.9134899,37,0.826087,46,6,6,2.95,633,0.07000001,0.34,0.41,145,43.47,50.61,0.34,0.07,13,8,5
abattu,abaty,abattu,ADJ,2.51,1.82,1,6,6,5,3,"VER,ADJ,NOM",972.6543,168.73649,46,-0.5826401393,0.8035041,46,1.0,46,5,5,1.75,548,12.42999992,13.48,25.91,147,2.51,7.09,1.82,3.78,40,16,24
abattu,abaty,abattu,ADJ,2.51,1.82,1,6,6,5,3,"VER,ADJ,NOM",972.6543,168.73649,46,-0.5826401393,0.8035041,46,1.0,46,5,5,1.75,548,12.42999992,13.48,25.91,148,0.53,1.42,0.18,1.22,40,16,24
abattu,abaty,abattu,NOM,0.53,0.18,1,6,6,5,3,"VER,ADJ,NOM",972.6543,168.73649,46,-0.5826401393,0.8035041,46,1.0,46,5,5,1.75,548,12.42999992,13.48,25.91,147,2.51,7.09,1.82,3.78,40,16,24
abattu,abaty,abattu,NOM,0.53,0.18,1,6,6,5,3,"VER,ADJ,NOM",972.6543,168.73649,46,-0.5826401393,0.8035041,46,1.0,46,5,5,1.75,548,12.42999992,13.48,25.91,148,0.53,1.42,0.18,1.22,40,16,24
abattu,abaty,abattre,VER,43.47,11.48,0,6,6,5,3,"VER,ADJ,NOM",972.6543,168.73649,46,-0.5826401393,0.8035041,46,1.0,46,5,5,1.75,548,12.42999992,13.48,25.91,146,43.47,50.61,11.48,7.43,40,16,24
abbaye,abei,abbaye,NOM,3.94,3.66,1,6,5,4,3,NOM,1047.4108,161.832,39,-0.0073488982,0.9061017,39,0.8,50,4,4,1.8,620,3.31,3.66,6.97,161,3.94,3.78,3.66,3.31,17,6,11
abcès,apsE,abcès,NOM,1.79,1.79,1,5,4,4,2,NOM,1129.0333,155.61121,40,0.4785279462,0.8024718,40,0.8695652,46,4,4,1.8,535,3.31,1.79,5.1,168,1.79,3.31,1.79,3.31,18,15,3
abdos,abdo,abdos,NOM,0.86,0.86,1,5,5,4,2,NOM,940.6328,130.06404,49,-0.811492595,0.6571571,49,0.98,50,4,4,1.9,528,0.0,0.86,0.86,191,0.86,0.0,0.86,0.0,4,2,2
abeille,abEj,abeille,NOM,9.11,3.53,1,7,4,4,2,NOM,925.493,89.01301,42,-0.8041743492,0.5182915,42,1.0,42,4,4,1.95,585,3.17999998,3.53,6.71,194,9.11,9.86,3.53,3.18,11,11,0
aberrant,abER@,aberrer,VER,0.0,0.0,0,8,7,5,3,"ADJ,VER",972.7939,156.29579,41,-0.5914451286,0.9186672,41,0.9534884,43,5,5,1.9,561,1.28000002,0.58,1.86,198,0.0,0.2,0.0,0.2,7,5,2
aberrant,abER@,aberrant,ADJ,0.84,0.58,1,8,7,5,3,"ADJ,VER",972.7939,156.29579,41,-0.5914451286,0.9186672,41,0.9534884,43,5,5,1.9,561,1.28000002,0.58,1.86,197,0.84,2.5,0.58,1.08,7,5,2
abêti,abeti,abêti,ADJ,0.0,0.0,1,5,5,5,3,"ADJ,VER",1053.9038,204.43359,38,-0.0517966401,1.0820039,38,0.8297872,47,5,5,1.75,535,0.61000001,0.0,0.61,784,0.0,0.27,0.0,0.14,16,13,3
abêti,abeti,abêtir,VER,0.01,0.0,0,5,5,5,3,"ADJ,VER",1053.9038,204.43359,38,-0.0517966401,1.0820039,38,0.8297872,47,5,5,1.75,535,0.61000001,0.0,0.61,785,0.01,1.28,0.0,0.47,16,13,3
abêtir,abetiR,abêtir,VER,0.01,0.01,1,6,6,6,3,VER,1177.5764,206.06557,37,0.7837305664,1.0787627,37,0.8444444,45,6,6,1.9,716,0.54,0.01,0.55,787,0.01,1.28,0.01,0.54,9,3,6
abîma,abima,abîmer,VER,15.83,0.1,0,5,0,0,3,VER,992.695,177.90571,45,-0.5014641045,0.9691574,45,0.9787234,47,5,5,1.85,510,0.74000001,0.1,0.84,793,15.83,21.69,0.1,0.74,28,22,6
abîmaient,abimE,abîmer,VER,15.83,0.1,0,9,0,0,3,VER,963.1221,167.83652,49,-0.7023321316,0.771066,49,0.98,50,5,5,1.9,531,0.20000001,0.1,0.3,795,15.83,21.69,0.1,0.2,29,23,6
abîme,abim,abîmer,VER,15.83,2.21,0,5,5,4,2,"NOM,VER",970.843,184.17324,44,-0.7548459077,0.7830357,44,0.9565217,46,4,4,1.65,519,16.75000011,7.24,23.99,799,15.83,21.69,2.21,2.16,33,18,15
abîme,abim,abîme,NOM,6.01,5.03,1,5,5,4,2,"NOM,VER",970.843,184.17324,44,-0.7548459077,0.7830357,44,0.9565217,46,4,4,1.65,519,16.75000011,7.24,23.99,798,6.01,20.61,5.03,14.59,33,18,15
abîmer,abime,abîmer,VER,15.83,5.4,1,6,6,5,3,VER,957.812,200.83937,43,-0.8747956232,0.9265743,43,1.0,43,5,5,1.75,505,5.94999993,5.4,11.35,801,15.83,21.69,5.4,5.95,48,42,6
abîmeras,abim°Ra,abîmer,VER,15.83,0.0,0,8,0,0,4,VER,1002.3211,130.31463,44,-0.3420363195,0.5955026,44,1.0,45,6,7,4.2,651,0.14,0.0,0.14,806,15.83,21.69,0.0,0.14,9,9,0
aboie,abwa,aboyer,VER,7.43,2.91,0,5,0,4,2,VER,1038.7,157.68337,46,-0.1941019692,0.9991167,46,0.92,50,4,4,1.7,460,2.03000001,2.91,4.94,241,7.43,11.82,2.91,2.03,21,13,8
aboiement,abwam@,aboiement,NOM,1.79,0.44,1,9,5,5,3,NOM,1058.6528,202.23192,44,-0.1792428113,0.9555199,44,0.9777778,45,6,5,2.4,597,2.36000002,0.44,2.8,242,1.79,5.95,0.44,2.36,2,2,0
aboli,aboli,aboli,ADJ,0.08,0.02,1,5,5,5,3,"ADJ,VER",1027.4981,147.40013,44,-0.3617902018,0.7709113,44,0.9565217,46,5,5,1.8,497,2.69999997,1.12,3.82,250,0.08,2.57,0.02,1.28,11,9,2
aboli,aboli,abolir,VER,3.08,1.1,0,5,5,5,3,"ADJ,VER",1027.4981,147.40013,44,-0.3617902018,0.7709113,44,0.9565217,46,5,5,1.8,497,2.69999997,1.12,3.82,251,3.08,9.32,1.1,1.42,11,9,2
abolir,aboliR,abolir,VER,3.08,1.08,1,6,6,6,3,VER,1076.098,130.15068,42,0.1298307063,0.7042852,42,0.9772727,44,6,6,1.9,783,2.97000003,1.08,4.05,256,3.08,9.32,1.08,2.97,15,3,12
abolis,aboli,abolir,VER,3.08,0.14,0,6,0,5,3,"ADJ,VER",1067.3503,218.23446,38,-0.1110341109,0.9719423,38,0.8666667,45,5,5,1.8,541,0.82000001,0.14,0.96,261,3.08,9.32,0.14,0.41,11,9,2
abolis,aboli,aboli,ADJ,0.08,0.0,0,6,0,5,3,"ADJ,VER",1067.3503,218.23446,38,-0.1110341109,0.9719423,38,0.8666667,45,5,5,1.8,541,0.82000001,0.14,0.96,260,0.08,2.57,0.0,0.41,11,9,2
abolition,abolisj§,abolition,NOM,0.45,0.45,1,9,9,8,4,NOM,1140.9267,146.0475,43,0.4551731407,0.7856891,43,0.9555556,45,8,8,3.6,760,1.49000002,0.45,1.94,270,0.45,1.49,0.45,1.49,1,0,1
abondance,ab§d@s,abondance,NOM,2.76,2.76,1,9,8,6,3,NOM,1092.9061,185.06052,47,0.1658000622,0.8080379,47,1.0,47,6,6,3.5,845,9.39000006,2.76,12.15,289,2.76,9.39,2.76,9.39,6,3,3
abondant,ab§d@,abonder,VER,1.13,0.02,0,8,8,5,3,"ADJ,VER",1090.5298,193.87716,49,0.10051940870000001,0.8634528,49,0.98,50,5,5,2.8,573,1.49000002,0.11,1.6,291,1.13,4.59,0.02,0.07,12,7,5
abondant,ab§d@,abondant,ADJ,1.36,0.09,1,8,8,5,3,"ADJ,VER",1090.5298,193.87716,49,0.10051940870000001,0.8634528,49,0.98,50,5,5,2.8,573,1.49000002,0.11,1.6,290,1.36,7.03,0.09,1.42,12,7,5
abondante,ab§d@t,abondant,ADJ,1.36,0.89,0,9,0,0,3,ADJ,1122.806,160.80018,47,0.3706925407,0.7821599,47,1.0,48,6,6,3.75,803,3.44999999,0.89,4.34,292,1.36,7.03,0.89,3.45,4,1,3
abonnés,abone,abonner,VER,1.1,0.16,0,7,0,4,3,"VER,ADJ,NOM",1039.2409,109.67052,47,-0.0593919803,0.7877471,47,0.94,50,5,5,1.9,562,1.69,0.84,2.53,316,1.1,2.09,0.16,0.14,10,10,0
abonnés,abone,abonné,ADJ,0.47,0.16,0,7,0,4,3,"VER,ADJ,NOM",1039.2409,109.67052,47,-0.0593919803,0.7877471,47,0.94,50,5,5,1.9,562,1.69,0.84,2.53,317,0.47,0.0,0.16,0.0,10,10,0
abonnés,abone,abonné,ADJ,0.47,0.16,0,7,0,4,3,"VER,ADJ,NOM",1039.2409,109.67052,47,-0.0593919803,0.7877471,47,0.94,50,5,5,1.9,562,1.69,0.84,2.53,318,0.87,2.23,0.52,1.55,10,10,0
abonnés,abone,abonné,NOM,0.87,0.52,0,7,0,4,3,"VER,ADJ,NOM",1039.2409,109.67052,47,-0.0593919803,0.7877471,47,0.94,50,5,5,1.9,562,1.69,0.84,2.53,317,0.47,0.0,0.16,0.0,10,10,0
abonnés,abone,abonné,NOM,0.87,0.52,0,7,0,4,3,"VER,ADJ,NOM",1039.2409,109.67052,47,-0.0593919803,0.7877471,47,0.94,50,5,5,1.9,562,1.69,0.84,2.53,318,0.87,2.23,0.52,1.55,10,10,0
abord,abOR,abord,NOM,2.22,0.89,1,5,5,4,2,NOM,1104.6057,179.22141,45,0.2070297481,0.955794,45,0.8823529,51,4,4,1.55,568,7.29999995,0.89,8.19,319,2.22,19.05,0.89,7.3,38,13,25
aborda,abORda,aborder,VER,12.55,0.16,0,6,0,0,3,VER,1055.6314,236.91287,41,-0.1966448338,0.7911311,41,0.9761905,42,6,6,2.15,594,3.99000005,0.16,4.15,320,12.55,33.18,0.16,3.99,25,18,7
abordage,abORdaZ,abordage,NOM,1.22,1.17,1,8,7,7,3,NOM,1206.1771,184.96738,45,0.8527495862,1.0570909,45,1.0,46,7,7,2.35,821,1.42000002,1.17,2.59,323,1.22,1.49,1.17,1.42,5,1,4
abordait,abORdE,aborder,VER,12.55,0.47,0,8,0,0,3,VER,1032.8417,101.08787,45,-0.115029128,0.5872818,45,0.9791667,48,6,6,2.3,652,2.49999996,0.47,2.97,328,12.55,33.18,0.47,2.5,26,16,10
abordant,abORd@,aborder,VER,12.55,0.03,0,8,0,0,3,VER,1071.2062,199.23174,40,-0.0394147616,0.7713204,40,0.9130435,46,6,6,2.15,587,1.42000002,0.03,1.45,329,12.55,33.18,0.03,1.42,21,16,5
aborde,abORd,aborder,VER,12.55,1.76,0,6,0,0,2,VER,1017.7412,114.73952,47,-0.2881668456,0.5777644,47,0.9791667,48,5,5,1.85,636,2.36000002,1.76,4.12,330,12.55,33.18,1.76,2.36,38,13,25
aborder,abORde,aborder,VER,12.55,5.65,1,7,6,6,3,VER,1037.2966,169.70842,50,-0.0654933211,0.8573822,50,0.9803922,51,6,6,1.8,640,12.91,5.65,18.56,332,12.55,33.18,5.65,12.91,47,17,30
abouti,abuti,abouti,ADJ,0.11,0.04,1,6,6,5,3,"ADJ,VER",1030.364,185.92949,45,-0.3095439617,0.8674397,45,1.0,45,5,5,1.7,554,2.97999998,1.28,4.26,384,0.11,0.2,0.04,0.14,28,23,5
abouti,abuti,aboutir,VER,5.34,1.24,0,6,6,5,3,"ADJ,VER",1030.364,185.92949,45,-0.3095439617,0.8674397,45,1.0,45,5,5,1.7,554,2.97999998,1.28,4.26,385,5.34,25.81,1.24,2.84,28,23,5
aboutir,abutiR,aboutir,VER,5.34,1.34,1,7,7,6,3,VER,1036.5603,176.18532,47,-0.2252379792,0.8077255,47,1.0,47,6,6,1.85,746,9.80000011,1.34,11.14,388,5.34,25.81,1.34,9.8,21,6,15
aboya,abwaja,aboyer,VER,7.43,0.0,0,5,0,0,3,VER,1038.8583,173.78644,45,-0.2526610085,0.6257991,45,1.0,45,6,6,2.3,676,1.42000002,0.0,1.42,415,7.43,11.82,0.0,1.42,8,8,0
aboyait,abwajE,aboyer,VER,7.43,0.33,0,7,0,0,3,VER,1001.2504,114.50781,42,-0.3015722223,0.4960673,42,1.0,42,6,6,2.45,582,1.55,0.33,1.88,417,7.43,11.82,0.33,1.55,9,8,1
aboyant,abwaj@,aboyant,ADJ,0.01,0.01,1,7,5,6,3,"ADJ,VER",1093.7196,237.95833,43,0.0966012771,0.8203438,43,1.0,43,6,6,2.05,675,1.42000002,0.19,1.61,418,0.01,0.2,0.01,0.14,9,8,1
aboyant,abwaj@,aboyer,VER,7.43,0.18,0,7,5,6,3,"ADJ,VER",1093.7196,237.95833,43,0.0966012771,0.8203438,43,1.0,43,6,6,2.05,675,1.42000002,0.19,1.61,419,7.43,11.82,0.18,1.28,9,8,1
aboyer,abwaje,aboyer,VER,7.43,2.39,1,6,6,6,3,VER,1037.0372,168.7354,47,-0.1070238034,0.9379443,47,1.0,47,6,6,1.9,692,3.04000005,2.39,5.43,421,7.43,11.82,2.39,3.04,8,8,0
aboyeurs,abwaj9R,aboyeur,ADJ,0.03,0.0,0,8,0,6,3,"ADJ,NOM",1223.9885,220.88804,36,0.7994178932,1.154933,36,0.8604651,43,7,6,2.4,885,0.40999999,0.01,0.42,424,0.03,0.14,0.0,0.14,1,1,0
aboyeurs,abwaj9R,aboyeur,ADJ,0.03,0.0,0,8,0,6,3,"ADJ,NOM",1223.9885,220.88804,36,0.7994178932,1.154933,36,0.8604651,43,7,6,2.4,885,0.40999999,0.01,0.42,425,0.06,0.61,0.01,0.27,1,1,0
aboyeurs,abwaj9R,aboyeur,NOM,0.06,0.01,0,8,0,6,3,"ADJ,NOM",1223.9885,220.88804,36,0.7994178932,1.154933,36,0.8604651,43,7,6,2.4,885,0.40999999,0.01,0.42,424,0.03,0.14,0.0,0.14,1,1,0
aboyeurs,abwaj9R,aboyeur,NOM,0.06,0.01,0,8,0,6,3,"ADJ,NOM",1223.9885,220.88804,36,0.7994178932,1.154933,36,0.8604651,43,7,6,2.4,885,0.40999999,0.01,0.42,425,0.06,0.61,0.01,0.27,1,1,0
abrège,abREZ,abréger,VER,4.21,1.25,0,6,0,0,2,VER,1097.6532,159.15601,46,0.1564599189,0.8926819,46,0.9387755,49,5,4,2.0,703,1.28000002,1.25,2.53,543,4.21,4.86,1.25,1.28,3,3,0
abréger,abReZe,abréger,VER,4.21,1.61,1,7,6,5,3,VER,1069.1507,202.7415,46,-0.0643903474,0.884199,46,0.9787234,47,6,6,1.95,677,1.82000001,1.61,3.43,551,4.21,4.86,1.61,1.82,24,24,0
abri,abRi,abri,NOM,25.9,22.7,1,4,4,4,2,NOM,997.6248,215.2153,40,-0.5442205799,1.2170624,40,0.9090909,44,4,4,1.65,425,51.08000053,22.7,73.78,462,25.9,56.76,22.7,51.08,30,17,13
abricot,abRiko,abricot,NOM,1.24,0.5,1,7,7,6,3,"ADJ,NOM",1083.3801,125.94141,44,0.3392471028,0.8988231,44,1.0,44,6,6,1.95,637,1.83000003,0.58,2.41,465,0.08,0.68,0.08,0.68,2,0,2
abricot,abRiko,abricot,NOM,1.24,0.5,1,7,7,6,3,"ADJ,NOM",1083.3801,125.94141,44,0.3392471028,0.8988231,44,1.0,44,6,6,1.95,637,1.83000003,0.58,2.41,466,1.24,2.5,0.5,1.15,2,0,2
abricot,abRiko,abricot,ADJ,0.08,0.08,1,7,7,6,3,"ADJ,NOM",1083.3801,125.94141,44,0.3392471028,0.8988231,44,1.0,44,6,6,1.95,637,1.83000003,0.58,2.41,465,0.08,0.68,0.08,0.68,2,0,2
abricot,abRiko,abricot,ADJ,0.08,0.08,1,7,7,6,3,"ADJ,NOM",1083.3801,125.94141,44,0.3392471028,0.8988231,44,1.0,44,6,6,1.95,637,1.83000003,0.58,2.41,466,1.24,2.5,0.5,1.15,2,0,2
abritait,abRitE,abriter,VER,7.92,0.23,0,8,0,0,3,VER,1098.4969,146.23518,46,0.268740927,0.8008465,46,0.9583333,48,6,6,2.45,699,4.52999998,0.23,4.76,477,7.92,26.22,0.23,4.53,21,13,8
abritant,abRit@,abriter,VER,7.92,0.25,0,8,6,6,3,"ADJ,VER",1104.9061,157.81418,41,0.2577396048,0.8352638,41,0.9534884,43,6,6,1.95,691,1.82000001,0.26,2.08,479,7.92,26.22,0.25,1.82,21,15,6
abritant,abRit@,abritant,ADJ,0.01,0.01,1,8,6,6,3,"ADJ,VER",1104.9061,157.81418,41,0.2577396048,0.8352638,41,0.9534884,43,6,6,1.95,691,1.82000001,0.26,2.08,478,0.01,0.0,0.01,0.0,21,15,6
abrite,abRit,abriter,VER,7.92,2.09,0,6,0,0,2,VER,1017.4569,133.78571,47,-0.2281120465,0.8859777,47,1.0,47,5,5,1.85,669,2.69999997,2.09,4.79,480,7.92,26.22,2.09,2.7,22,0,22
abriter,abRite,abriter,VER,7.92,2.37,1,7,6,6,3,VER,1015.8527,150.50824,51,-0.4119196006,0.7204387,51,0.9807692,52,6,6,1.9,666,6.96000004,2.37,9.33,482,7.92,26.22,2.37,6.96,22,8,14
absence,aps@s,absence,NOM,22.86,22.02,1,7,6,5,2,NOM,1096.9939,152.64814,40,0.3019039637,0.8393958,40,0.9545455,44,5,5,1.9,786,72.50000015,22.02,94.52,572,22.86,76.28,22.02,72.5,11,7,4
absent,aps@,absent,ADJ,14.91,9.46,1,6,6,4,2,"ADJ,NOM",971.8095,126.89779,45,-0.4487448324,0.8973882,45,1.0,45,4,4,1.8,530,20.34000024,10.28,30.62,574,14.91,29.8,9.46,18.18,19,9,10
absent,aps@,absent,ADJ,14.91,9.46,1,6,6,4,2,"ADJ,NOM",971.8095,126.89779,45,-0.4487448324,0.8973882,45,1.0,45,4,4,1.8,530,20.34000024,10.28,30.62,575,1.96,5.81,0.82,2.16,19,9,10
absent,aps@,absent,NOM,1.96,0.82,1,6,6,4,2,"ADJ,NOM",971.8095,126.89779,45,-0.4487448324,0.8973882,45,1.0,45,4,4,1.8,530,20.34000024,10.28,30.62,574,14.91,29.8,9.46,18.18,19,9,10
absent,aps@,absent,NOM,1.96,0.82,1,6,6,4,2,"ADJ,NOM",971.8095,126.89779,45,-0.4487448324,0.8973882,45,1.0,45,4,4,1.8,530,20.34000024,10.28,30.62,575,1.96,5.81,0.82,2.16,19,9,10
absentait,aps@tE,absenter,VER,6.14,0.16,0,9,0,0,3,VER,1213.6645,118.43764,38,0.9556073752,0.9139382,38,0.9318182,44,6,6,2.5,768,1.15,0.16,1.31,580,6.14,6.01,0.16,1.15,13,6,7
absente,aps@t,absent,ADJ,14.91,3.49,0,7,0,0,2,"ADJ,NOM,VER",1075.8829,187.06328,44,0.1126349387,0.804596,44,0.9782609,46,5,5,1.75,698,9.40000002,5.42,14.82,582,14.91,29.8,3.49,6.22,21,7,14
absente,aps@t,absent,ADJ,14.91,3.49,0,7,0,0,2,"ADJ,NOM,VER",1075.8829,187.06328,44,0.1126349387,0.804596,44,0.9782609,46,5,5,1.75,698,9.40000002,5.42,14.82,583,1.96,5.81,0.47,1.49,21,7,14
absente,aps@t,absent,NOM,1.96,0.47,0,7,0,0,2,"ADJ,NOM,VER",1075.8829,187.06328,44,0.1126349387,0.804596,44,0.9782609,46,5,5,1.75,698,9.40000002,5.42,14.82,582,14.91,29.8,3.49,6.22,21,7,14
absente,aps@t,absent,NOM,1.96,0.47,0,7,0,0,2,"ADJ,NOM,VER",1075.8829,187.06328,44,0.1126349387,0.804596,44,0.9782609,46,5,5,1.75,698,9.40000002,5.42,14.82,583,1.96,5.81,0.47,1.49,21,7,14
absente,aps@t,absenter,VER,6.14,1.46,0,7,0,0,2,"ADJ,NOM,VER",1075.8829,187.06328,44,0.1126349387,0.804596,44,0.9782609,46,5,5,1.75,698,9.40000002,5.42,14.82,584,6.14,6.01,1.46,1.69,21,7,14
absenter,aps@te,absenter,VER,6.14,2.9,1,8,7,6,3,VER,1177.3096,165.52432,43,0.7706456557,1.0602622,43,0.9782609,46,6,6,2.0,734,1.49000002,2.9,4.39,585,6.14,6.01,2.9,1.49,12,6,6
absinthe,aps5t,absinthe,NOM,1.28,1.28,1,8,8,4,2,NOM,1160.158,135.21433,42,0.7619826999,0.8087648,42,0.9347826,46,5,5,1.95,761,2.91000002,1.28,4.19,606,1.28,2.91,1.28,2.91,12,11,1
abus,aby,abus,NOM,4.75,4.75,1,4,4,3,2,NOM,939.6696,196.95119,43,-0.8557382598,1.0436183,43,0.877551,49,3,3,1.35,337,8.58000002,4.75,13.33,731,4.75,8.58,4.75,8.58,36,25,11
abusait,abyzE,abuser,VER,20.0,0.53,0,7,0,0,3,VER,906.1713,88.65285,42,-1.0546027645,0.5219244,42,0.9767442,43,5,5,2.45,513,1.82000001,0.53,2.35,736,20.0,14.26,0.53,1.82,25,21,4
abuse,abyz,abuser,VER,20.0,4.08,0,5,0,0,2,VER,992.6726,110.28294,46,-0.4285724177,0.6709067,46,0.9787234,47,4,4,1.85,587,1.61999999,4.08,5.7,738,20.0,14.26,4.08,1.62,26,6,20
abuser,abyze,abuser,VER,20.0,5.87,1,6,6,5,3,VER,928.8672,133.03408,48,-0.8747871791,0.5653256,48,1.0,48,5,5,1.9,608,4.11999999,5.87,9.99,740,20.0,14.26,5.87,4.12,31,27,4
acajou,akaZu,acajou,ADJ,0.17,0.17,1,6,4,4,3,"ADJ,NOM",986.7952,122.77779,47,-0.3784123052,0.6910164,47,0.9791667,48,5,4,1.95,533,7.42999991,0.69,8.12,840,0.17,1.62,0.17,1.62,2,0,2
acajou,akaZu,acajou,ADJ,0.17,0.17,1,6,4,4,3,"ADJ,NOM",986.7952,122.77779,47,-0.3784123052,0.6910164,47,0.9791667,48,5,4,1.95,533,7.42999991,0.69,8.12,841,0.52,5.95,0.52,5.81,2,0,2
acajou,akaZu,acajou,NOM,0.52,0.52,1,6,4,4,3,"ADJ,NOM",986.7952,122.77779,47,-0.3784123052,0.6910164,47,0.9791667,48,5,4,1.95,533,7.42999991,0.69,8.12,840,0.17,1.62,0.17,1.62,2,0,2
acajou,akaZu,acajou,NOM,0.52,0.52,1,6,4,4,3,"ADJ,NOM",986.7952,122.77779,47,-0.3784123052,0.6910164,47,0.9791667,48,5,4,1.95,533,7.42999991,0.69,8.12,841,0.52,5.95,0.52,5.81,2,0,2
accablait,akablE,accabler,VER,5.55,0.22,0,9,0,0,3,VER,978.3076,136.68479,48,-0.540972044,0.6773015,48,1.0,48,6,6,2.5,586,3.10999998,0.22,3.33,852,5.55,21.28,0.22,3.11,23,19,4
accablant,akabl@,accablant,ADJ,1.41,0.37,1,9,7,6,3,"ADJ,VER",1021.5297,185.35253,48,-0.2941416661,0.9163329,48,0.98,50,6,6,2.35,591,2.15999998,0.42,2.58,853,1.41,5.41,0.37,1.42,21,17,4
