ortho,phon,lemme,Lexique383 cgram,Lexique383 freqlemfilms2,Lexique383 freqfilms2,Lexique383 islem,Lexique383 nblettres,Lexique383 puorth,Lexique383 puphon,Lexique383 nbsyll,Lexique383 cgramortho,Megalex-auditory rt.m,Megalex-auditory rt.sd,Megalex-auditory rt.n,Megalex-auditory zrt.m,Megalex-auditory zrt.sd,Megalex-auditory zrt.n,Megalex-auditory acy,Megalex-auditory acy.n,Megalex-auditory nbphon,Megalex-auditory puPhon,Megalex-auditory pld20,Megalex-auditory accd,Megalex-auditory fb,Megalex-auditory ff,Megalex-auditory ft,node,freqlemfilms2,freqlemlivres,freqfilms2,freqlivres,all,replace,delins
racaille,Rakaj,racaille,NOM,6.3,5.67,1,8,4,4,2,NOM,1142.0984,177.2843,46,0.4820837997,0.8639648,46,0.9791667,48,5,4,1.95,712,2.97000003,5.67,8.64,104522,6.3,2.97,5.67,2.97,2,2,0
raccord,RakOR,raccord,NOM,1.02,0.81,1,7,7,5,2,NOM,1127.9195,138.52608,44,0.5110115529,0.8148497,44,0.9166667,48,5,5,1.85,798,0.67999999,0.81,1.49,104565,1.02,1.28,0.81,0.68,16,8,8
raccrocha,RakRoSa,raccrocher,VER,28.09,0.02,0,9,0,0,3,VER,1089.5803,163.81527,45,0.1578626824,0.8265172,45,1.0,46,7,7,2.5,749,5.06999998,0.02,5.09,104601,28.09,26.08,0.02,5.07,18,14,4
raccroche,RakROS,raccrocher,VER,28.09,10.58,0,9,0,0,2,VER,1101.8829,113.92616,48,0.2879298556,0.5384508,48,1.0,48,6,5,2.4,766,5.61000001,10.58,16.19,104609,28.09,26.08,10.58,5.61,7,2,5
raccroché,RakRoSe,raccrocher,VER,28.09,6.67,0,9,0,7,3,VER,1070.4206,141.91394,45,0.017523332,0.8821161,45,1.0,45,7,7,2.25,703,4.99999999,6.67,11.67,104624,28.09,26.08,6.67,5.0,27,17,10
race,Ras,race,NOM,30.56,27.09,1,4,4,3,1,NOM,1041.9325,196.34197,41,-0.1438686975,1.0665848,41,0.8723404,47,3,3,1.0,620,28.72000034,27.09,55.81,104630,30.56,34.93,27.09,28.72,167,130,37
rachat,RaSa,rachat,NOM,1.79,1.75,1,6,5,4,2,NOM,1062.7812,170.70049,38,0.0587709258,0.9536366,38,0.8444444,45,4,4,1.4,558,0.94999999,1.75,2.7,104632,1.79,1.01,1.75,0.95,45,36,9
rachète,RaSEt,racheter,VER,17.33,1.48,0,7,0,0,2,VER,1105.8629,156.19353,47,0.3278449519,0.7946916,47,0.96,50,5,5,1.65,710,1.49000002,1.48,2.97,104658,17.33,12.91,1.48,1.49,21,16,5
racheter,RaS°te,racheter,VER,17.33,9.3,1,8,5,4,3,VER,1037.4774,118.81543,41,-0.087855611,0.6508735,41,0.9545455,44,5,6,2.65,714,6.08000004,9.3,15.38,104639,17.33,12.91,9.3,6.08,27,20,7
racial,Rasjal,racial,ADJ,3.08,0.66,1,6,6,6,2,ADJ,1211.268,157.74237,37,0.8476167569,0.8757328,37,0.8541667,48,6,6,1.9,756,0.07000001,0.66,0.73,104666,3.08,1.35,0.66,0.07,6,6,0
