idx,degree
1443,9
1447,3
1448,10
1449,9
1450,9
1457,1
1462,3
1464,4
1465,5
1467,1
1472,1
1473,1
1476,7
1477,1
1478,1
1482,13
1485,1
1486,5
1497,2
1498,9
1499,11
1501,4
1504,1
1505,3
1508,6
1510,4
1513,1
1515,2
1517,1
1524,12
1525,9
1532,3
1534,4
1539,8
1540,8
1542,6
1545,8
1547,3
1549,6
1554,1
1557,1
1564,5
1570,3
1572,2
1573,5
1576,12
1578,10
1579,1
1581,4
1584,3
1586,5
1588,13
1590,5
1593,4
1595,4
1598,15
1599,10
1600,10
1601,9
1605,1
1607,1
1610,1
1612,6
1613,4
1614,7
1615,1
1617,8
1621,18
1624,5
1627,7
1630,9
1631,4
1632,2
1633,9
1634,4
1635,3
1636,7
1637,8
1638,1
1639,3
1642,2
1643,11
1644,2
1648,17
1654,1
1655,8
1656,2
1659,5
1664,6
1668,2
1676,7
1678,8
1679,8
1681,4
1682,1
1683,2
1685,1
1687,1
1690,6
1692,2
1693,1
1694,1
1705,9
1708,5
1714,2
1715,2
1717,9
1724,4
1726,6
1728,7
1732,3
1733,3
1746,5
1753,2
1755,1
1756,8
1759,6
1761,7
1762,7
1764,1
1766,1
1770,3
1774,9
1776,3
1778,2
1781,4
1783,3
1786,3
1790,7
1800,1
1803,10
1804,2
1805,6
1810,7
1813,5
1816,5
1819,6
1820,7
1822,1
1823,7
1824,13
1825,1
1830,1
1831,6
1832,7
1836,1
1837,2
1854,7
1855,10
1856,4
1864,1
1866,10
1867,7
1869,3
1870,5
1871,2
1872,2
1877,3
1878,4
1885,1
1886,6
1887,4
1888,4
1889,1
1891,1
1893,1
1895,3
1902,1
1903,6
1904,2
1905,2
1906,4
1908,5
1909,3
1910,1
1911,7
1912,6
1913,6
1915,1
1916,2
1917,5
1918,1
1919,4
1920,5
1924,1
1925,1
1926,2
1927,1
1928,4
1930,1
1931,2
1934,8
1935,1
1936,5
1937,5
1942,5
1945,3
1947,1
1949,8
1950,4
1951,1
1952,2
1953,6
1955,4
1958,3
1960,1
1963,1
1966,3
1969,2
1970,1
1973,4
1974,4
1975,6
1976,2
1978,8
1979,10
1980,5
1981,3
1982,10
1985,1
1986,9
1988,3
1989,6
1994,5
1995,8
1996,10
2001,4
2002,4
2004,1
2007,1
2009,7
2010,12
2015,4
2020,6
2027,2
2030,1
2032,3
2035,1
2036,1
2038,10
2039,2
2045,4
2048,14
2049,3
2051,2
2053,6
2056,6
2058,1
2059,9
2060,6
2061,1
2062,4
2065,4
2066,7
2068,1
2071,4
2072,1
2073,8
2074,6
2076,6
2079,4
2083,7
2084,8
2085,1
2086,3
2087,2
2090,11
2091,4
2092,2
2094,1
2095,1
2106,3
2107,2
2111,3
2112,3
2114,6
2118,1
2119,8
2121,3
2122,8
2124,1
2126,2
2127,12
2128,11
2129,7
2133,13
2134,9
2135,11
2136,11
2137,10
2139,11
2140,2
2141,4
2143,1
2144,6
2145,6
2147,9
2149,7
2153,6
2154,8
2155,1
2158,6
2159,8
2160,2
2167,6
2171,3
2172,5
2174,11
2175,8
2181,8
2182,4
2183,4
2184,9
2185,1
2186,11
2188,4
2189,5
2190,6
2194,8
2195,1
2200,8
2201,5
2202,3
2203,6
2204,1
2206,3
2208,2
2212,1
2213,2
2214,4
2215,11
2216,1
2223,5
2225,2
2226,7
2229,1
2237,10
2238,3
2239,6
2240,5
2243,5
2244,7
2246,6
2247,7
2248,1
2250,5
2252,7
2253,8
2254,1
2256,1
2257,1
2259,2
2261,1
2262,2
2265,13
2267,3
2269,1
2272,11
2275,2
2276,11
2279,11
2281,2
2284,11
2287,2
2289,8
2290,8
2291,2
2295,3
2296,4
2298,3
2299,1
2300,1
2304,2
2307,11
2309,1
2312,12
2313,2
2316,11
2321,5
2322,2
2323,2
2324,4
2326,10
2328,14
2329,2
2335,2
2336,1
2337,1
2338,3
2344,2
2347,2
2349,9
2350,3
2353,3
2354,7
2355,2
2356,4
2358,3
2359,12
2362,3
2363,1
2369,4
2370,4
2371,1
2373,14
2375,1
2376,1
2377,4
2378,1
2379,1
2382,2
2384,1
2385,12
2386,10
2388,1
2391,21
2392,11
2397,7
2406,13
2407,4
2408,6
2411,12
2414,9
2418,10
2420,1
2422,4
2424,2
2428,9
2430,2
2431,1
2435,9
2453,11
2454,1
2456,1
2462,5
2463,5
2464,4
2470,1
2471,1
2472,1
2473,9
2483,12
2484,2
2489,12
2491,1
2494,9
2495,7
2502,3
2505,1
2510,14
2512,1
2513,1
2520,3
2522,4
2526,1
2529,2
2530,5
2532,6
2533,7
2534,9
2538,8
2539,8
2540,3
2548,1
2549,12
2550,1
2554,11
2560,7
2563,7
2564,4
2565,5
2566,2
2571,11
2579,11
2580,3
2584,1
2589,1
2591,2
2593,1
2601,1
2602,1
2603,1
2604,2
2605,1
2606,1
2608,1
2611,1
2612,1
2614,12
2615,1
2618,2
2619,1
2626,1
2629,1
2638,5
2641,1
2643,5
2644,2
2651,1
2653,2
2654,1
2655,1
2658,1
2659,1
2660,3
2662,1
2670,7
2671,3
2673,1
2674,1
2676,6
2677,2
2683,2
2685,10
2686,6
2687,3
2689,2
2692,1
2694,2
2696,4
2701,10
2702,1
2704,3
2709,3
2714,4
2715,1
2716,5
2720,1
2722,1
2723,8
2724,1
2725,1
2732,14
2733,1
2750,11
2751,7
2752,1
2756,1
2772,7
2773,8
2778,2
2779,6
2781,4
2783,1
2786,6
2791,1
2793,1
2797,10
2798,1
2800,1
2801,7
2804,2
2805,12
2806,10
2808,12
2809,1
2810,3
2811,12
2819,1
2822,7
2823,7
2831,6
2835,1
2839,4
2843,3
2845,9
2846,1
2851,4
2858,2
2860,1
2861,1
2867,2
2869,1
2871,1
2878,1
2879,1
2881,1
2882,1
2893,1
2894,3
2895,2
2896,3
2897,2
2900,3
2901,3
2902,6
2904,3
2909,5
2914,3
2916,1
2919,5
2920,4
2921,2
2922,1
2924,2
2927,1
2929,5
2932,3
2936,1
2938,5
2940,4
2946,3
2948,7
2957,4
2958,5
2959,2
2966,4
2968,5
2969,2
2972,2
2973,5
2974,4
2975,1
2976,2
2977,3
2978,3
2982,6
2983,3
2985,5
2986,4
2988,5
2993,4
2996,4
2997,3
2998,3
2999,1
3004,1
3005,5
3006,1
3007,7
3009,1
3010,4
3011,4
3012,2
3022,1
3023,4
3026,3
3027,1
3033,2
3037,7
3039,7
3044,7
3045,1
3046,3
3049,4
3053,1
3056,1
3061,6
3063,2
3065,1
3067,6
3071,1
3074,8
3076,2
3081,4
3083,6
3088,2
3096,3
3099,2
3100,2
3101,9
3102,2
3105,3
3106,2
3107,1
3108,5
3109,2
3110,2
3112,8
3113,9
3114,2
3119,3
3120,3
3121,1
3122,1
3126,1
3131,1
3133,8
3135,1
3137,1
3138,1
3144,2
3147,4
3148,2
3149,6
3150,2
3151,3
3152,2
3153,5
3154,3
3155,2
3156,1
3157,4
3158,4
3159,4
3160,1
3166,3
3169,3
3173,1
3177,1
3178,1
3179,1
3180,2
3181,1
3182,2
3205,1
3207,1
3210,6
3216,2
3219,4
3224,14
3225,9
3226,3
3229,12
3230,1
3231,3
3232,7
3233,5
3234,9
3236,11
3237,5
3238,3
3239,12
3241,4
3243,1
3248,1
3249,8
3250,3
3251,9
3252,1
3253,1
3258,3
3259,3
3264,6
3265,4
3266,5
3268,1
3269,4
3273,5
3275,4
3276,2
3277,1
3280,1
3282,1
3283,1
3284,6
3286,3
3288,11
3291,5
3292,1
3294,1
3296,2
3298,7
3299,1
3300,1
3301,3
3302,1
3303,6
3305,9
3306,11
3307,6
3308,10
3309,6
3310,4
3313,6
3314,6
3317,2
3318,6
3319,2
3320,5
3321,6
3324,2
3325,4
3326,4
3327,7
3329,3
3330,4
3331,3
3332,3
3333,9
3336,5
3337,1
3338,3
3339,1
3340,9
3343,12
3348,11
3349,2
3350,3
3352,12
3354,5
3356,9
3357,1
3358,3
3359,1
3363,6
3367,12
3374,3
3375,5
3376,1
3377,6
3378,3
3381,10
3382,4
3383,3
3384,12
3388,4
3395,1
3397,1
3398,2
3402,2
3403,2
3405,8
3417,1
3420,3
3421,1
3423,3
3424,3
3426,1
3427,1
3429,13
3430,6
3432,5
3434,1
3439,3
3440,1
3443,2
3447,2
3448,1
3449,1
3450,1
3452,6
3453,1
3456,1
3464,2
3466,1
3471,6
3474,1
3479,7
3481,2
3483,1
3484,5
3485,11
3489,3
3495,6
3499,1
3502,3
3504,1
3505,2
3507,1
3510,2
3511,4
3512,3
3515,2
3517,2
3519,1
3520,2
3521,1
3527,1
3535,1
3536,1
3539,2
3553,1
3559,1
3565,2
3570,1
3572,1
3576,1
3583,1
3595,1
3596,1
3597,1
3598,1
3600,1
3610,2
3611,1
3613,8
3615,1
3617,4
3618,3
3619,3
3620,4
3625,1
3627,2
3633,1
3634,3
3635,1
3636,2
3638,1
3639,1
3643,1
3646,1
3653,1
3655,1
3659,1
3660,1
3662,3
3665,1
3669,2
3670,1
3677,11
3679,3
3684,2
3687,1
3688,1
3691,1
3695,3
3696,1
3711,1
3713,1
3715,1
3742,2
3751,2
3755,1
3757,2
3771,2
3773,4
3778,1
3782,1
3801,1
3802,1
3810,1
3811,1
3813,1
3818,1
3826,1
3827,1
3832,1
3833,1
3835,1
3836,1
3837,1
3840,1
3842,1
3844,1
3849,3
3852,1
3853,1
3858,1
3864,1
3866,1
3868,1
3869,1
3872,1
3878,1
3880,1
3892,2
3895,2
3897,2
3913,12
3914,2
3915,1
3916,2
3917,5
3919,2
3920,4
3921,6
3922,3
3926,5
3927,2
3928,12
3930,9
3934,6
3937,1
3939,4
3943,5
3946,1
3947,2
3948,2
3949,3
3951,1
3954,2
3958,16
3960,7
3962,9
3963,1
3964,2
3965,1
3967,1
3970,4
3971,1
3972,1
3973,1
3974,3
3975,1
3977,3
3983,3
3985,1
3987,2
3989,1
3993,1
3997,1
4007,1
4011,1
4023,1
4024,1
4025,2
4026,1
4027,11
4032,5
4033,2
4036,3
4038,1
4039,7
4040,1
4042,2
4044,2
4052,1
4053,1
4063,2
4064,2
4065,3
4071,1
4072,9
4074,1
4075,1
4081,9
4082,1
4084,3
4087,1
4088,1
4089,9
4090,1
4092,4
4094,3
4095,1
4096,1
4101,9
4104,1
4105,7
4107,2
4108,13
4109,2
4110,2
4113,1
4115,1
4116,5
4117,10
4118,1
4120,8
4122,2
4123,1
4124,1
4125,7
4126,1
4128,7
4129,9
4130,7
4131,1
4133,4
4137,3
4139,1
4140,6
4141,1
4142,10
4143,9
4145,8
4146,3
4148,1
4150,3
4155,1
4156,1
4157,1
4160,8
4161,8
4162,9
4163,1
4164,1
4169,1
4171,1
4174,1
4175,5
4176,3
4182,8
4183,2
4185,6
4187,2
4188,6
4193,1
4198,1
4200,2
4203,2
4204,1
4208,9
4209,1
4210,7
4213,8
4214,2
4215,5
4217,8
4218,5
4220,2
4223,4
4227,4
4229,5
4230,8
4233,5
4235,5
4237,6
4244,7
4246,7
4248,7
4249,1
4251,6
4252,1
4254,1
4255,1
4257,4
4260,5
4263,4
4264,1
4265,1
4270,6
4272,2
4273,1
4274,1
4278,7
4279,3
4280,2
4281,3
4282,6
4285,8
4290,3
4294,1
4303,8
4309,13
4313,7
4314,8
4315,3
4318,2
4319,1
4321,1
4323,8
4324,1
4329,9
4330,7
4333,9
4335,2
4336,1
4338,7
4341,1
4346,1
4349,1
4351,8
4354,2
4356,1
4358,1
4359,3
4367,3
4368,1
4378,1
4383,4
4387,10
4388,4
4389,3
4390,7
4395,5
4396,3
4400,1
4403,2
4406,1
4407,1
4408,2
4409,7
4410,1
4412,5
4416,6
4419,3
4420,2
4426,2
4428,2
4430,3
4431,6
4437,2
4438,3
4439,9
4441,3
4447,4
4448,1
4449,3
4450,3
4452,2
4453,8
4456,2
4457,2
4459,1
4465,3
4466,12
4468,7
4469,2
4473,9
4474,1
4478,9
4480,7
4481,2
4483,7
4484,5
4485,8
4486,3
4487,9
4489,8
4500,11
4513,1
4516,1
4528,9
4549,1
4552,1
4564,5
4565,5
4566,5
4567,1
4571,1
4576,1
4577,1
4582,1
4583,2
