idx,name,ortho,phono
551,551,alp,@lp
561,561,also,clso
562,562,altar,cltX
563,563,alteration,cltXeS|n
564,564,altercation,cltXkeS|n
566,566,alternation,cltXneS|n
568,568,altho,clDo
570,570,altitude,@lt|tud
571,571,alto,@lto
575,575,alum,@lxm
577,577,aluminium,xlumInxm
578,578,aluminum,xlum|nxm
582,582,am,@m
583,583,amah,amx
584,584,amain,xmen
591,591,amass,xm@s
596,596,amaze,xmez
600,600,amber,@mbX
606,606,ambition,@mbIS|n
607,607,ambitious,@mbIS|s
609,609,amble,@mbL
616,616,amen,emEn
618,618,amend,xmEnd
620,620,amends,xmEndz
622,622,amerce,xmRs
632,632,amid,xmId
633,633,amiss,xmIs
634,634,amity,@mxti
635,635,ammeter,@mitX
636,636,ammo,@mo
638,638,ammonite,@mxnYt
643,643,amok,xm^k
644,644,among,xm^G
646,646,amoral,emcrL
647,647,amorous,@mXxs
651,651,amount,xmWnt
652,652,amour,xmUr
658,658,ample,@mpL
660,660,amplifier,@mplxfYX
661,661,amplify,@mplxfY
665,665,amputation,@mpyuteS|n
668,668,amuse,xmyuz
669,669,an,@n
676,676,anal,enL
682,682,analyst,@nLxst
698,698,anchor,@GkX
704,704,and,@nd
712,712,anent,xnEnt
715,715,anew,xnu
716,716,angel,enJL
718,718,anger,@GgX
720,720,angle,@GgL
729,729,anguish,@GgwIS
733,733,aniline,@nLxn
744,744,anise,@n|s
745,745,ankh,@Gk
746,746,ankle,@GkL
749,749,anneal,xnil
754,754,annotate,@n|tet
755,755,annotation,@n|teS|n
758,758,annoy,xnO
759,759,annual,@nyuL
762,762,annul,xn^l
764,764,annunciate,xn^nsiet
766,766,anode,@nod
769,769,anoint,xnOnt
778,778,answer,@nsX
780,780,ant,@nt
785,785,ante,@nti
790,790,antelope,@ntxlop
793,793,anterior,@ntIriX
796,796,anther,@nTX
805,805,anti,@ntY
808,808,antic,@ntIk
826,826,antique,@ntik
835,835,antrum,@ntrxm
836,836,anus,en|s
840,840,any,Eni
845,845,apace,xpes
846,846,apart,xpart
847,847,apartheid,xpartet
849,849,apathetic,@pxTEtIk
850,850,apathy,@pxTi
851,851,ape,ep
852,852,apeak,xpik
857,857,aphid,efxd
859,859,aphis,efxs
863,863,apiary,epiEri
865,865,apiece,xpis
866,866,aplomb,xpl^m
869,869,apogee,@pxJi
875,875,aport,xport
877,877,apostate,xpastet
878,878,apostle,xpasL
884,884,appal,xpcl
888,888,apparent,xp@rxnt
890,890,appeal,xpil
891,891,appear,xpIr
893,893,appease,xpiz
894,894,appellant,xpElxnt
895,895,appellate,xpElxt
897,897,appellee,@pxli
898,898,append,xpEnd
903,903,appertain,@pXten
906,906,applaud,xplcd
907,907,applause,xplcz
908,908,apple,@pL
909,909,appliance,xplY|ns
915,915,applied,xplYd
917,917,apply,xplY
918,918,appoint,xpOnt
919,919,appointee,xpOnti
922,922,apportion,xporS|n
923,923,apposite,@pxz|t
924,924,apposition,@pxzIS|n
925,925,appositive,xpaz|tIv
926,926,appraise,xprez
933,933,apprize,xprYz
938,938,approval,xpruvL
939,939,approve,xpruv
947,947,apse,@ps
948,948,apt,@pt
949,949,aptitude,@pt|tud
954,954,aquarium,xkw@rixm
955,955,Aquarius,xkw@rixs
960,960,Arab,@rxb
964,964,arable,@rxbL
971,971,arbitrate,arbxtret
973,973,arbitrator,arbxtretX
974,974,arbor,arbX
975,975,arboreal,arboriL
979,979,arc,ark
980,980,arcade,arked
981,981,arcane,arken
982,982,arch,arC
984,984,archaic,arkeIk
989,989,archer,arCX
990,990,archery,arCXi
998,998,architectural,ark|tEkCXL
999,999,architecture,ark|tEkCX
1003,1003,archon,arkan
1005,1005,arctic,arktIk
1007,1007,ardor,ardX
1009,1009,are,ar
1010,1010,area,@rix
1011,1011,arena,xrinx
1012,1012,argent,arJ|nt
1014,1014,argon,argan
1016,1016,argot,argo
1022,1022,aria,arix
1023,1023,arid,@rxd
1024,1024,aridity,@rId|ti
1026,1026,aright,xrYt
1027,1027,arise,xrYz
1034,1034,arm,arm
1044,1044,armor,armX
1045,1045,armorial,armoriL
1046,1046,armory,armXi
1048,1048,army,armi
1050,1050,aroma,xromx
1051,1051,aromatic,@rxm@tIk
1052,1052,around,xrWnd
1053,1053,arouse,xrWz
1055,1055,arraign,xren
1056,1056,arrange,xrenJ
1057,1057,arrant,@rxnt
1058,1058,arras,@rxs
1059,1059,array,xre
1061,1061,arrest,xrEst
1062,1062,arrival,xrYvL
1064,1064,arrogate,@rxget
1065,1065,arrow,@ro
