idx,degree
2118,2
2119,2
2122,3
2124,2
2126,2
2127,2
2128,9
2129,2
2133,3
2134,3
2135,3
2136,4
2137,3
2138,1
2139,4
2140,2
2141,5
2143,2
2144,2
2145,2
2147,3
2149,2
2153,1
2155,2
2158,2
2159,3
2160,2
2167,1
2168,3
2171,1
2172,1
2174,2
2181,6
2184,3
2185,1
2186,3
2188,2
2189,2
2190,2
2194,3
2195,1
2201,3
2202,3
2203,1
2204,1
2206,3
2207,1
2212,2
2214,1
2215,2
2216,1
2223,1
2225,1
2226,1
2229,1
2237,2
2238,2
2239,3
2240,1
2243,1
2244,2
2246,3
2247,2
2248,1
2250,2
2252,2
2253,4
2254,1
2256,2
2257,1
2258,1
2259,2
2261,1
2265,3
2267,1
2272,2
2275,1
2276,1
2279,2
2281,1
2284,1
2287,1
2289,2
2290,3
2295,1
2296,1
2298,1
2299,2
2300,1
2304,1
2307,1
2309,1
2312,2
2313,2
2316,1
2320,1
2321,4
2322,1
2323,1
2324,4
2326,5
2328,8
2329,1
2338,1
2344,2
2347,1
2349,4
2350,2
2353,1
2354,1
2358,1
2359,3
2362,1
2363,1
2369,2
2370,1
2373,5
2375,1
2376,2
2377,3
2382,1
2385,6
2388,1
2391,15
2392,3
2397,3
2400,1
2406,6
2407,1
2408,1
2411,4
2414,3
2420,2
2422,1
2424,1
2428,2
2430,2
2435,3
2437,1
2442,1
2453,2
2454,1
2456,1
2462,2
2463,3
2464,3
2466,1
2470,1
2471,1
2472,1
2473,2
2483,2
2484,1
2489,5
2491,2
2494,3
2495,1
2502,5
2510,8
2520,1
2522,2
2529,1
2530,2
2532,2
2533,4
2534,3
2537,1
2538,6
2539,5
2540,2
2548,1
2549,4
2550,1
2554,9
2556,1
2560,2
2563,3
2564,1
2565,2
2566,2
2571,2
2579,5
2580,1
2589,1
2591,1
2601,1
2602,2
2606,1
2608,1
2614,6
2618,1
2621,1
2638,2
2641,1
2643,4
2644,2
2650,1
2653,1
2654,1
2655,1
2658,2
2660,2
2662,1
2671,1
2673,1
2674,1
2676,3
2677,1
2683,1
2684,2
2685,4
2686,4
2687,3
2689,1
2692,2
2694,1
2696,1
2701,3
2704,1
2709,2
2714,1
2715,1
2716,2
2720,1
2722,1
2723,3
2724,1
2725,2
2732,5
2733,1
2750,1
2751,1
2752,1
2756,1
2772,2
2773,1
2779,3
2781,2
2783,1
2786,3
2797,3
2801,1
2804,1
2805,7
2806,6
2808,2
2809,1
2810,1
2811,5
2812,1
2817,1
2818,1
2819,1
2822,7
2823,4
2831,4
2839,2
2843,1
2845,6
2851,4
2860,1
2861,1
2867,1
2878,1
2879,1
2890,1
2891,1
2893,2
2894,1
2895,1
2896,1
2897,1
2900,1
2901,2
2904,1
2906,1
2909,3
2914,1
2916,1
2919,2
2920,3
2921,2
2922,1
2924,2
2927,1
2929,1
2932,2
2935,1
2936,1
2938,3
2940,2
2946,2
2947,1
2948,5
2957,1
2958,2
2959,1
2966,2
2968,3
2969,1
2972,1
2973,4
2974,1
2976,1
2977,1
2978,1
2982,5
2985,1
2986,3
2988,1
2996,1
2997,1
2998,2
2999,1
3005,2
3006,1
3007,2
3009,2
3010,1
3011,2
3012,1
3019,1
3022,2
3026,2
3027,1
3033,1
3037,3
3039,1
3044,2
3045,1
3046,1
3056,1
3061,1
3065,2
3067,1
3071,2
3074,2
3076,1
3083,1
3089,1
3100,1
3101,5
3102,1
3106,3
3107,2
3108,2
3109,1
3110,1
3112,5
3113,4
3114,1
3119,2
3120,1
3121,1
3133,4
3135,1
3137,2
3138,1
3147,1
3148,1
3149,3
3150,1
3152,1
3153,2
3154,1
3155,1
3156,1
3158,1
3159,1
3160,1
3166,3
3169,2
3173,1
3177,1
3181,1
3182,1
3206,1
3207,1
3209,1
3210,4
3215,1
3216,1
3219,3
3224,3
3225,2
3226,4
3229,5
3230,2
3231,1
3232,2
3233,4
3234,1
3236,2
3237,1
3238,3
3239,5
3241,1
3243,2
3247,1
3248,1
3249,2
3250,2
3251,2
3252,1
3253,1
3258,1
3259,2
3264,4
3265,3
3266,3
3268,1
3269,1
3273,1
3275,1
3276,2
3277,2
3282,1
3283,1
3284,1
3285,1
3286,3
3288,5
3292,1
3294,1
3296,1
3297,1
3298,6
3299,1
3300,1
3301,5
3302,1
3303,2
3305,1
3306,1
3308,2
3309,1
3310,1
3313,2
3318,2
3319,1
3320,1
3323,1
3325,1
3326,1
3327,2
3329,1
3331,1
3332,1
3333,1
3334,1
3336,1
3337,2
3339,2
3343,3
3348,4
3349,1
3350,1
3352,5
3354,1
3356,1
3358,1
3359,1
3363,1
3367,6
3374,1
3375,1
3376,1
3377,2
3378,1
3381,5
3382,1
3383,1
3384,5
3388,1
3395,1
3397,1
3398,1
3402,1
3403,2
3404,1
3405,1
3417,2
3420,1
3421,1
3423,2
3424,1
3429,7
3430,2
3432,4
3434,1
3436,1
3438,1
3439,1
3440,1
3443,1
3444,1
3446,1
3447,2
3451,1
3452,2
3453,1
3462,1
3466,1
3471,4
