idx,degree
609,6
616,1
618,8
620,1
622,4
632,2
633,5
634,1
635,1
636,4
638,1
643,2
644,1
646,2
647,1
651,2
652,3
658,3
660,1
661,1
665,1
668,3
669,22
676,2
682,1
698,7
704,12
712,3
715,4
716,1
718,3
720,10
729,1
733,1
744,3
745,14
746,4
749,4
754,1
755,2
758,2
759,1
762,2
764,1
766,2
769,2
778,3
780,12
785,5
790,1
793,1
796,2
805,3
808,2
826,2
835,1
836,3
840,9
845,4
846,3
847,1
849,1
850,2
851,17
852,5
857,1
859,2
863,1
865,5
866,1
869,2
875,5
877,1
878,1
884,3
888,1
890,6
891,2
893,5
894,1
895,1
897,3
898,7
903,2
906,2
907,1
908,8
909,1
915,3
917,3
918,3
919,1
922,2
923,1
924,2
925,1
926,3
933,3
938,1
939,2
947,7
948,8
949,2
954,1
955,1
960,3
964,4
971,1
973,1
974,5
975,1
979,11
980,1
981,2
982,8
984,1
989,5
990,3
998,1
999,1
1003,2
1005,1
1007,5
1009,19
1010,4
1011,1
1012,2
1014,1
1016,2
1022,1
1023,4
1024,1
1026,8
1027,7
1034,9
1044,6
1045,2
1046,4
1048,4
1050,1
1051,3
1052,4
1053,4
1055,10
1056,3
1057,3
1058,5
1059,12
1061,5
1062,1
1064,2
1065,18
1071,1
1072,13
1076,3
1081,2
1089,1
1090,1
1091,1
1094,1
1095,5
1096,5
1097,2
1098,13
1101,6
1104,1
1105,4
1106,1
1107,1
1108,1
1109,1
1110,1
1111,17
1113,5
1115,3
1116,5
1118,5
1121,8
1123,1
1124,1
1125,1
1126,7
1138,1
1140,21
1141,2
1143,2
1144,7
1148,3
1150,1
1151,1
1156,5
1160,1
1162,4
1167,2
1168,1
1172,6
1173,1
1175,10
1177,2
1182,2
1185,1
1187,1
1188,1
1189,1
1200,1
1203,31
1206,27
1208,1
1210,1
1212,2
1215,1
1216,2
1220,2
1221,5
1222,1
1223,1
1224,1
1225,2
1226,1
1227,1
1228,5
1229,2
1230,1
1235,1
1238,4
1239,7
1243,2
1244,18
1245,1
1246,5
1248,2
1251,2
1253,4
1254,2
1255,3
1258,1
1259,1
1264,1
1265,3
1266,1
1268,2
1273,1
1280,2
1281,2
1282,1
1284,1
1285,4
1286,23
1291,16
1292,4
1293,2
1294,7
1296,1
1297,2
1298,3
1301,1
1304,1
1306,1
1312,3
1319,4
1337,4
1340,2
1341,2
1344,1
1346,2
1348,2
1350,1
1352,5
1355,4
1356,1
1357,5
1358,1
1359,1
1363,1
1364,1
1369,1
1370,3
1372,2
1373,5
1375,6
1376,4
1377,1
1378,5
1379,4
1380,1
1381,20
1382,2
1383,6
1386,4
1387,2
1388,2
1390,16
1391,2
1392,1
1393,9
1394,9
1395,2
1398,1
1399,2
1400,25
1401,7
1405,3
1406,35
1407,12
1408,13
1409,16
1412,5
1418,32
1425,5
1428,30
1429,13
1430,3
1433,6
1434,28
1437,3
1439,3
1440,1
1442,34
1443,33
1444,1
1446,1
1447,6
1448,33
1449,22
1450,29
1457,4
1462,3
1464,19
1465,24
1466,3
1467,1
1470,1
1472,2
1473,6
1476,13
1477,1
1478,1
1482,30
1485,1
1486,19
1487,1
1494,1
1497,6
1498,32
1499,19
1500,8
1501,7
1502,3
1503,2
1504,1
1505,15
1508,10
1510,5
1513,1
1514,1
1515,4
1517,1
1518,2
1524,24
1525,10
1532,3
1534,6
1539,19
1540,26
1541,1
1542,9
1545,15
1547,3
1548,1
1549,11
1554,1
1557,1
1558,1
1559,1
1564,7
1567,3
1568,1
1570,10
1572,6
1573,6
1574,1
1576,27
1578,24
1579,1
1581,6
1584,8
1585,1
1586,10
1587,3
1588,23
1590,6
1593,18
1594,1
1595,16
1598,40
1599,20
1600,17
1601,10
1602,1
1604,1
1605,2
1607,2
1610,1
1612,7
1613,11
1614,19
1615,1
1616,4
1617,14
1618,5
1620,3
1621,35
1624,8
1627,18
1629,4
1630,26
1631,6
1632,6
1633,28
1634,5
1635,4
1636,16
1637,25
1638,6
1639,6
1640,4
1642,13
1643,33
1644,6
1648,32
1654,3
1655,18
1656,3
1659,19
1660,3
1662,1
1664,25
1668,2
1675,1
1676,15
1678,27
1679,29
1681,6
1682,5
1683,2
1685,1
1687,2
1690,14
1692,3
1693,1
1694,2
1701,1
1705,9
1706,1
1708,6
1709,1
1714,2
1715,2
1717,27
1724,12
1726,11
1727,1
1728,17
1732,7
1733,18
1745,1
1746,17
1753,2
1755,2
1756,13
1759,13
1761,16
1762,10
1764,1
1766,1
1768,1
1770,23
1774,32
1776,4
1778,8
1781,7
1783,5
1785,2
1786,4
1789,1
1790,13
1792,6
1800,7
1802,1
1803,25
1804,7
1805,23
1810,20
1813,28
1814,1
1816,19
1819,24
1820,8
1822,1
1823,11
1824,35
1825,5
1827,1
1830,3
1831,11
1832,13
1836,12
1837,5
1838,1
1854,15
1855,22
1856,7
1858,2
1863,2
1864,5
1866,35
1867,18
1868,2
1869,10
1870,10
1871,2
1872,3
1877,5
1878,10
1881,1
1882,1
1883,1
1885,2
1886,9
1887,9
1888,7
1889,3
1891,8
1893,7
1895,7
1900,3
1901,1
1902,2
1903,11
1904,2
1905,3
1906,7
1908,10
1909,7
1910,2
1911,14
1912,12
1913,9
1915,4
1916,7
1917,6
1918,5
1919,12
1920,12
1921,1
1922,4
1924,6
1925,2
1926,2
1927,1
1928,4
1929,2
1930,1
1931,2
1933,1
1934,11
1935,2
1936,8
1937,9
1940,1
1941,5
1942,7
1945,11
1947,1
1949,14
1950,5
1951,2
1952,3
1953,15
1955,8
1956,1
1958,3
1959,1
1960,1
1963,1
1966,6
1969,5
1970,1
1971,1
1972,2
1973,6
1974,4
1975,8
1976,7
1977,4
1978,8
1979,29
1980,16
1981,17
1982,32
1984,2
1985,3
1986,22
1987,2
1988,12
1989,11
1994,5
1995,28
1996,27
2001,11
2002,13
2004,3
2005,1
2007,15
2009,18
2010,33
2015,9
2016,1
2019,2
2020,14
2027,3
2030,1
2032,13
2033,1
2035,1
2036,1
2038,31
2039,4
2044,1
2045,7
2047,2
2048,34
2049,6
2050,4
2051,18
2052,1
2053,18
2056,22
2058,9
2059,32
2060,12
2061,2
2062,7
2065,7
2066,18
2067,1
2068,4
2069,2
2071,14
2072,2
2073,11
2074,9
2076,10
2078,1
2079,11
2083,13
2084,13
2085,3
2086,8
2087,2
2090,20
2091,25
2092,5
2094,4
2095,14
2100,1
2101,1
2102,4
2106,23
2107,2
2111,7
2112,8
2114,11
2115,5
2118,5
2119,13
2121,3
2122,13
2124,2
2126,3
2127,13
2128,19
2129,11
2133,18
2134,14
2135,19
2136,18
2137,13
2138,1
2139,13
2140,5
2141,8
2143,3
2144,11
2145,10
2147,11
2149,10
2153,11
2154,10
2155,3
2156,1
2158,10
2159,15
2160,2
2167,10
2168,6
2171,3
2172,6
2174,16
2175,9
2181,17
2182,8
2183,5
2184,13
2185,1
2186,15
2188,6
2189,8
2190,10
2194,14
2195,2
2200,10
2201,8
2202,8
2203,7
2204,1
2206,7
2207,1
2208,3
2212,4
2213,3
2214,5
2215,13
2216,1
2223,7
2225,3
2226,9
2229,1
2237,14
2238,6
2239,10
2240,8
2243,7
2244,10
2246,7
2247,10
2248,1
2250,8
2252,10
2253,12
2254,4
2256,6
2257,5
2258,2
2259,3
2261,1
2262,10
2265,29
2266,1
2267,6
2268,1
2269,1
2272,23
2273,1
2274,1
2275,6
2276,15
2278,1
2279,20
2281,4
2284,26
2287,5
2289,11
2290,18
2291,2
2294,1
2295,4
2296,7
2298,13
2299,5
2300,1
2302,1
2304,8
2307,24
2309,9
2310,1
2312,30
2313,8
2316,19
2319,1
2320,2
2321,14
2322,4
2323,3
2324,12
2326,11
2328,22
2329,4
2335,2
2336,4
2337,1
2338,4
2344,3
2347,7
2349,22
2350,9
2351,2
2353,5
2354,8
2355,2
2356,6
2358,15
2359,20
2362,6
2363,1
2369,17
2370,9
2371,2
2373,35
2375,2
2376,5
2377,13
2378,1
2379,1
2382,6
2384,1
2385,29
2386,15
2388,1
2389,1
2391,40
2392,22
2393,1
2396,1
2397,12
2398,1
2399,1
2400,8
2406,25
2407,5
2408,12
2411,30
2414,12
2417,1
2418,13
2420,2
2422,4
2424,2
2428,17
2430,4
2431,2
2432,1
2435,26
2437,1
2442,1
2451,1
2453,19
2454,1
2456,1
2459,2
2462,17
2463,26
2464,7
2466,3
2470,5
2471,9
2472,5
2473,17
2474,1
2476,3
2483,17
2484,4
2485,1
2489,27
2491,5
2494,24
2495,8
2502,12
2503,1
2505,1
2508,1
2510,35
2512,1
2513,2
2520,9
2521,1
2522,6
2526,2
2529,2
2530,11
2532,10
2533,10
2534,33
2536,1
2537,5
2538,16
2539,11
2540,4
2544,2
2548,1
2549,14
2550,2
2554,18
2556,1
2560,11
2563,9
2564,5
2565,5
2566,2
2569,1
2571,30
2575,1
2579,26
2580,9
