lower,node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,all_cc,replace_cc,pos_l50_cc,pos_m50_cc
boom,2053,boom,bum,18,15,3,12,6,0.274509804,0.323809524,0.409090909,1
boon,2056,boon,bun,22,21,1,16,6,0.311688312,0.319047619,0.475,1
boost,2058,boost,bust,9,8,1,8,1,0.583333333,0.75,0.75,-1
boot,2059,boot,but,32,26,6,23,9,0.239919355,0.338461538,0.403162055,0.472222222
booth,2060,booth,buT,12,11,1,6,6,0.318181818,0.290909091,0.4,1
booths,2061,booths,buDz,2,1,1,1,1,0,-1,-1,-1
bootie,2062,bootie,buti,7,3,4,3,4,0.142857143,0.333333333,0.333333333,0.333333333
booty,2065,booty,buti,7,3,4,3,4,0.142857143,0.333333333,0.333333333,0.333333333
booze,2066,booze,buz,18,13,5,11,7,0.22875817,0.294871795,0.363636364,0.714285714
borax,2067,borax,bor@ks,1,1,0,1,0,-1,-1,-1,-1
border,2068,border,bordX,4,2,2,3,1,0.166666667,0,0.333333333,-1
boreal,2069,boreal,boriL,2,1,1,2,0,0,-1,0,-1
born,2071,born,born,14,11,3,10,4,0.340659341,0.527272727,0.644444444,0.333333333
boron,2072,boron,boran,2,1,1,1,1,0,-1,-1,-1
borough,2073,borough,bRo,11,9,2,3,8,0.436363636,0.444444444,0.333333333,0.785714286
borrow,2074,borrow,baro,9,8,1,3,6,0.444444444,0.392857143,0.333333333,1
bosh,2076,bosh,baS,10,10,0,4,6,0.377777778,0.377777778,0.333333333,1
bosom,2078,bosom,bUzM,1,1,0,1,0,-1,-1,-1,-1
boss,2079,boss,bcs,11,11,0,7,4,0.272727273,0.272727273,0.428571429,1
botch,2083,botch,baC,13,11,2,6,7,0.269230769,0.381818182,0.4,0.714285714
both,2084,both,boT,13,11,2,5,8,0.41025641,0.436363636,0.4,1
bother,2085,bother,baDX,3,3,0,2,1,0.333333333,0.333333333,1,-1
bottle,2086,bottle,batL,8,7,1,5,3,0.178571429,0.19047619,0.4,0.333333333
bottom,2087,bottom,batM,2,1,1,0,2,1,-1,-1,1
bough,2090,bough,bW,20,16,4,9,11,0.315789474,0.475,1,0.436363636
bought,2091,bought,bct,25,23,2,21,4,0.326666667,0.351778656,0.438095238,1
boulder,2092,boulder,boldX,5,3,2,3,2,0.2,0.333333333,0.333333333,1
bounce,2094,bounce,bWns,4,3,1,3,1,0.5,0.333333333,1,-1
bound,2095,bound,bWnd,14,13,1,13,1,0.340659341,0.397435897,0.397435897,-1
bounty,2100,bounty,bWnti,1,1,0,1,0,-1,-1,-1,-1
bouquet,2101,bouquet,boke,1,0,1,1,0,-1,-1,-1,-1
bourbon,2102,bourbon,bRb|n,4,3,1,4,0,0.166666667,0,0.166666667,-1
bout,2106,bout,bWt,23,20,3,20,3,0.339920949,0.405263158,0.436842105,1
boutique,2107,boutique,butik,2,0,2,0,2,0,-1,-1,0
bowel,2111,bowel,bWL,7,6,1,4,3,0.428571429,0.466666667,1,1
bower,2112,bower,bWX,8,7,1,5,3,0.464285714,0.523809524,1,1
bowler,2114,bowler,bolX,11,9,2,5,6,0.309090909,0.361111111,1,0.466666667
bowman,2115,bowman,bomxn,5,3,2,5,0,0.6,1,0.6,-1
box,2118,box,baks,5,3,2,4,1,0.6,1,1,-1
boy,2119,boy,bO,13,11,2,5,8,0.346153846,0.490909091,0.6,0.75
bra,2121,bra,bra,3,3,0,0,3,1,1,-1,1
brace,2122,brace,bres,13,10,3,5,8,0.358974359,0.4,0.7,0.75
bracket,2124,bracket,br@k|t,2,0,2,1,1,0,-1,-1,-1
bract,2126,bract,br@kt,3,1,2,1,2,0,-1,-1,0
brad,2127,brad,br@d,13,11,2,1,12,0.333333333,0.454545455,-1,0.393939394
brae,2128,brae,bre,19,10,9,8,11,0.274853801,0.4,0.75,0.436363636
brag,2129,brag,br@g,11,9,2,4,7,0.272727273,0.333333333,0.666666667,0.523809524
braid,2133,braid,bred,18,15,3,5,13,0.254901961,0.295238095,0.3,0.461538462
braille,2134,braille,brel,14,11,3,5,9,0.318681319,0.345454545,0.7,0.611111111
brain,2135,brain,bren,19,16,3,8,11,0.257309942,0.258333333,0.607142857,0.490909091
braise,2136,braise,brez,18,14,4,7,11,0.235294118,0.263736264,0.571428571,0.436363636
brake,2137,brake,brek,13,10,3,3,10,0.333333333,0.4,0.666666667,0.533333333
bramble,2138,bramble,br@mbL,1,0,1,1,0,-1,-1,-1,-1
bran,2139,bran,br@n,13,9,4,2,11,0.243589744,0.444444444,1,0.327272727
branch,2140,branch,br@nC,5,3,2,3,2,0.1,0,0,1
brand,2141,brand,br@nd,8,3,5,4,4,0.178571429,0,0.5,0.333333333
brandy,2143,brandy,br@ndi,3,1,2,2,1,0,-1,0,-1
brash,2144,brash,br@S,11,9,2,5,6,0.309090909,0.361111111,0.7,0.666666667
brass,2145,brass,br@s,10,8,2,4,6,0.311111111,0.392857143,0.666666667,0.666666667
brat,2147,brat,br@t,11,8,3,2,9,0.254545455,0.464285714,1,0.361111111
brave,2149,brave,brev,10,8,2,3,7,0.533333333,0.571428571,1,1
brawl,2153,brawl,brcl,11,10,1,5,6,0.236363636,0.288888889,0.6,0.466666667
brawn,2154,brawn,brcn,10,10,0,2,8,0.288888889,0.288888889,1,0.428571429
brazen,2155,brazen,brezN,3,1,2,2,1,0,-1,0,-1
brazier,2156,brazier,breZX,1,1,0,1,0,-1,-1,-1,-1
breach,2158,breach,briC,10,8,2,4,6,0.288888889,0.357142857,0.5,0.666666667
bread,2159,bread,brEd,15,12,3,7,8,0.266666667,0.318181818,0.571428571,0.571428571
breadth,2160,breadth,brEdT,2,0,2,0,2,1,-1,-1,1
bream,2167,bream,brIm,10,9,1,4,6,0.288888889,0.277777778,1,0.466666667
breast,2168,breast,brEst,6,3,3,6,0,0.4,0.333333333,0.4,-1
breath,2171,breath,brET,3,2,1,0,3,0.333333333,0,-1,0.333333333
breathe,2172,breathe,briD,6,5,1,1,5,0.666666667,1,-1,1
breed,2174,breed,brid,16,14,2,5,11,0.25,0.285714286,0.5,0.454545455
breeze,2175,breeze,briz,9,9,0,1,8,0.361111111,0.361111111,-1,0.464285714
brew,2181,brew,bru,17,11,6,9,8,0.25,0.345454545,0.611111111,0.321428571
briar,2182,briar,brYX,8,8,0,4,4,0.428571429,0.428571429,1,1
bribe,2183,bribe,brYb,5,5,0,1,4,0.6,0.6,-1,1
brick,2184,brick,brIk,13,10,3,4,9,0.217948718,0.266666667,1,0.305555556
bridal,2185,bridal,brYdL,1,0,1,0,1,-1,-1,-1,-1
bride,2186,bride,brYd,15,12,3,4,11,0.238095238,0.333333333,0.666666667,0.381818182
bridge,2188,bridge,brIJ,6,4,2,2,4,0.4,1,0,1
brief,2189,brief,brif,8,6,2,3,5,0.428571429,0.666666667,0.666666667,1
brig,2190,brig,brIg,10,8,2,4,6,0.244444444,0.285714286,0.666666667,0.466666667
bright,2194,bright,brYt,14,11,3,6,8,0.186813187,0.218181818,0.533333333,0.321428571
brighten,2195,brighten,brYtN,2,1,1,1,1,0,-1,-1,-1
brine,2200,brine,brYn,10,10,0,2,8,0.288888889,0.288888889,1,0.428571429
bring,2201,bring,brIG,8,5,3,3,5,0.25,0.6,0,0.7
brink,2202,brink,brIGk,8,5,3,5,3,0.285714286,0.3,0.6,0.666666667
brio,2203,brio,brio,7,6,1,1,6,0.476190476,0.666666667,-1,0.666666667
brioche,2204,brioche,brioS,1,0,1,0,1,-1,-1,-1,-1
brisk,2206,brisk,brIsk,7,4,3,4,3,0.142857143,0,0.333333333,0.333333333
brisket,2207,brisket,brIsk|t,1,0,1,1,0,-1,-1,-1,-1
bristle,2208,bristle,brIsL,3,3,0,1,2,0,0,-1,0
briton,2212,Briton,brItN,4,2,2,3,1,0.166666667,0,0.333333333,-1
brittle,2213,brittle,brItL,3,3,0,1,2,0,0,-1,0
broach,2214,broach,broC,5,4,1,1,4,0.3,0.5,-1,0.5
broad,2215,broad,brcd,13,11,2,2,11,0.269230769,0.381818182,0,0.381818182
broaden,2216,broaden,brcdN,1,0,1,0,1,-1,-1,-1,-1
brogue,2223,brogue,brog,7,6,1,2,5,0.238095238,0.266666667,1,0.4
broil,2225,broil,brOl,3,2,1,1,2,0.333333333,1,-1,1
broke,2226,broke,brok,9,8,1,2,7,0.166666667,0.214285714,0,0.285714286
broker,2229,broker,brokX,1,0,1,0,1,-1,-1,-1,-1
brood,2237,brood,brud,14,12,2,4,10,0.296703297,0.318181818,1,0.466666667
brook,2238,brook,brUk,6,4,2,3,3,0.333333333,0.5,0.666666667,1
broom,2239,broom,brum,10,7,3,4,6,0.222222222,0.19047619,0.5,0.466666667
broth,2240,broth,brcT,8,7,1,3,5,0.321428571,0.333333333,1,0.6
brougham,2243,brougham,brom,7,6,1,2,5,0.238095238,0.266666667,1,0.4
brought,2244,brought,brct,10,8,2,3,7,0.244444444,0.321428571,0.666666667,0.428571429
brow,2246,brow,brW,7,4,3,1,6,0.19047619,0.5,-1,0.266666667
brown,2247,brown,brWn,10,8,2,3,7,0.222222222,0.321428571,1,0.333333333
brownie,2248,brownie,brWni,1,0,1,0,1,-1,-1,-1,-1
browse,2250,browse,brWz,8,6,2,3,5,0.25,0.266666667,1,0.4
bruise,2252,bruise,bruz,10,8,2,3,7,0.222222222,0.214285714,0.333333333,0.428571429
bruit,2253,bruit,brut,12,8,4,4,8,0.181818182,0.214285714,0.5,0.321428571
brunch,2254,brunch,br^nC,4,3,1,3,1,0,0,0,-1
brunt,2256,brunt,br^nt,6,4,2,5,1,0.333333333,0.166666667,0.5,-1
brush,2257,brush,br^S,5,4,1,4,1,0.3,0.166666667,0.5,-1
brusque,2258,brusque,br^sk,2,1,1,2,0,0,-1,0,-1
brutal,2259,brutal,brutL,3,1,2,1,2,0,-1,-1,0
brutally,2261,brutally,brutLi,1,0,1,0,1,-1,-1,-1,-1
bubble,2262,bubble,b^bL,10,10,0,8,2,0.311111111,0.311111111,0.464285714,1
buck,2265,buck,b^k,29,26,3,16,13,0.253694581,0.310769231,0.466666667,0.602564103
bucket,2266,bucket,b^k|t,1,1,0,1,0,-1,-1,-1,-1
buckle,2267,buckle,b^kL,6,5,1,3,3,0.266666667,0.4,1,0.333333333
buckler,2268,buckler,b^klX,1,1,0,1,0,-1,-1,-1,-1
buckram,2269,buckram,b^krxm,1,1,0,0,1,-1,-1,-1,-1
bud,2272,bud,b^d,23,21,2,12,11,0.28458498,0.342857143,0.409090909,0.818181818
buddhism,2273,Buddhism,budIzM,1,1,0,1,0,-1,-1,-1,-1
buddhist,2274,Buddhist,bud|st,1,1,0,1,0,-1,-1,-1,-1
buddy,2275,buddy,b^di,6,5,1,4,2,0.2,0.3,0.5,0
budge,2276,budge,b^J,15,14,1,4,11,0.457142857,0.527472527,0.5,0.818181818
budget,2278,budget,b^J|t,1,1,0,1,0,-1,-1,-1,-1
buff,2279,buff,b^f,20,18,2,9,11,0.352631579,0.431372549,0.611111111,0.818181818
buffer,2281,buffer,b^fX,4,3,1,2,2,0.166666667,0.333333333,1,0
bug,2284,bug,b^g,26,25,1,15,11,0.307692308,0.333333333,0.523809524,0.818181818
buggy,2287,buggy,b^gi,5,4,1,3,2,0.1,0.166666667,0.333333333,0
build,2289,build,bIld,11,9,2,3,8,0.327272727,0.305555556,0.333333333,0.607142857
built,2290,built,bIlt,18,15,3,10,8,0.294117647,0.371428571,0.644444444,0.571428571
bulb,2291,bulb,b^lb,2,2,0,0,2,1,1,-1,1
bulgarian,2294,Bulgarian,b^lg@rixn,1,1,0,1,0,-1,-1,-1,-1
bulge,2295,bulge,b^lJ,4,3,1,1,3,0.166666667,0.333333333,-1,0.333333333
bulk,2296,bulk,b^lk,7,6,1,3,4,0.142857143,0.133333333,0.333333333,0.333333333
bull,2298,bull,bUl,13,12,1,10,3,0.320512821,0.378787879,0.533333333,0.333333333
bullet,2299,bullet,bUl|t,5,3,2,4,1,0.1,0.333333333,0.166666667,-1
bulletin,2300,bulletin,bUl|tN,1,0,1,0,1,-1,-1,-1,-1
bullion,2302,bullion,bUlyxn,1,1,0,1,0,-1,-1,-1,-1
bully,2304,bully,bUli,8,7,1,6,2,0.214285714,0.285714286,0.4,0
bum,2307,bum,b^m,24,23,1,13,11,0.336956522,0.367588933,0.615384615,0.818181818
bump,2309,bump,b^mp,9,8,1,8,1,0.777777778,1,1,-1
bumpkin,2310,bumpkin,b^mpk|n,1,1,0,1,0,-1,-1,-1,-1
bun,2312,bun,b^n,30,28,2,18,12,0.282758621,0.32010582,0.496732026,0.712121212
bunch,2313,bunch,b^nC,8,6,2,6,2,0.25,0.4,0.4,1
bung,2316,bung,b^G,19,18,1,8,11,0.391812865,0.431372549,0.75,0.836363636
bungle,2319,bungle,bEGgL,1,1,0,1,0,-1,-1,-1,-1
bunion,2320,bunion,b^nyxn,2,1,1,2,0,0,-1,0,-1
bunk,2321,bunk,b^Gk,14,10,4,9,5,0.340659341,0.622222222,0.777777778,0.3
bunker,2322,bunker,b^GkX,4,3,1,2,2,0.333333333,0.333333333,1,1
bunko,2323,bunko,b^Gko,3,2,1,1,2,0.333333333,0,-1,1
bunt,2324,bunt,b^nt,12,8,4,8,4,0.181818182,0.25,0.321428571,0.5
buoy,2326,buoy,bui,11,6,5,1,10,0.363636364,0.666666667,-1,0.444444444
bur,2328,bur,bR,22,14,8,8,14,0.277056277,0.461538462,0.75,0.472527473
burden,2329,burden,bRdN,4,3,1,2,2,0.166666667,0,0,1
burgee,2335,burgee,bRJi,2,2,0,0,2,1,1,-1,1
burgeon,2336,burgeon,bRJ|n,4,4,0,3,1,0.166666667,0.166666667,0.333333333,-1
burgess,2337,burgess,bRJ|s,1,1,0,0,1,-1,-1,-1,-1
burgher,2338,burgher,bRgX,4,3,1,1,3,0.166666667,0.333333333,-1,0.333333333
burial,2344,burial,bEriL,3,1,2,1,2,0.333333333,-1,-1,1
burly,2347,burly,bRli,7,6,1,5,2,0.238095238,0.266666667,0.4,1
burn,2349,burn,bRn,22,18,4,13,9,0.255411255,0.300653595,0.461538462,0.638888889
burned,2350,burned,bRnd,9,7,2,6,3,0.333333333,0.476190476,0.666666667,0.666666667
burnish,2351,burnish,bRnIS,2,2,0,2,0,0,0,0,-1
burnt,2353,burnt,bRnt,5,4,1,2,3,0.2,0.166666667,1,0.333333333
burp,2354,burp,bRp,8,7,1,1,7,0.75,0.714285714,-1,1
bursa,2355,bursa,bRsx,2,2,0,0,2,1,1,-1,1
bursar,2356,bursar,bRsX,6,6,0,2,4,0.2,0.2,1,0.333333333
burst,2358,burst,bRst,15,14,1,12,3,0.304761905,0.307692308,0.46969697,0.333333333
bus,2359,bus,b^s,20,17,3,8,12,0.315789474,0.397058824,0.464285714,0.712121212
bush,2362,bush,bUS,6,5,1,3,3,0.133333333,0.2,0.333333333,0.333333333
bushel,2363,bushel,bUSL,1,0,1,0,1,-1,-1,-1,-1
bust,2369,bust,b^st,17,15,2,13,4,0.286764706,0.342857143,0.461538462,0.5
bustle,2370,bustle,b^sL,9,8,1,5,4,0.222222222,0.25,0.6,0.333333333
busy,2371,busy,bIzi,2,2,0,1,1,0,0,-1,-1
but,2373,but,b^t,35,30,5,21,14,0.235294118,0.312643678,0.433333333,0.538461538
butler,2375,butler,b^tlX,2,1,1,1,1,0,-1,-1,-1
butte,2376,butte,byut,5,3,2,4,1,0.2,0.333333333,0.333333333,-1
butter,2377,butter,b^tX,13,10,3,9,4,0.243589744,0.288888889,0.5,0.166666667
butterfingered,2378,butterfingered,b^tXfIGgXd,1,1,0,0,1,-1,-1,-1,-1
butterfingers,2379,butterfingers,b^tXfIGgXz,1,1,0,0,1,-1,-1,-1,-1
button,2382,button,b^tN,6,5,1,4,2,0.266666667,0.3,0.5,1
buxom,2384,buxom,b^ksxm,1,1,0,0,1,-1,-1,-1,-1
buy,2385,buy,bY,29,23,6,17,12,0.413793103,0.557312253,1,0.46969697
buzz,2386,buzz,b^z,15,15,0,5,10,0.466666667,0.466666667,0.4,1
byelaw,2388,byelaw,bYlc,1,0,1,0,1,-1,-1,-1,-1
bygone,2389,bygone,bYgcn,1,1,0,1,0,-1,-1,-1,-1
c,2391,c,si,40,25,15,19,21,0.306410256,0.546666667,0.894736842,0.4
cab,2392,cab,k@b,22,19,3,11,11,0.272727273,0.368421053,0.327272727,0.818181818
cabal,2393,cabal,kxb@l,1,1,0,1,0,-1,-1,-1,-1
cabbage,2396,cabbage,k@bIJ,1,1,0,1,0,-1,-1,-1,-1
cabbie,2397,cabbie,k@bi,12,9,3,5,7,0.318181818,0.5,0.6,0.714285714
cabin,2398,cabin,k@b|n,1,1,0,1,0,-1,-1,-1,-1
cabinet,2399,cabinet,k@b|n|t,1,1,0,1,0,-1,-1,-1,-1
cable,2400,cable,kebL,8,7,1,8,0,0.75,0.714285714,0.75,-1
cache,2406,cache,k@S,25,19,6,12,13,0.32,0.473684211,0.727272727,0.615384615
cachet,2407,cachet,k@Se,5,4,1,1,4,0.3,0.166666667,-1,0.5
cackle,2408,cackle,k@kL,12,11,1,6,6,0.242424242,0.290909091,0.4,0.666666667
cad,2411,cad,k@d,30,26,4,18,12,0.268965517,0.323076923,0.464052288,0.696969697
caddy,2414,caddy,k@di,12,9,3,3,9,0.303030303,0.5,1,0.444444444
cadet,2417,cadet,k|dEt,1,1,0,1,0,-1,-1,-1,-1
cadge,2418,cadge,k@J,13,13,0,3,10,0.58974359,0.58974359,0.333333333,1
cadre,2420,cadre,k@dri,2,0,2,1,1,1,-1,-1,-1
caesar,2422,Caesar,sizX,4,3,1,0,4,0.333333333,0.333333333,-1,0.333333333
cafe,2424,cafe,k@fe,2,1,1,0,2,0,-1,-1,0
cage,2428,cage,keJ,17,15,2,8,9,0.382352941,0.371428571,0.571428571,1
cairn,2430,cairn,kErn,4,2,2,2,2,0.166666667,0,0,1
caisson,2431,caisson,kesan,2,2,0,1,1,0,0,-1,-1
caitiff,2432,caitiff,ketxf,1,1,0,1,0,-1,-1,-1,-1
cake,2435,cake,kek,26,23,3,17,9,0.313846154,0.328063241,0.485294118,1
calamine,2437,calamine,k@lxmYn,1,0,1,1,0,-1,-1,-1,-1
calcimine,2442,calcimine,k@lsxmYn,1,0,1,1,0,-1,-1,-1,-1
calendar,2451,calendar,k@l|ndX,1,1,0,1,0,-1,-1,-1,-1
calf,2453,calf,k@f,19,17,2,8,11,0.315789474,0.397058824,0.321428571,0.818181818
calibrate,2454,calibrate,k@l|bret,1,0,1,0,1,-1,-1,-1,-1
calibrator,2456,calibrator,k@l|bretX,1,0,1,0,1,-1,-1,-1,-1
calif,2459,calif,kelxf,2,2,0,2,0,0,0,0,-1
calk,2462,calk,kck,17,15,2,12,5,0.301470588,0.295238095,0.46969697,1
call,2463,call,kcl,26,23,3,21,5,0.310769231,0.343873518,0.433333333,1
calla,2464,calla,k@lx,7,4,3,3,4,0.047619048,0.166666667,0.333333333,0
calling,2466,calling,kclIG,3,2,1,3,0,1,1,1,-1
callous,2470,callous,k@lxs,5,4,1,4,1,0.6,1,1,-1
callow,2471,callow,k@lo,9,8,1,8,1,0.583333333,0.535714286,0.75,-1
callus,2472,callus,k@lxs,5,4,1,4,1,0.6,1,1,-1
calm,2473,calm,kam,17,15,2,8,9,0.272058824,0.352380952,0.321428571,0.777777778
calomel,2474,calomel,k@lxmL,1,1,0,1,0,-1,-1,-1,-1
calorie,2476,calorie,k@lXi,3,3,0,3,0,0.333333333,0.333333333,0.333333333,-1
calve,2483,calve,k@v,17,15,2,5,12,0.367647059,0.466666667,0.4,0.696969697
calves,2484,calves,k@vz,4,3,1,2,2,0.333333333,0.333333333,1,1
calvinism,2485,Calvinism,k@lvxnIzM,1,1,0,1,0,-1,-1,-1,-1
cam,2489,cam,k@m,27,22,5,15,12,0.262108262,0.341991342,0.428571429,0.712121212
camber,2491,camber,k@mbX,5,3,2,4,1,0.1,0,0.166666667,-1
came,2494,came,kem,24,21,3,15,9,0.31884058,0.333333333,0.495238095,1
camel,2495,camel,k@mL,8,7,1,1,7,0.392857143,0.476190476,-1,0.523809524
camp,2502,camp,k@mp,12,7,5,9,3,0.303030303,0.714285714,0.5,0.666666667
campaign,2503,campaign,k@mpen,1,1,0,1,0,-1,-1,-1,-1
camphor,2505,camphor,k@mfX,1,1,0,0,1,-1,-1,-1,-1
campus,2508,campus,k@mpxs,1,1,0,1,0,-1,-1,-1,-1
can,2510,can,k@n,35,27,8,21,14,0.211764706,0.310541311,0.347619048,0.582417582
canaille,2512,canaille,kxnel,1,1,0,0,1,-1,-1,-1,-1
canal,2513,canal,kxn@l,2,2,0,1,1,0,0,-1,-1
cancel,2520,cancel,k@nsL,9,8,1,6,3,0.111111111,0.107142857,0.2,0.333333333
cancellation,2521,cancellation,k@nsxleS|n,1,1,0,1,0,-1,-1,-1,-1
cancer,2522,cancer,k@nsX,6,4,2,2,4,0.266666667,0.166666667,1,0.5
candid,2526,candid,k@nd|d,2,2,0,1,1,0,0,-1,-1
candied,2529,candied,k@ndid,2,1,1,0,2,0,-1,-1,0
candle,2530,candle,k@ndL,11,9,2,6,5,0.2,0.222222222,0.466666667,0.4
candor,2532,candor,k@ndX,10,8,2,4,6,0.222222222,0.178571429,0.5,0.466666667
candy,2533,candy,k@ndi,10,6,4,3,7,0.2,0.266666667,1,0.285714286
cane,2534,cane,ken,33,30,3,24,9,0.287878788,0.326436782,0.420289855,1
canister,2536,canister,k@n|stX,1,1,0,1,0,-1,-1,-1,-1
canker,2537,canker,k@GkX,5,4,1,5,0,0.6,0.5,0.6,-1
canned,2538,canned,k@nd,16,10,6,8,8,0.275,0.4,0.75,0.428571429
canner,2539,canner,k@nX,11,6,5,3,8,0.272727273,0.4,1,0.428571429
cannery,2540,cannery,k@nXi,4,2,2,1,3,0.333333333,0,-1,0.666666667
cannon,2544,cannon,k@n|n,2,2,0,2,0,0,0,0,-1
cannot,2548,cannot,k@nat,1,0,1,0,1,-1,-1,-1,-1
canny,2549,canny,k@ni,14,10,4,2,12,0.274725275,0.4,0,0.378787879
canoe,2550,canoe,kxnu,2,1,1,1,1,0,-1,-1,-1
cant,2554,cant,k@nt,18,9,9,7,11,0.14379085,0.194444444,0.333333333,0.272727273
cantaloupe,2556,cantaloupe,k@ntxlop,1,0,1,1,0,-1,-1,-1,-1
canter,2560,canter,k@ntX,11,9,2,4,7,0.2,0.138888889,0.166666667,0.476190476
cantle,2563,cantle,k@ntL,9,6,3,2,7,0.222222222,0.266666667,0,0.380952381
canto,2564,canto,k@nto,5,4,1,1,4,0.6,0.5,-1,1
canton,2565,canton,k@ntN,5,3,2,0,5,0.7,1,-1,0.7
cantonal,2566,cantonal,k@ntNL,2,0,2,0,2,1,-1,-1,1
canyon,2569,canyon,k@nyxn,1,1,0,1,0,-1,-1,-1,-1
cap,2571,cap,k@p,30,28,2,19,11,0.282758621,0.32010582,0.450292398,0.836363636
capacious,2575,capacious,kxpeS|s,1,1,0,1,0,-1,-1,-1,-1
cape,2579,cape,kep,26,21,5,15,11,0.246153846,0.304761905,0.40952381,0.672727273
caper,2580,caper,kepX,9,8,1,6,3,0.194444444,0.214285714,0.4,0.333333333
capillary,2583,capillary,k@pxlEri,1,1,0,1,0,-1,-1,-1,-1
capital,2584,capital,k@p|tL,1,1,0,0,1,-1,-1,-1,-1
capitally,2589,capitally,k@pxtLi,1,0,1,0,1,-1,-1,-1,-1
capitol,2591,capitol,k@pxtL,2,1,1,0,2,0,-1,-1,0
capon,2593,capon,kepan,2,2,0,1,1,0,0,-1,-1
capsular,2601,capsular,k@psLX,1,0,1,0,1,-1,-1,-1,-1
capsule,2602,capsule,k@psL,3,1,2,2,1,0.333333333,-1,1,-1
captain,2603,captain,k@pt|n,1,1,0,0,1,-1,-1,-1,-1
caption,2604,caption,k@pS|n,2,2,0,0,2,0,0,-1,0
captious,2605,captious,k@pS|s,1,1,0,0,1,-1,-1,-1,-1
captivate,2606,captivate,k@pt|vet,1,0,1,0,1,-1,-1,-1,-1
captivator,2608,captivator,k@pt|vetX,1,0,1,0,1,-1,-1,-1,-1
captor,2611,captor,k@ptX,4,4,0,3,1,0.166666667,0.166666667,0.333333333,-1
capture,2612,capture,k@pCX,2,2,0,1,1,0,0,-1,-1
car,2614,car,kar,24,18,6,12,12,0.268115942,0.37254902,0.560606061,0.560606061
carabao,2615,carabao,k@rxbW,1,1,0,0,1,-1,-1,-1,-1
carafe,2618,carafe,kX@f,4,3,1,2,2,0.166666667,0.333333333,0,1
caramel,2619,caramel,k@rxmL,2,2,0,1,1,0,0,-1,-1
carat,2621,carat,k@rxt,3,2,1,3,0,0.333333333,1,0.333333333,-1
carbine,2626,carbine,karbYn,1,1,0,0,1,-1,-1,-1,-1
carbon,2629,carbon,karb|n,1,1,0,0,1,-1,-1,-1,-1
carbonation,2631,carbonation,karb|neS|n,1,1,0,1,0,-1,-1,-1,-1
card,2638,card,kard,15,13,2,10,5,0.40952381,0.5,0.8,0.7
cardinal,2641,cardinal,kardnL,1,0,1,0,1,-1,-1,-1,-1
care,2643,care,kEr,23,19,4,18,5,0.395256917,0.497076023,0.60130719,0.7
careen,2644,careen,kXin,8,6,2,6,2,0.214285714,0.266666667,0.4,0
career,2645,career,kXIr,2,2,0,2,0,1,1,1,-1
caress,2647,caress,kXEs,1,1,0,1,0,-1,-1,-1,-1
cargo,2650,cargo,kargo,2,1,1,2,0,1,-1,1,-1
caribou,2651,caribou,k@rxbu,1,1,0,0,1,-1,-1,-1,-1
caries,2653,caries,k@riz,3,2,1,1,2,0.333333333,0,-1,1
carillon,2654,carillon,k@rxlan,1,0,1,0,1,-1,-1,-1,-1
carillonneur,2655,carillonneur,k@rxlanR,1,0,1,0,1,-1,-1,-1,-1
carmine,2658,carmine,karmxn,2,0,2,1,1,0,-1,-1,-1
carnage,2659,carnage,karnIJ,1,1,0,0,1,-1,-1,-1,-1
carnal,2660,carnal,karnL,5,3,2,2,3,0.1,0.333333333,1,0
carnally,2662,carnally,karnLi,1,0,1,0,1,-1,-1,-1,-1
carol,2670,carol,k@rL,10,10,0,3,7,0.266666667,0.266666667,0.333333333,0.523809524
carom,2671,carom,k@rM,5,4,1,2,3,0.2,0.166666667,1,0.333333333
carousal,2673,carousal,kXWzL,1,0,1,0,1,-1,-1,-1,-1
carouse,2674,carouse,kXWz,1,0,1,0,1,-1,-1,-1,-1
carp,2676,carp,karp,8,5,3,2,6,0.285714286,0.4,1,0.466666667
carpel,2677,carpel,karpL,2,1,1,0,2,0,-1,-1,0
carriage,2682,carriage,k@rIJ,2,2,0,2,0,0,0,0,-1
carrier,2683,carrier,k@riX,5,4,1,3,2,0.4,0.5,1,1
carrion,2684,carrion,k@rixn,2,0,2,2,0,0,-1,0,-1
carry,2685,carry,k@ri,19,15,4,9,10,0.269005848,0.352380952,0.777777778,0.377777778
cart,2686,cart,kart,14,10,4,8,6,0.307692308,0.4,0.75,0.466666667
cartage,2687,cartage,kartIJ,4,1,3,1,3,0.166666667,-1,-1,0.333333333
cartilage,2689,cartilage,kartLIJ,2,1,1,0,2,1,-1,-1,1
carton,2692,carton,kartN,5,3,2,4,1,0.3,1,0.5,-1
cartridge,2694,cartridge,kartrIJ,3,2,1,1,2,0.333333333,0,-1,1
carve,2696,carve,karv,4,3,1,0,4,1,1,-1,1
cascara,2700,cascara,k@sk@rx,1,1,0,1,0,-1,-1,-1,-1
case,2701,case,kes,22,19,3,12,10,0.354978355,0.380116959,0.696969697,0.8
casein,2702,casein,kesin,1,1,0,0,1,-1,-1,-1,-1
cashew,2704,cashew,k@Su,3,2,1,0,3,1,1,-1,1
casing,2707,casing,kesIG,1,1,0,1,0,-1,-1,-1,-1
cask,2709,cask,k@sk,7,5,2,4,3,0.333333333,0.4,1,0.333333333
