lower,node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,all_cc,replace_cc,pos_l50_cc,pos_m50_cc
acrid,188,acrid,@krxd,1,0,1,1,0,-1,-1,-1,-1
acridity,189,acridity,@krId|ti,1,0,1,1,0,-1,-1,-1,-1
acrobatic,193,acrobatic,@krxb@tIk,2,1,1,1,1,0,-1,-1,-1
acrobatics,194,acrobatics,@krxb@tIks,1,0,1,0,1,-1,-1,-1,-1
acropolis,197,acropolis,xkrapLxs,1,0,1,1,0,-1,-1,-1,-1
across,198,across,xkrcs,2,0,2,2,0,0,-1,0,-1
act,200,act,@kt,9,4,5,7,2,0.25,0.5,0.428571429,0
action,203,action,@kS|n,3,1,2,3,0,0,-1,0,-1
active,205,active,@ktIv,1,1,0,1,0,-1,-1,-1,-1
actor,207,actor,@ktX,5,2,3,4,1,0.3,1,0.5,-1
actual,208,actual,@kCuL,2,0,2,1,1,0,-1,-1,-1
actually,210,actually,@kCuLi,1,0,1,0,1,-1,-1,-1,-1
actuarial,211,actuarial,@kCuEriL,1,0,1,0,1,-1,-1,-1,-1
actuary,212,actuary,@kCuEri,1,0,1,0,1,-1,-1,-1,-1
acute,216,acute,xkyut,2,1,1,1,1,0,-1,-1,-1
ad,217,ad,@d,25,10,15,15,10,0.27,0.466666667,0.580952381,0.422222222
adamant,220,adamant,@dxmxnt,1,1,0,1,0,-1,-1,-1,-1
adapt,222,adapt,xd@pt,2,2,0,2,0,1,1,1,-1
adder,226,adder,@dX,9,6,3,6,3,0.166666667,0.2,0.2,1
addiction,228,addiction,xdIkS|n,2,0,2,2,0,0,-1,0,-1
addition,229,addition,xdIS|n,5,2,3,4,1,0.1,1,0.166666667,-1
additional,230,additional,xdIS|nL,1,0,1,0,1,-1,-1,-1,-1
addle,232,addle,@dL,8,5,3,5,3,0.178571429,0.2,0.2,1
address,233,address,@drEs,2,0,2,1,1,0,-1,-1,-1
addressee,234,addressee,@drEsi,1,0,1,0,1,-1,-1,-1,-1
adduce,235,adduce,xdus,3,1,2,2,1,0.333333333,-1,1,-1
adept,236,adept,xdEpt,2,2,0,2,0,1,1,1,-1
adieu,240,adieu,xdyu,1,0,1,0,1,-1,-1,-1,-1
adjoin,247,adjoin,xJOn,2,1,1,1,1,0,-1,-1,-1
adjourn,248,adjourn,xJRn,1,1,0,0,1,-1,-1,-1,-1
adjudge,249,adjudge,xJ^J,1,0,1,1,0,-1,-1,-1,-1
adjuration,253,adjuration,@JXeS|n,2,2,0,2,0,1,1,1,-1
adjure,254,adjure,xJUr,4,4,0,3,1,0.5,0.5,1,-1
adjust,255,adjust,xJ^st,1,0,1,1,0,-1,-1,-1,-1
admiration,264,admiration,@dmXeS|n,1,0,1,1,0,-1,-1,-1,-1
admission,268,admission,xdmIS|n,1,0,1,1,0,-1,-1,-1,-1
ado,276,ado,xdu,4,1,3,2,2,0,-1,0,0
adopt,279,adopt,xdapt,2,2,0,2,0,1,1,1,-1
adoration,282,adoration,@dXeS|n,3,2,1,3,0,0.333333333,1,0.333333333,-1
adore,283,adore,xdor,2,1,1,1,1,0,-1,-1,-1
adorn,284,adorn,xdorn,1,0,1,0,1,-1,-1,-1,-1
adrift,286,adrift,xdrIft,1,0,1,1,0,-1,-1,-1,-1
adulation,289,adulation,@J|leS|n,1,1,0,1,0,-1,-1,-1,-1
adult,290,adult,xd^lt,1,1,0,1,0,-1,-1,-1,-1
adverb,303,adverb,@dvRb,2,2,0,0,2,1,1,-1,1
adverse,307,adverse,@dvRs,2,2,0,0,2,1,1,-1,1
