Item,IsWord,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
transatlantic,TRUE,4,13,854,7,1,0,32,411,41,990473,11,1
transcend,TRUE,2,8,687,10,1,1,24,768,67,1760747,9,1
transcended,TRUE,3,10,644,11,1,0,9,321,28,170598,10,2
transcendent,TRUE,3,11,788,13,1,0,21,778,33,454755,11,2
transcendentalists,TRUE,5,17,1039,15,0,0,1,26,0,25493,9,3
transcending,TRUE,3,10,751,10,1,0,4,251,23,260788,10,2
transcends,TRUE,2,9,691,10,1,1,23,563,72,464587,9,2
transcribe,TRUE,2,9,702,11,3,3,6,122,12,346988,10,1
transcribed,TRUE,2,10,831,11,3,3,14,724,13,1887302,10,2
transcribing,TRUE,3,11,693,10,0,0,6,179,2,297162,10,2
transcript,TRUE,2,10,700,11,1,1,705,947,355,8573144,11,1
transcription,TRUE,3,12,858,14,1,1,33,480,12,7265682,13,1
transcripts,TRUE,2,11,713,11,1,1,78,1007,211,5288391,11,2
transducer,TRUE,3,9,794,11,1,1,10,263,3,1304419,10,2
transducers,TRUE,3,10,722,11,1,1,2,142,0,906611,10,3
transfer,TRUE,2,7,507,9,5,2,1048,11502,700,61012378,8,1
transfered,TRUE,2,8,671,10,6,2,0,15,1,349611,8,NA
transferral,TRUE,3,9,675,11,0,0,1,13,0,21777,9,2
transferring,TRUE,3,9,583,10,0,1,120,1148,103,3349384,8,2
transfers,TRUE,2,8,675,9,5,2,64,1837,125,11404766,8,2
transfigure,TRUE,3,10,670,8,0,0,0,12,1,15859,8,1
transform,TRUE,2,9,723,10,3,1,112,3420,300,7497039,10,1
transformation,TRUE,4,12,721,15,1,1,101,5301,417,11398506,13,2
transformative,TRUE,4,13,1038,13,0,0,1,631,30,378516,10,NA
transformed,TRUE,2,10,675,11,4,1,101,4810,351,4918672,10,2
transformer,TRUE,3,10,718,12,5,2,27,197,21,2743177,11,2
transforms,TRUE,2,10,898,10,5,2,21,739,41,2026401,10,2
transfusion,TRUE,3,11,681,12,1,1,78,308,80,1192144,12,2
transgression,TRUE,3,11,682,14,1,1,25,347,10,362082,12,2
transient,TRUE,2,8,559,10,0,1,52,902,39,3512340,5,1
transients,TRUE,3,10,688,10,1,1,13,105,6,399917,9,NA
transit,TRUE,2,7,520,8,2,2,162,3425,465,25335012,8,1
transition,TRUE,3,9,551,11,2,1,159,9886,1617,20032306,10,2
transitional,TRUE,4,11,680,11,1,0,23,1479,212,4118474,10,3
transitioning,TRUE,4,11,708,11,0,0,1,299,47,527134,10,NA
transitions,TRUE,3,10,986,11,2,1,10,1470,44,4141050,10,3
transitive,TRUE,3,9,586,9,0,0,6,72,0,584498,8,2
translate,TRUE,2,8,553,10,3,4,246,2415,403,10757314,9,1
translated,TRUE,3,10,585,10,0,4,127,3307,325,8068739,9,2
translates,TRUE,2,9,592,10,3,4,74,1257,123,2023353,9,2
translating,TRUE,3,10,614,10,1,0,67,829,78,1787091,9,2
translation,TRUE,3,10,821,12,2,2,239,3446,179,30348250,11,2
translations,TRUE,3,11,692,12,2,2,22,890,12,6694257,11,3
translator,TRUE,3,9,558,11,4,2,115,2858,1925,5101117,10,2
translucence,TRUE,3,11,699,11,1,0,1,28,0,51294,11,1
translucent,TRUE,3,11,731,11,1,0,13,949,18,1432262,11,1
transmeridian,TRUE,5,13,832,8,0,0,0,3,0,20161,7,NA
transmissible,TRUE,4,12,876,11,0,0,0,84,10,187806,8,1
transmission,TRUE,3,10,766,13,3,1,435,4553,355,24206169,11,1
transmissions,TRUE,3,11,689,13,2,2,83,552,63,2400730,11,2
transmit,TRUE,2,8,548,9,2,2,146,1101,114,5365523,9,1
transmits,TRUE,2,9,618,9,2,2,21,236,11,901148,9,2
transmittable,TRUE,4,12,779,11,0,0,2,19,5,24976,10,2
transmitted,TRUE,3,10,615,11,0,1,102,2082,373,9934463,10,2
transmitter,TRUE,3,9,580,12,2,3,205,598,48,4739143,10,2
transmitting,TRUE,3,10,838,10,1,0,99,537,68,1988592,10,2
transmute,TRUE,2,9,599,10,0,1,3,37,2,71339,10,1
transmuted,TRUE,3,11,635,10,0,1,1,78,4,60030,10,2
transnational,TRUE,4,12,825,6,0,0,4,1136,26,1659842,6,NA
transom,TRUE,2,7,514,8,6,4,6,340,22,423077,8,1
transparency,TRUE,4,12,898,12,1,0,5,1762,372,5393362,13,1
transparent,TRUE,3,11,708,12,0,0,92,2488,268,7886012,12,1
transpiration,TRUE,4,12,909,9,0,0,0,40,1,168525,8,2
transplant,TRUE,2,10,689,11,1,1,260,2053,649,3831205,11,1
transplantation,TRUE,4,14,821,11,0,0,8,373,52,3295832,7,2
transplanting,TRUE,3,12,868,11,1,0,3,175,15,239832,12,2
transplants,TRUE,2,11,655,11,1,1,46,838,176,1294723,11,2
transport,TRUE,2,9,495,10,3,2,571,4131,409,47047997,10,1
transportation,TRUE,4,12,702,15,1,0,283,9071,1359,53123660,13,2
transporting,TRUE,3,11,858,10,0,0,75,704,91,2048843,10,2
transports,TRUE,2,10,716,10,3,2,43,389,64,1347837,10,2
transposed,TRUE,2,9,807,10,1,1,6,152,8,264076,9,2
transposing,TRUE,3,10,684,9,0,0,0,39,1,100424,9,2
transsexual,TRUE,4,12,848,12,1,1,27,108,35,6394035,13,NA
transshipment,TRUE,3,12,747,7,0,0,1,55,9,136274,6,2
transverse,TRUE,2,8,676,11,0,0,15,262,3,1731260,9,1
transversely,TRUE,3,10,722,11,0,0,1,20,0,117280,9,2
transvestitism,TRUE,5,15,1042,12,0,0,0,2,0,7984,10,2
trap,TRUE,1,4,380,5,34,17,1216,3687,440,7571926,5,1
trapdoor,TRUE,2,7,615,9,0,1,21,109,3,114001,6,NA
trapdoors,TRUE,2,8,631,9,0,1,1,19,0,14608,6,NA
