Item,node,ortho,phono,original,replace,delete_insert,replace_p,delins_p,pos_l50,pos_m50,all_cc,replace_cc,pos_l50_cc,pos_m50_cc,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,log_freq,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
account,140,account,xkWnt,2,1,1,0.5,0.5,2,0,0,-1,0,-1,2,5,523,8,4,1,2280,3.358125285,20141,2500,203612136,6,1
accrue,145,accrue,xkru,2,1,1,0.5,0.5,2,0,1,-1,1,-1,2,4,459,7,10,2,4,0.698970004,323,17,934795,5,1
accuse,154,accuse,xkyuz,5,3,2,0.6,0.4,2,3,0.2,0.333333333,1,0.333333333,2,5,599,7,16,3,290,2.463892989,1197,389,1048371,6,1
ace,157,ace,es,22,12,10,0.545454545,0.454545455,14,8,0.341991342,0.515151515,0.56043956,1,1,2,406,4,86,42,751,2.876217841,2970,120,11140861,3,1
ache,165,ache,ek,24,12,12,0.5,0.5,15,9,0.322463768,0.515151515,0.580952381,0.777777778,1,2,329,5,89,19,127,2.10720997,1047,60,1073348,3,1
acidity,170,acidity,xsId|ti,1,1,0,1,0,1,0,-1,-1,-1,-1,4,7,540,6,0,1,10,1.041392685,399,11,762749,6,2
acorn,178,acorn,ekorn,2,1,1,0.5,0.5,2,0,1,-1,1,-1,2,5,678,6,7,9,37,1.579783597,933,448,1832026,6,1
acquaint,180,acquaint,xkwent,1,0,1,0,1,1,0,-1,-1,-1,-1,2,6,520,9,1,0,20,1.322219295,114,6,368772,7,1
acquire,182,acquire,xkwYr,2,1,1,0.5,0.5,2,0,1,-1,1,-1,3,5,614,8,6,4,135,2.133538908,3452,277,8807297,6,1
acre,186,acre,ekX,3,1,2,0.333333333,0.666666667,2,1,0,-1,0,-1,2,3,558,5,55,17,93,1.973127854,4231,260,6661571,4,1
acrobatics,194,acrobatics,@krxb@tIks,1,0,1,0,1,0,1,-1,-1,-1,-1,4,10,662,10,1,2,11,1.079181246,127,12,205213,10,3
acropolis,197,acropolis,xkrapLxs,1,0,1,0,1,1,0,-1,-1,-1,-1,4,9,729,5,1,0,6,0.84509804,130,6,429879,4,1
across,198,across,xkrcs,2,0,2,0,1,2,0,0,-1,0,-1,2,5,606,5,8,2,4801,3.681422156,74527,11899,76600131,4,1
act,200,act,@kt,9,4,5,0.444444444,0.555555556,7,2,0.25,0.5,0.428571429,0,1,3,385,4,52,22,5565,3.745543202,42257,8275,141086424,4,1
action,203,action,@kS|n,3,1,2,0.333333333,0.666666667,3,0,0,-1,0,-1,2,5,351,7,14,7,3115,3.493597449,38931,8159,162029265,6,2
active,205,active,@ktIv,1,1,0,1,0,1,0,-1,-1,-1,-1,2,5,506,7,5,1,584,2.767155866,17997,2286,84091239,6,2
actor,207,actor,@ktX,5,2,3,0.4,0.6,4,1,0.3,1,0.5,-1,2,4,416,6,25,9,1343,3.128399269,9611,3815,16283217,5,2
actual,208,actual,@kCuL,2,0,2,0,1,1,1,0,-1,-1,-1,2,5,592,7,5,1,884,2.946943271,13849,2378,42552937,6,1
actually,210,actually,@kCuLi,1,0,1,0,1,0,1,-1,-1,-1,-1,2,5,496,7,5,1,16439,4.215901813,72504,38266,69447573,4,2
actuary,212,actuary,@kCuEri,1,0,1,0,1,0,1,-1,-1,-1,-1,4,7,718,7,1,0,7,0.903089987,146,37,583033,8,1
acute,216,acute,xkyut,2,1,1,0.5,0.5,1,1,0,-1,-1,-1,2,5,449,6,2,1,150,2.178976947,3508,229,11128841,6,1
ad,217,ad,@d,25,10,15,0.4,0.6,15,10,0.27,0.466666667,0.580952381,0.422222222,1,2,539,3,82,61,694,2.841984805,9589,2671,78774169,3,NA
adamant,220,adamant,@dxmxnt,1,1,0,1,0,1,0,-1,-1,-1,-1,3,7,609,8,0,0,50,1.707570176,716,160,510991,8,1
adapt,222,adapt,xd@pt,2,2,0,1,0,2,0,1,1,1,-1,2,5,498,6,5,3,134,2.130333768,2618,277,4679868,6,1
addiction,228,addiction,xdIkS|n,2,0,2,0,1,2,0,0,-1,0,-1,3,7,537,10,4,2,199,2.301029996,3809,967,9334031,8,2
addition,229,addition,xdIS|n,5,2,3,0.4,0.6,4,1,0.1,1,0.166666667,-1,3,6,503,9,5,3,395,2.597695186,27926,2101,73434482,7,2
additional,230,additional,xdIS|nL,1,0,1,0,1,0,1,-1,-1,-1,-1,4,8,497,11,2,0,300,2.478566496,20060,2293,132188550,9,3
addle,232,addle,@dL,8,5,3,0.625,0.375,5,3,0.178571429,0.2,0.2,1,2,4,529,6,34,6,8,0.954242509,24,0,21363,5,1
address,233,address,@drEs,2,0,2,0,1,1,1,0,-1,-1,-1,2,5,728,8,3,1,2666,3.426023016,24164,5214,261874562,6,1
addressee,234,addressee,@drEsi,1,0,1,0,1,0,1,-1,-1,-1,-1,3,6,567,9,2,3,6,0.84509804,164,1,513417,6,2
adduce,235,adduce,xdus,3,1,2,0.333333333,0.666666667,2,1,0.333333333,-1,1,-1,2,4,609,6,7,2,1,0.301029996,22,4,77225,4,1
adept,236,adept,xdEpt,2,2,0,1,0,2,0,1,1,1,-1,2,5,520,4,2,2,33,1.531478917,902,50,1597568,4,1
adjoin,247,adjoin,xJOn,2,1,1,0.5,0.5,1,1,0,-1,-1,-1,2,4,513,7,4,1,0,0,15,0,76889,5,1
adjourn,248,adjourn,xJRn,1,1,0,1,0,0,1,-1,-1,-1,-1,2,4,576,8,6,1,66,1.826074803,82,26,957864,5,1
adjure,254,adjure,xJUr,4,4,0,1,0,3,1,0.5,0.5,1,-1,2,5,473,5,0,0,1,0.301029996,4,0,22956,3,1
admiration,264,admiration,@dmXeS|n,1,0,1,0,1,1,0,-1,-1,-1,-1,4,8,848,11,2,1,107,2.033423755,1607,197,1261297,9,2
admission,268,admission,xdmIS|n,1,0,1,0,1,1,0,-1,-1,-1,-1,3,7,490,10,4,2,181,2.260071388,4560,491,16358995,8,1
