from_node,to_node,from_ortho,from_phono,to_ortho,to_phono,type,position,from_phono_length,position_percent
290,11843,adult,xd^lt,occult,xk^lt,replace,1,5,0.2
319,8244,adze,@dz,ides,Ydz,replace,0,3,0
319,11867,adze,@dz,odds,adz,replace,0,3,0
322,4130,aerate,Eret,crate,kret,replace,0,4,0
322,6791,aerate,Eret,freight,fret,replace,0,4,0
322,7371,aerate,Eret,grate,gret,replace,0,4,0
322,9178,aerate,Eret,irate,Yret,replace,0,4,0
322,11994,aerate,Eret,orate,oret,replace,0,4,0
322,13450,aerate,Eret,prate,pret,replace,0,4,0
322,17579,aerate,Eret,trait,tret,replace,0,4,0
323,11995,aeration,EreS|n,oration,oreS|n,replace,0,6,0
324,12032,aerial,@riL,oriel,oriL,replace,0,4,0
326,336,aerie,Eri,aery,@ri,replace,0,3,0
326,840,aerie,Eri,any,Eni,replace,1,3,0.333333333
326,5458,aerie,Eri,eddy,Edi,replace,1,3,0.333333333
326,5476,aerie,Eri,eery,Iri,replace,0,3,0
326,6139,aerie,Eri,eyrie,Yri,replace,0,3,0
326,6782,aerie,Eri,free,fri,replace,0,3,0
326,17293,aerie,Eri,three,Tri,replace,0,3,0
326,17671,aerie,Eri,tree,tri,replace,0,3,0
327,1065,aero,Ero,arrow,@ro,replace,0,3,0
327,4233,aero,Ero,crow,kro,replace,0,3,0
327,5438,aero,Ero,echo,Eko,replace,1,3,0.333333333
327,6822,aero,Ero,fro,fro,replace,0,3,0
327,7465,aero,Ero,grow,gro,replace,0,3,0
327,13670,aero,Ero,pro,pro,replace,0,3,0
327,17308,aero,Ero,throe,Tro,replace,0,3,0
327,17776,aero,Ero,trow,tro,replace,0,3,0
328,13677,aerobe,Erob,probe,prob,replace,0,4,0
336,519,aery,@ri,alley,@li,replace,1,3,0.333333333
336,1116,aery,@ri,ashy,@Si,replace,1,3,0.333333333
336,5476,aery,@ri,eery,Iri,replace,0,3,0
336,6139,aery,@ri,eyrie,Yri,replace,0,3,0
336,6782,aery,@ri,free,fri,replace,0,3,0
336,17293,aery,@ri,three,Tri,replace,0,3,0
336,17671,aery,@ri,tree,tri,replace,0,3,0
340,5866,aestivation,EstxveS|n,estimation,EstxmeS|n,replace,4,9,0.444444444
341,444,afar,xfar,ajar,xJar,replace,1,4,0.25
343,964,affable,@fxbL,arable,@rxbL,replace,1,5,0.2
345,1379,affair,xfEr,aware,xwEr,replace,1,4,0.25
346,5478,affect,xfEkt,effect,IfEkt,replace,0,5,0
346,5512,affect,xfEkt,elect,xlEkt,replace,1,5,0.2
348,5513,affection,xfEkS|n,election,xlEkS|n,replace,1,7,0.142857143
349,5481,afferent,@fXxnt,efferent,EfXxnt,replace,0,6,0
352,11888,affiliate,xfIliet,officiate,xfISiet,replace,3,7,0.428571429
361,1378,afford,xford,award,xword,replace,1,5,0.2
369,1254,afire,xfYr,attire,xtYr,replace,1,4,0.25
381,780,aft,@ft,ant,@nt,replace,1,3,0.333333333
381,948,aft,@ft,apt,@pt,replace,1,3,0.333333333
381,11894,aft,@ft,oft,cft,replace,0,3,0
382,1175,after,@ftX,aster,@stX,replace,1,4,0.25
393,5461,age,eJ,edge,EJ,replace,0,2,0
393,18220,age,eJ,urge,RJ,replace,0,2,0
397,18221,agent,eJ|nt,urgent,RJ|nt,replace,0,5,0
406,11972,aggression,xgrES|n,oppression,xprES|n,replace,1,7,0.142857143
408,1346,aghast,xg@st,avast,xv@st,replace,1,5,0.2
409,908,agile,@JL,apple,@pL,replace,1,3,0.333333333
411,754,agitate,@J|tet,annotate,@n|tet,replace,1,6,0.166666667
412,755,agitation,@J|teS|n,annotation,@n|teS|n,replace,1,8,0.125
418,5484,ago,xgo,ego,igo,replace,0,3,0
431,758,ahoy,xhO,annoy,xnO,replace,1,3,0.333333333
432,8230,aid,ed,id,Id,replace,0,2,0
432,11865,aid,ed,odd,ad,replace,0,2,0
432,11868,aid,ed,ode,od,replace,0,2,0
434,443,ail,el,aisle,Yl,replace,0,2,0
434,501,ail,el,all,cl,replace,0,2,0
434,5407,ail,el,earl,Rl,replace,0,2,0
434,5475,ail,el,eel,il,replace,0,2,0
434,5554,ail,el,ell,El,replace,0,2,0
434,8270,ail,el,ill,Il,replace,0,2,0
434,11900,ail,el,oil,Ol,replace,0,2,0
434,12218,ail,el,owl,Wl,replace,0,2,0
437,582,aim,em,am,@m,replace,0,2,0
437,10213,aim,em,m,Em,replace,0,2,0
437,11898,aim,em,ohm,om,replace,0,2,0
438,1009,air,Er,are,ar,replace,0,2,0
438,5406,air,Er,ear,Ir,replace,0,2,0
438,8062,air,Er,hour,Wr,replace,0,2,0
438,9179,air,Er,ire,Yr,replace,0,2,0
438,11774,air,Er,oar,or,replace,0,2,0
443,501,aisle,Yl,all,cl,replace,0,2,0
443,5407,aisle,Yl,earl,Rl,replace,0,2,0
443,5475,aisle,Yl,eel,il,replace,0,2,0
443,5554,aisle,Yl,ell,El,replace,0,2,0
443,8270,aisle,Yl,ill,Il,replace,0,2,0
443,11900,aisle,Yl,oil,Ol,replace,0,2,0
443,12218,aisle,Yl,owl,Wl,replace,0,2,0
446,15757,akin,xkIn,skin,skIn,replace,0,4,0
467,5510,alder,cldX,elder,EldX,replace,0,4,0
469,519,alee,xli,alley,@li,replace,0,3,0
469,5409,alee,xli,early,Rli,replace,0,3,0
469,6521,alee,xli,flea,fli,replace,0,3,0
469,7206,alee,xli,glee,gli,replace,0,3,0
469,13128,alee,xli,plea,pli,replace,0,3,0
472,1148,alert,xlRt,assert,xsRt,replace,1,4,0.25
472,1357,alert,xlRt,avert,xvRt,replace,1,4,0.25
472,1975,alert,xlRt,blurt,blRt,replace,0,4,0
472,6549,alert,xlRt,flirt,flRt,replace,0,4,0
483,1358,alien,elixn,avian,evixn,replace,1,5,0.2
487,1026,alight,xlYt,aright,xrYt,replace,1,4,0.25
487,1920,alight,xlYt,blight,blYt,replace,0,4,0
487,6539,alight,xlYt,flight,flYt,replace,0,4,0
