Lower,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
absenteeism,absenteeism,5,11,778,9,0,0,5,274,5,409780,8,3
absently,absently,3,8,678,7,1,0,0,458,2,95372,7,2
absolute,absolute,3,7,571,9,2,2,577,6055,1249,16202148,8,1
absolutely,absolutely,4,9,649,9,0,0,5769,25214,17909,20818988,8,2
absolutes,absolutes,3,8,690,9,2,2,21,122,12,225325,8,2
absolution,absolution,4,9,719,9,0,0,48,155,6,270168,7,1
absolve,absolve,2,6,681,8,3,4,29,139,38,168029,7,1
absorb,absorb,2,6,616,7,3,1,101,2340,280,2378096,7,1
absorbed,absorbed,2,7,548,8,3,1,78,2877,181,3125006,7,2
absorbing,absorbing,3,8,595,7,0,0,23,991,66,1613367,7,2
absorbs,absorbs,2,7,758,7,4,1,25,524,28,685141,7,2
absorption,absorption,3,9,575,6,1,0,18,1421,38,5294724,4,1
abstain,abstain,2,6,646,8,3,0,26,254,41,857265,7,1
abstention,abstention,3,9,662,11,2,2,6,87,9,212609,10,1
abstinence,abstinence,3,9,646,9,1,0,45,1126,189,1160063,9,1
abstinent,abstinent,3,9,576,9,1,0,3,247,4,68711,9,1
abstract,abstract,2,8,623,9,1,1,111,4713,221,55954667,9,1
abstractedness,abstractedness,4,13,888,11,0,0,0,0,0,2130,9,3
abstracting,abstracting,3,10,658,10,2,0,1,61,2,341769,10,2
abstraction,abstraction,3,10,604,12,1,1,15,1001,24,2366467,11,2
