idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50
1156,assign,xsYn,5,4,1,3,2
1162,assize,xsYz,4,3,1,2,2
1172,assure,xSUr,6,4,2,4,2
1203,at,@t,31,12,19,23,8
1206,ate,et,27,14,13,17,10
1221,atom,@tM,5,4,1,3,2
1228,atone,xton,5,4,1,3,2
1238,attack,xt@k,4,3,1,3,1
1239,attain,xten,7,5,2,4,3
1244,attar,@tX,18,6,12,16,2
1265,attune,xtun,3,2,1,1,2
1280,audit,cd|t,2,1,1,1,1
1286,aught,ct,23,10,13,15,8
1291,auk,ck,16,8,8,11,5
1292,auld,cld,4,1,3,2,2
1294,aural,crL,7,3,4,6,1
1319,auto,cto,4,2,2,2,2
1337,autumn,ctM,4,3,1,2,2
1352,aver,xvR,5,2,3,1,4
1355,averse,xvRs,4,2,2,2,2
1357,avert,xvRt,5,4,1,3,2
1373,avow,xvW,5,2,3,2,3
1375,await,xwet,6,4,2,4,2
1376,awake,xwek,4,2,2,2,2
1381,awe,c,20,4,16,15,5
1383,aweigh,xwe,6,3,3,4,2
1386,awful,cfL,4,3,1,1,3
1387,awhile,xhwYl,2,1,1,1,1
1388,awhirl,xhwRl,2,1,1,1,1
1390,awn,cn,16,9,7,11,5
1393,awry,xrY,9,6,3,6,3
1394,axe,@ks,9,4,5,6,3
1400,ay,Y,25,4,21,21,4
1401,ayah,Yx,7,4,3,3,4
1406,b,bi,35,24,11,20,15
1408,babe,beb,13,10,3,2,11
1409,Babel,bebL,16,14,2,12,4
1412,baby,bebi,5,4,1,3,2
1418,back,b@k,32,28,4,20,12
1428,bad,b@d,30,27,3,19,11
1429,badge,b@J,13,12,1,2,11
1433,baffle,b@fL,6,5,1,1,5
1434,bag,b@g,28,26,2,17,11
1439,baggy,b@gi,3,2,1,2,1
1442,baht,bat,34,31,3,26,8
1443,bail,bel,33,30,3,24,9
1447,bairn,bErn,6,5,1,3,3
1448,bait,bet,33,29,4,23,10
1449,baize,bez,22,19,3,13,9
1450,bake,bek,29,26,3,20,9
1457,bald,bcld,4,2,2,3,1
1464,balk,bck,19,18,1,15,4
1465,ball,bcl,24,21,3,19,5
1473,ballot,b@l|t,6,5,1,5,1
1476,balm,bam,13,12,1,6,7
1482,ban,b@n,30,25,5,17,13
1486,band,b@nd,19,13,6,14,5
1497,bandy,b@ndi,6,4,2,4,2
1498,bane,ben,32,28,4,23,9
1499,bang,b@G,19,18,1,8,11
1505,bank,b@Gk,15,11,4,12,3
1508,banner,b@nX,10,8,2,4,6
1510,banns,b@nz,5,4,1,1,4
1515,banter,b@ntX,4,2,2,2,2
1524,bar,bar,24,17,7,12,12
1525,barb,barb,10,6,4,1,9
1534,barber,barbX,6,4,2,2,4
1539,bard,bard,19,17,2,11,8
1540,bare,bEr,26,21,5,18,8
1542,barge,barJ,9,8,1,3,6
1545,bark,bark,15,11,4,7,8
1549,barn,barn,11,10,1,5,6
1570,barrow,b@ro,10,9,1,7,3
1573,basal,besL,6,5,1,1,5
1576,base,bes,27,20,7,15,12
1578,bash,b@S,24,21,3,14,10
1584,basin,besN,8,7,1,5,3
1586,bask,b@sk,10,7,3,5,5
1588,bass,b@s,23,18,5,10,13
1590,basso,b@so,6,5,1,1,5
1593,bast,b@st,18,15,3,14,4
1595,baste,best,16,14,2,12,4
1598,bat,b@t,40,33,7,25,15
1601,bathe,beD,10,9,1,1,9
1607,batman,b@tmxn,2,1,1,1,1
1612,batteau,b@to,7,6,1,1,6
1613,batten,b@tN,11,10,1,7,4
1614,batter,b@tX,19,15,4,12,7
1617,battle,b@tL,14,13,1,6,8
1621,bay,be,35,22,13,17,18
1624,bayou,bYu,8,6,2,3,5
1627,beach,biC,18,14,4,11,7
1630,bead,bid,26,21,5,17,9
1631,beadle,bidL,6,5,1,2,4
1632,beagle,bigL,6,5,1,4,2
1633,beak,bik,28,23,5,19,9
1634,beaked,bikt,5,3,2,1,4
1635,beaker,bikX,4,3,1,1,3
1636,beam,bim,16,14,2,9,7
1637,bean,bin,25,23,2,17,8
1638,beanie,bini,6,5,1,5,1
1639,beard,bIrd,6,4,2,3,3
1642,beast,bist,13,11,2,11,2
1643,beat,bit,33,26,7,22,11
1644,beaten,bitN,6,4,2,4,2
1648,beau,bo,32,20,12,15,17
1655,beaux,boz,18,17,1,10,8
1664,bed,bEd,25,21,4,19,6
1676,beef,bif,15,13,2,8,7
1678,been,bIn,27,25,2,19,8
1679,beer,bIr,29,26,3,21,8
1681,beetle,bitL,6,5,1,2,4
1682,beeves,bivz,5,4,1,4,1
1687,befoul,bxfWl,2,1,1,1,1
1690,beg,bEg,14,13,1,8,6
1692,beggar,bEgX,3,2,1,1,2
1708,belch,bElC,6,5,1,1,5
1717,bell,bEl,27,22,5,18,9
1724,bellow,bElo,12,10,2,8,4
1726,belly,bEli,11,10,1,5,6
1728,belt,bElt,17,15,2,10,7
1732,bench,bEnC,7,6,1,4,3
1733,bend,bEnd,18,15,3,15,3
1746,bent,bEnt,17,16,1,12,5
1755,beret,bXe,2,1,1,1,1
1756,berg,bRg,13,11,2,5,8
1759,berry,bEri,13,10,3,7,6
1761,berth,bRT,16,14,2,9,7
1762,beryl,bErL,10,8,2,3,7
1770,best,bEst,23,20,3,20,3
1774,bet,bEt,32,27,5,23,9
1776,bethel,bETL,4,3,1,1,3
1778,better,bEtX,8,7,1,6,2
1803,bid,bId,25,21,4,15,10
1804,bidden,bIdN,7,6,1,5,2
1805,bide,bYd,23,19,4,17,6
1810,big,bIg,20,19,1,13,7
1813,bight,bYt,28,25,3,23,5
1816,bike,bYk,19,18,1,14,5
1819,bile,bYl,24,21,3,18,6
1820,bilge,bIlJ,8,7,1,1,7
1823,bilk,bIlk,11,9,2,4,7
1824,bill,bIl,35,28,7,22,13
1825,billet,bIl|t,5,4,1,4,1
1831,billow,bIlo,11,9,2,5,6
1832,billy,bIli,13,12,1,6,7
1836,bind,bYnd,12,10,2,11,1
1837,binge,bInJ,5,4,1,3,2
1854,birch,bRC,15,14,1,8,7
1855,bird,bRd,22,18,4,12,10
1856,birdie,bRdi,7,6,1,3,4
1864,bisque,bIsk,5,4,1,4,1
1866,bit,bIt,35,30,5,25,10
1867,bitch,bIC,18,17,1,11,7
1869,bitten,bItN,10,8,2,7,3
1870,bitter,bItX,10,7,3,5,5
1872,bitters,bItXz,3,2,1,1,2
1877,blab,bl@b,5,4,1,2,3
1878,black,bl@k,10,7,3,6,4
1885,bladder,bl@dX,2,1,1,1,1
1886,blade,bled,9,8,1,3,6
1887,blain,blen,9,7,2,5,4
1888,blame,blem,7,6,1,3,4
1891,bland,bl@nd,8,6,2,7,1
1893,blank,bl@Gk,7,4,3,6,1
1895,blare,blEr,7,5,2,4,3
1902,blather,bl@DX,2,1,1,1,1
1903,blaze,blez,11,6,5,5,6
1905,blazon,blezN,3,2,1,1,2
1906,bleach,bliC,7,5,2,3,4
1908,bleak,blik,10,7,3,5,5
1909,blear,blIr,7,4,3,4,3
1911,bleat,blit,14,12,2,7,7
1912,bled,blEd,12,9,3,6,6
