idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50
3160,chute,Sut,17,16,1,16,1
3166,cider,sYdX,8,5,3,5,3
3169,cinch,sInC,8,6,2,5,3
3182,circuit,sRk|t,3,2,1,1,2
3210,cite,sYt,28,24,4,22,6
3216,city,sIti,7,6,1,5,2
3219,civil,sIvL,7,4,3,3,4
3224,clack,kl@k,23,20,3,9,14
3225,clad,kl@d,13,11,2,4,9
3226,claim,klem,8,4,4,5,3
3229,clam,kl@m,16,11,5,4,12
3232,clamor,kl@mX,8,6,2,1,7
3233,clamp,kl@mp,9,5,4,4,5
3234,clan,kl@n,12,11,1,3,9
3236,clang,kl@G,12,10,2,1,11
3238,clank,kl@Gk,9,6,3,6,3
3239,clap,kl@p,16,11,5,4,12
3249,clash,kl@S,14,12,2,6,8
3251,class,kl@s,12,10,2,3,9
3253,classical,kl@sIkL,2,1,1,1,1
3258,clatter,kl@tX,6,5,1,3,3
3259,clause,klcz,4,2,2,1,3
3264,claw,klc,9,5,4,3,6
3265,clay,kle,10,7,3,6,4
3266,clean,klin,11,8,3,6,5
3268,cleanse,klEnz,2,1,1,1,1
3269,clear,klIr,9,8,1,5,4
3273,cleat,klit,11,10,1,6,5
3275,cleave,kliv,6,5,1,2,4
3276,clef,klEf,3,1,2,1,2
3284,clerk,klRk,8,7,1,2,6
3286,clew,klu,12,9,3,9,3
3288,click,klIk,19,14,5,8,11
3296,climb,klYm,5,4,1,3,2
3298,cling,klIG,14,8,6,7,7
3301,clink,klIGk,8,3,5,5,3
3302,clinker,klIGkX,2,1,1,1,1
3303,clip,klIp,11,9,2,5,6
3305,clique,klik,13,12,1,4,9
3306,cloak,klok,13,12,1,2,11
3308,clock,klak,15,13,2,5,10
3309,clod,klad,9,8,1,3,6
3310,clog,klag,6,5,1,2,4
3313,clop,klap,12,10,2,6,6
3318,clot,klat,12,10,2,6,6
3319,cloth,klcT,3,2,1,1,2
3320,clothe,kloD,6,5,1,1,5
3325,cloud,klWd,7,6,1,3,4
3326,clout,klWt,7,6,1,3,4
3327,clove,klov,8,6,2,1,7
3329,clover,klovX,4,3,1,1,3
3331,cloy,klO,6,5,1,3,3
3332,club,kl^b,4,3,1,1,3
3333,cluck,kl^k,11,10,1,2,9
3336,clung,kl^G,8,7,1,3,5
3337,cluster,kl^stX,5,3,2,4,1
3339,clutter,kl^tX,4,2,2,3,1
3343,coal,kol,35,32,3,23,12
3348,coarse,kors,16,12,4,5,11
3350,coast,kost,12,11,1,9,3
3352,coat,kot,31,26,5,19,12
3354,coax,koks,6,5,1,1,5
3356,cob,kab,22,21,1,13,9
3358,cobble,kabL,8,7,1,5,3
3359,cobbler,kablX,2,1,1,1,1
3367,cock,kak,30,24,6,18,12
3375,cockle,kakL,6,5,1,1,5
3377,cocky,kaki,11,9,2,5,6
3381,cod,kad,27,22,5,17,10
3382,coda,kodx,5,4,1,1,4
3383,coddle,kadL,10,9,1,7,3
3384,code,kod,28,23,5,16,12
3388,codger,kaJX,6,5,1,2,4
3398,coerce,koRs,3,2,1,1,2
3403,coffer,kcfX,3,1,2,1,2
3405,cog,kag,12,11,1,4,8
3420,coif,kOf,6,5,1,3,3
3423,coil,kOl,18,16,2,15,3
3424,coin,kOn,14,13,1,11,3
3429,coke,kok,29,22,7,16,13
3430,cola,kolx,9,7,2,3,6
3432,cold,kold,15,11,4,10,5
3434,colic,kalIk,6,5,1,5,1
3439,collard,kalXd,4,3,1,1,3
3447,colleen,kalin,3,1,2,1,2
3452,collie,kali,12,10,2,6,6
3471,color,k^lX,8,4,4,2,6
3474,colored,k^lXd,4,3,1,3,1
3479,colt,kolt,16,13,3,9,7
3484,coma,komx,6,5,1,1,5
3485,comb,kom,24,20,4,13,11
3495,come,k^m,22,20,2,16,6
3502,comet,kamxt,4,2,2,1,3
3511,comma,kamx,8,3,5,4,4
3512,command,kxm@nd,4,2,2,1,3
3520,commend,kxmEnd,3,2,1,1,2
3527,commination,kamxneS|n,3,2,1,2,1
3539,common,kamxn,3,1,2,1,2
3613,con,kan,22,21,1,14,8
3634,conch,kaGk,4,1,3,1,3
3677,cone,kon,35,30,5,24,11
3679,coney,koni,7,4,3,4,3
3751,conquer,kaGkX,3,2,1,1,2
3913,coo,ku,31,24,7,19,12
3914,cook,kUk,15,13,2,13,2
3916,cooky,kUki,5,3,2,3,2
3917,cool,kul,22,18,4,17,5
3919,coolie,kuli,5,4,1,3,2
3920,coon,kun,23,21,2,19,4
3921,coop,kup,20,15,5,14,6
3922,cooper,kupX,6,5,1,3,3
3926,coot,kut,24,21,3,19,5
3927,cootie,kuti,7,6,1,5,2
3928,cop,kap,30,24,6,18,12
3930,cope,kop,25,23,2,16,9
3934,copper,kapX,9,8,1,3,6
3939,copse,kaps,6,4,2,2,4
3943,copy,kapi,8,7,1,3,5
3946,coracle,kcrxkL,3,2,1,2,1
3947,coral,kcrL,9,7,2,7,2
3948,corbel,korbL,3,2,1,1,2
3954,cordon,kordN,3,2,1,1,2
3958,core,kor,36,26,10,20,16
3960,cork,kork,11,9,2,4,7
3962,corn,korn,20,14,6,11,9
3971,corolla,kXolx,2,1,1,1,1
3985,corpus,korpxs,2,1,1,1,1
4023,cost,kcst,5,3,2,4,1
4027,cot,kat,35,30,5,24,11
4032,cottar,katX,9,7,2,4,5
4033,cotton,katN,7,5,2,5,2
4036,couch,kWC,9,7,2,6,3
4039,cough,kcf,11,7,4,4,7
4042,count,kWnt,7,4,3,5,2
4044,counter,kWntX,3,2,1,1,2
4063,county,kWnti,3,2,1,1,2
4064,coupe,kupe,3,2,1,1,2
4065,couple,k^pL,4,3,1,1,3
4071,courier,kRiX,2,1,1,1,1
4072,court,kort,17,14,3,8,9
4081,cove,kov,18,17,1,9,9
4082,coven,k^vxn,2,1,1,1,1
4089,cow,kW,19,15,4,10,9
4092,cower,kWX,9,7,2,5,4
4094,cowl,kWl,18,15,3,15,3
4095,cowlick,kWlIk,3,2,1,2,1
4096,cowling,kWlIG,4,3,1,3,1
4101,coy,kO,14,10,4,5,9
4105,crab,kr@b,10,8,2,3,7
4107,crabby,kr@bi,3,1,2,1,2
4108,crack,kr@k,18,14,4,5,13
4110,crackle,kr@kL,4,2,2,2,2
4113,craft,kr@ft,4,2,2,3,1
4115,crafty,kr@fti,2,1,1,1,1
4116,crag,kr@g,8,7,1,3,5
4117,cram,kr@m,16,13,3,6,10
4118,cramp,kr@mp,6,3,3,5,1
4120,crane,kren,15,12,3,7,8
4122,crank,kr@Gk,8,5,3,6,2
4124,cranny,kr@ni,3,2,1,2,1
4125,crape,krep,12,9,3,5,7
4126,craps,kr@ps,2,1,1,1,1
4128,crash,kr@S,13,11,2,6,7
4129,crass,kr@s,13,11,2,4,9
4130,crate,kret,16,13,3,9,7
4131,crater,kretX,5,2,3,4,1
4133,crave,krev,8,6,2,4,4
4137,crawl,krcl,9,7,2,6,3
4140,craze,krez,11,9,2,5,6
4142,creak,krik,15,14,1,5,10
4143,cream,krim,12,10,2,3,9
4156,creditor,krEd|tX,2,1,1,1,1
4160,creed,krid,11,9,2,3,8
4161,creel,kril,10,7,3,2,8
4162,creep,krip,11,8,3,2,9
4169,creole,kriol,3,2,1,2,1
4171,crept,krEpt,3,2,1,2,1
4175,cress,krEs,9,8,1,4,5
4176,crest,krEst,9,6,3,6,3
4182,crew,kru,19,10,9,11,8
4183,crib,krIb,3,2,1,1,2
4185,crick,krIk,13,11,2,7,6
4187,crier,krYX,7,6,1,5,2
4188,crime,krYm,10,8,2,4,6
4193,crimp,krImp,5,4,1,4,1
4198,cripple,krIpL,3,2,1,2,1
4208,croak,krok,12,9,3,3,9
4210,crock,krak,11,9,2,4,7
4213,crone,kron,14,9,5,6,8
4214,crony,kroni,4,2,2,2,2
4215,crook,krUk,8,6,2,3,5
4217,croon,krun,11,8,3,3,8
4218,crop,krap,9,8,1,4,5
4223,cross,krcs,5,4,1,1,4
4229,crouch,krWC,7,6,1,2,5
4230,croup,krup,12,10,2,4,8
4233,crow,kro,14,10,4,9,5
4244,crude,krud,11,9,2,4,7
4246,cruel,krul,11,8,3,4,7
4248,cruise,kruz,8,6,2,1,7
4251,crumb,kr^m,11,9,2,5,6
4252,crumble,kr^mbL,3,2,1,2,1
4254,crumple,kr^mpL,2,1,1,1,1
4255,crunch,kr^nC,2,1,1,1,1
4257,crush,kr^S,7,6,1,3,4
4260,crutch,kr^C,6,5,1,1,5
4263,cry,krY,10,7,3,6,4
4264,crypt,krIpt,3,2,1,2,1
4265,cryptic,krIptIk,2,1,1,1,1
4270,cub,k^b,18,17,1,12,6
4274,cubicle,kyubIkL,2,1,1,1,1
4278,cud,k^d,18,16,2,11,7
4279,cuddle,k^dL,10,9,1,7,3
4281,cue,kyu,12,7,5,9,3
4285,cull,k^l,24,21,3,16,8
4290,cult,k^lt,7,4,3,4,3
4294,culture,k^lCX,2,1,1,1,1
4303,cup,k^p,18,15,3,10,8
4309,cur,kR,21,13,8,8,13
4313,curb,kRb,12,11,1,5,7
4314,curd,kRd,19,17,2,11,8
4315,curdle,kRdL,8,7,1,5,3
4318,curia,kyUrix,3,1,2,1,2
4321,curious,kyUrixs,2,1,1,1,1
4323,curl,kRl,23,20,3,15,8
4329,curry,kRi,14,10,4,5,9
4330,curse,kRs,16,14,2,9,7
4333,curt,kRt,26,21,5,17,9
4335,curtain,kRtN,5,4,1,3,2
4338,curve,kRv,13,12,1,6,7
4351,cut,k^t,25,23,2,17,8
4354,cute,kyut,6,3,3,4,2
4359,cutter,k^tX,12,9,3,9,3
4378,cymbal,sImbL,4,3,1,3,1
4383,cyst,sIst,10,7,3,6,4
4387,d,di,29,22,7,19,10
4388,dab,d@b,14,12,2,10,4
4389,dabble,d@bL,8,7,1,5,3
4390,dace,des,20,17,3,13,7
4395,dad,d@d,21,18,3,16,5
4396,daddy,d@di,7,5,2,4,3
4403,daily,deli,9,8,1,7,2
4406,dairy,dEri,11,9,2,10,1
4408,daisy,dezi,6,5,1,4,2
4409,dale,del,30,27,3,23,7
4410,dally,d@li,14,13,1,13,1
4412,dam,d@m,22,18,4,17,5
4416,dame,dem,23,21,2,17,6
4420,damp,d@mp,9,8,1,7,2
4430,dandy,d@ndi,6,5,1,3,3
4431,Dane,den,29,27,2,23,6
4438,dapple,d@pL,5,4,1,2,3
4439,dare,dEr,26,24,2,17,9
4441,dark,dark,10,8,2,7,3
4447,darn,darn,7,5,2,3,4
4448,darnel,darnL,3,2,1,2,1
4449,dart,dart,10,8,2,7,3
4450,dash,d@S,15,14,1,12,3
4453,date,det,24,20,4,16,8
4459,daunt,dcnt,10,9,1,9,1
4465,dawn,dcn,19,16,3,16,3
4466,day,de,27,20,7,15,12
4468,daze,dez,19,17,2,12,7
4469,dazzle,d@zL,4,3,1,2,2
4473,dead,dEd,24,22,2,15,9
4474,deaden,dEdN,3,2,1,2,1
4478,deaf,dEf,13,11,2,4,9
4480,deal,dil,29,24,5,22,7
4481,dealer,dilX,5,4,1,3,2
4483,dealt,dElt,17,12,5,10,7
4484,dean,din,24,23,1,19,5
4485,dear,dIr,29,27,2,21,8
4486,dearth,dRT,10,9,1,7,3
4487,death,dET,10,9,1,1,9
4489,deb,dEb,14,13,1,6,8
4500,debt,dEt,28,24,4,17,11
4528,deck,dEk,20,19,1,11,9
4564,deed,did,18,17,1,13,5
4565,deem,dim,18,16,2,13,5
4566,deep,dip,18,17,1,13,5
4567,deface,dIfes,3,2,1,2,1
4576,defend,dxfEnd,3,2,1,2,1
4577,defense,dxfEns,2,1,1,1,1
4584,define,dIfYn,4,3,1,2,2
4592,deft,dEft,10,7,3,5,5
4610,delay,dxle,3,2,1,2,1
4611,dele,dili,10,8,2,8,2
4629,dell,dEl,29,25,4,19,10
4637,delve,dElv,4,3,1,2,2
4675,den,dEn,33,29,4,22,11
4681,denim,dEnM,4,3,1,1,3
4687,dense,dEns,11,10,1,8,3
4689,dent,dEnt,19,16,3,12,7
4690,dental,dEntL,5,4,1,4,1
4721,deprivation,dEprxveS|n,2,1,1,1,1
4756,desiccation,dEsIkeS|n,2,1,1,1,1
4763,desk,dEsk,3,2,1,2,1
4773,despot,dEspxt,2,1,1,1,1
4808,deuce,dus,20,17,3,11,9
4821,devise,dxvYz,5,4,1,1,4
4823,devoid,dxvOd,2,1,1,1,1
4831,dew,du,34,23,11,19,15
4836,dhow,dW,20,14,6,9,11
4846,dial,dYl,26,24,2,18,8
4860,diary,dYri,6,4,2,5,1
4865,dice,dYs,19,16,3,11,8
4868,dicky,dIki,6,5,1,1,5
4878,did,dId,21,20,1,13,8
4881,die,dY,31,21,10,17,14
4883,dies,dYz,16,15,1,8,8
4901,dike,dYk,19,18,1,11,8
4910,dill,dIl,31,29,2,23,8
4913,dim,dIm,21,20,1,12,9
4914,dime,dYm,20,19,1,12,8
4920,dimmer,dImX,8,7,1,2,6
4922,din,dIn,32,28,4,21,11
4924,dine,dYn,30,28,2,21,9
4925,diner,dYnX,7,6,1,5,2
4931,dinky,dIGki,5,2,3,3,2
4932,dinner,dInX,13,10,3,4,9
4934,dint,dInt,11,9,2,7,4
4937,dip,dIp,25,23,2,16,9
4944,dipper,dIpX,12,11,1,6,6
4947,dire,dYr,22,19,3,13,9
4950,dirge,dRJ,10,9,1,7,3
4953,dirk,dRk,16,15,1,13,3
5081,distich,dIstIk,5,3,2,4,1
5097,ditch,dIC,16,15,1,8,8
5107,dive,dYv,17,14,3,9,8
5131,dock,dak,22,21,1,16,6
5145,doe,do,29,18,11,14,15
5146,does,d^z,16,15,1,6,10
5149,doge,doJ,11,10,1,2,9
5159,dole,dol,33,29,4,22,11
5160,doll,dal,16,14,2,9,7
5161,dollar,dalX,7,6,1,4,3
5163,dolly,dali,13,12,1,11,2
5165,dolor,dolX,11,9,2,7,4
5167,dolt,dolt,10,8,2,7,3
5169,dome,dom,25,22,3,15,10
5180,don,dan,19,18,1,13,6
5184,done,d^n,30,29,1,20,10
5187,donor,donX,5,4,1,3,2
5189,doodle,dudL,7,5,2,4,3
5190,doom,dum,24,22,2,14,10
5192,door,doX,13,10,3,2,11
5193,dope,dop,20,18,2,11,9
5194,dorm,dorm,5,4,1,3,2
5201,dose,dos,12,11,1,3,9
5203,dot,dat,26,24,2,19,7
5205,dote,dot,25,22,3,15,10
5206,dottle,datL,5,4,1,3,2
5207,double,d^bL,7,5,2,5,2
5212,doubt,dWt,20,17,3,13,7
5213,douche,duS,11,10,1,2,9
5214,doughty,dWti,6,5,1,2,4
5215,dour,dWr,13,10,3,6,7
5216,dove,dov,16,14,2,7,9
5220,dowel,dWL,11,10,1,5,6
5221,dower,dWX,12,11,1,6,6
5222,down,dWn,20,17,3,13,7
5229,dowry,dWri,8,7,1,4,4
5230,dowse,dWz,12,10,2,6,6
5232,doze,doz,20,19,1,11,9
5233,dozen,d^zN,2,1,1,1,1
5234,drab,dr@b,6,5,1,3,3
5236,draft,dr@ft,7,3,4,5,2
5237,draftee,dr@fti,3,2,1,1,2
5239,drag,dr@g,7,6,1,3,4
5243,drain,dren,13,10,3,7,6
5244,drake,drek,5,3,2,2,3
5245,dram,dr@m,10,7,3,6,4
5252,drape,drep,10,7,3,3,7
5256,draw,drc,6,3,3,1,5
5257,drawer,dror,6,5,1,1,5
5258,drawl,drcl,9,8,1,4,5
5259,drawn,drcn,8,6,2,3,5
5261,dray,dre,14,9,5,7,7
5262,dread,drEd,8,6,2,6,2
5263,dream,drim,7,3,4,3,4
5265,dreamer,drimX,3,1,2,1,2
5268,drear,drIr,7,4,3,3,4
5273,dress,drEs,9,6,3,5,4
5276,drew,dru,13,9,4,7,6
5277,dribble,drIbL,3,2,1,1,2
5280,drill,drIl,12,10,2,7,5
5282,drip,drIp,9,7,2,4,5
5283,drive,drYv,9,5,4,5,4
5286,driver,drYvX,3,1,2,1,2
5290,drogue,drog,8,7,1,2,6
5291,droll,drol,11,8,3,3,8
5294,drone,dron,12,11,1,5,7
5295,drool,drul,8,6,2,3,5
5296,droop,drup,9,7,2,4,5
5302,drove,drov,11,8,3,5,6
5303,drover,drovX,3,1,2,2,1
5304,drown,drWn,9,8,1,4,5
5305,drowse,drWz,7,4,3,4,3
5306,drowsy,drWzi,2,1,1,1,1
5307,drub,dr^b,8,6,2,4,4
5309,drug,dr^g,8,6,2,3,5
5311,drum,dr^m,10,8,2,5,5
5315,dry,drY,12,8,4,6,6
5317,dryer,drYX,7,5,2,4,3
5318,dual,duL,14,11,3,3,11
5320,dub,d^b,22,20,2,12,10
5326,duchy,d^Ci,4,3,1,1,3
5327,duck,d^k,25,22,3,13,12
5329,ductile,d^ktL,2,1,1,1,1
5332,dude,dud,20,18,2,10,10
5337,dug,d^g,22,21,1,13,9
5339,duke,duk,16,14,2,6,10
5342,dull,d^l,23,22,1,13,10
5344,dully,d^li,11,10,1,8,3
5347,dumb,d^m,29,26,3,18,11
5352,dummy,d^mi,9,7,2,4,5
5353,dump,d^mp,13,10,3,9,4
5354,dumps,d^mps,3,2,1,1,2
5356,dunce,d^ns,4,3,1,3,1
5358,dune,dun,27,26,1,18,9
5359,dung,d^G,17,16,1,7,10
5363,dunk,d^Gk,13,10,3,10,3
5366,dupe,dup,18,16,2,9,9
5378,dusk,d^sk,9,8,1,6,3
5381,dutch,d^C,15,14,1,5,10
5388,dwell,dwEl,6,2,4,4,2
5389,dwelled,dwEld,3,1,2,1,2
5390,dwelt,dwElt,4,1,3,2,2
5401,e,i,28,4,24,22,6
5402,each,iC,14,8,6,8,6
5403,eager,igX,7,6,1,5,2
5404,eagle,igL,8,5,3,6,2
5406,ear,Ir,31,12,19,22,9
5407,earl,Rl,19,12,7,14,5
5409,early,Rli,10,6,4,9,1
5411,earn,Rn,15,9,6,11,4
5416,earth,RT,12,5,7,7,5
5419,earthy,RTi,2,1,1,1,1
5420,ease,iz,19,8,11,10,9
5421,easel,izL,6,3,3,4,2
5422,east,ist,8,2,6,7,1
5423,Easter,istX,6,4,2,4,2
5425,easy,izi,4,2,2,2,2
5427,eat,it,24,11,13,17,7
5428,eaten,itN,3,1,2,2,1
5429,eaves,ivz,7,1,6,4,3
5430,ebb,Eb,11,8,3,3,8
5461,edge,EJ,15,10,5,7,8
5475,eel,il,28,13,15,22,6
5476,eery,Iri,14,8,6,12,2
5484,ego,igo,4,3,1,2,2
5494,eider,YdX,6,4,2,4,2
5498,eighty,eti,4,1,3,1,3
5504,eke,ik,20,9,11,14,6
5508,elate,xlet,11,9,2,5,6
5512,elect,xlEkt,4,1,3,3,1
5543,elf,Elf,8,3,5,4,4
5550,elite,xlit,13,10,3,7,6
5553,elk,Elk,5,4,1,1,4
5554,ell,El,31,16,15,19,12
5557,elm,Elm,7,3,4,3,4
5562,else,Els,6,4,2,2,4
5565,elver,ElvX,3,2,1,1,2
5566,elves,Elvz,3,1,2,2,1
5601,emend,ImEnd,4,2,2,3,1
5604,emerge,ImRJ,3,2,1,1,2
5607,emery,EmXi,2,1,1,1,1
5609,emigrate,Emxgret,2,1,1,1,1
5613,emir,ImIr,4,3,1,2,2
5615,emit,ImIt,6,4,2,3,3
5618,emote,Imot,4,2,2,3,1
5661,end,End,13,3,10,10,3
5755,epic,EpIk,2,1,1,1,1
5801,equip,xkwIp,2,1,1,1,1
5810,era,Irx,4,2,2,2,2
5819,errand,Erxnd,2,1,1,1,1
5825,error,ErX,5,3,2,2,3
5858,essay,Ese,4,2,2,3,1
5871,etch,EC,15,11,4,7,8
5891,euchre,yukX,2,1,1,1,1
5918,eve,iv,15,6,9,7,8
5923,event,xvEnt,5,4,1,4,1
5936,evil,ivL,6,4,2,4,2
5944,ewe,yu,30,20,10,24,6
5945,ewer,yuX,6,4,2,1,5
6053,expiration,EkspXeS|n,3,1,2,2,1
6139,eyrie,Yri,13,9,4,11,2
6141,f,Ef,15,11,4,7,8
6143,fable,febL,11,10,1,9,2
6149,face,fes,21,18,3,12,9
6151,facet,f@s|t,4,3,1,3,1
6158,fact,f@kt,6,3,3,3,3
6165,fad,f@d,19,18,1,15,4
6166,fade,fed,22,19,3,12,10
6167,faery,fEri,14,11,3,10,4
6168,fag,f@g,18,17,1,14,4
6172,fail,fel,37,33,4,28,9
6173,faille,fYl,27,25,2,21,6
6175,fain,fen,31,29,2,21,10
6176,faint,fent,7,5,2,5,2
6177,fair,fEr,28,22,6,20,8
6178,fairy,f@ri,14,11,3,11,3
6179,faith,feT,11,10,1,2,9
6180,fake,fek,22,19,3,13,9
6184,fall,fcl,26,23,3,21,5
6187,fallen,fcl|n,2,1,1,1,1
6190,fallow,f@lo,12,10,2,11,1
6191,FALSE,fcls,4,3,1,2,2
6198,falter,fcltX,7,5,2,6,1
6199,fame,fem,24,19,5,14,10
6209,fan,f@n,21,20,1,17,4
6212,fancy,f@nsi,2,1,1,1,1
6220,far,far,18,14,4,14,4
6222,farce,fars,6,5,1,3,3
6226,farm,farm,6,4,2,4,2
6231,farrier,f@riX,4,3,1,3,1
6232,farrow,f@ro,10,8,2,8,2
6246,fast,f@st,15,13,2,10,5
6252,fat,f@t,28,22,6,20,8
6253,fatal,fetL,7,5,2,3,4
6257,fate,fet,29,24,5,18,11
6260,father,faDX,6,5,1,5,1
6263,fatten,f@tN,8,6,2,5,3
6264,fatty,f@ti,7,6,1,4,3
6269,fault,fclt,10,6,4,5,5
6270,faun,fcn,18,16,2,14,4
6274,fay,fe,30,19,11,15,15
6275,faze,fez,23,21,2,14,9
6277,fear,fIr,31,27,4,23,8
6281,feast,fist,10,8,2,8,2
6282,feat,fit,24,19,5,17,7
6285,feaze,fiz,18,15,3,13,5
6294,fed,fEd,20,18,2,14,6
6300,fee,fi,31,21,10,19,12
6303,feed,fid,19,16,3,12,7
6305,feel,fil,30,27,3,24,6
6309,fell,fEl,30,25,5,21,9
6312,felloe,fElo,14,12,2,9,5
6315,felly,fEli,12,10,2,7,5
6316,felon,fEl|n,3,2,1,2,1
6319,felt,fElt,13,12,1,9,4
6326,fen,fEn,29,25,4,21,8
6327,fence,fEns,10,8,2,7,3
6328,fend,fEnd,20,15,5,16,4
6331,fennel,fEnL,8,7,1,3,5
6335,fern,fRn,21,19,2,14,7
6340,ferrule,fErL,8,6,2,3,5
6346,festal,fEstL,4,3,1,3,1
6347,fester,fEstX,6,4,2,5,1
6351,fetch,fEC,9,8,1,4,5
6355,fetter,fEtX,6,5,1,4,2
6356,fettle,fEtL,11,10,1,8,3
6358,feud,fyud,7,4,3,1,6
6363,few,fyu,12,6,6,7,5
6372,fichu,fISu,4,2,2,2,2
6373,fickle,fIkL,8,7,1,4,4
6381,fie,fY,29,20,9,17,12
6382,fief,fif,12,11,1,7,5
6383,field,fild,9,6,3,6,3
6385,fiend,find,7,6,1,5,2
6386,fierce,fIrs,6,5,1,3,3
6387,fiery,fYri,6,3,3,5,1
6389,fife,fYf,11,10,1,5,6
6392,fifty,fIfti,2,1,1,1,1
6394,fight,fYt,24,21,3,18,6
6403,filet,fIle,8,6,2,1,7
6409,fill,fIl,40,31,9,26,14
6410,filler,fIlX,11,9,2,2,9
6413,filly,fIli,18,15,3,8,10
6415,fils,fIls,10,9,1,1,9
6416,filter,fIltX,3,2,1,2,1
6417,filth,fIlT,9,8,1,1,8
6420,fin,fIn,30,26,4,20,10
6422,final,fYnL,6,4,2,3,3
6430,finch,fInC,10,7,3,6,4
6431,find,fYnd,12,11,1,10,2
6433,fine,fYn,28,25,3,20,8
6441,finis,fIni,8,7,1,5,3
6444,finny,fIni,8,7,1,5,3
6445,fir,fR,18,11,7,7,11
6446,fire,fYr,22,18,4,15,7
6449,firm,fRm,13,11,2,6,7
6454,firth,fRT,14,12,2,7,7
6456,fish,fIS,13,9,4,4,9
6462,fist,fIst,11,9,2,9,2
6465,fit,fIt,28,25,3,20,8
6466,five,fYv,12,11,1,6,6
6467,fix,fIks,10,8,2,6,4
6470,fixed,fIkst,3,1,2,1,2
6475,fizz,fIz,16,13,3,8,8
6476,fizzle,fIzL,6,4,2,3,3
6482,flag,fl@g,8,6,2,3,5
6490,flail,flel,5,3,2,2,3
6491,flair,flEr,10,8,2,4,6
6492,flak,fl@k,17,13,4,5,12
6493,flake,flek,11,8,3,3,8
6496,flame,flem,11,7,4,6,5
6502,flank,fl@Gk,8,6,2,6,2
6505,flap,fl@p,10,9,1,4,6
6507,flash,fl@S,10,9,1,4,6
6509,flat,fl@t,15,13,2,3,12
6511,flatten,fl@tN,4,1,3,3,1
6518,flaw,flc,9,7,2,3,6
6519,flax,fl@ks,5,3,2,4,1
6520,flay,fle,16,10,6,7,9
6521,flea,fli,22,12,10,13,9
6522,fleck,flEk,11,9,2,1,10
6523,fled,flEd,10,8,2,5,5
6525,fleece,flis,4,2,2,1,3
6526,fleer,flIr,11,9,2,4,7
6527,fleet,flit,16,13,3,7,9
6530,flew,flu,14,10,4,6,8
6531,flex,flEks,4,3,1,3,1
6536,flick,flIk,14,12,2,3,11
6537,flicker,flIkX,5,3,2,2,3
6538,flier,flYX,6,4,2,2,4
6539,flight,flYt,16,13,3,7,9
6542,flinch,flInC,5,2,3,3,2
6543,fling,flIG,12,9,3,6,6
6544,flint,flInt,5,3,2,3,2
6546,flip,flIp,11,9,2,3,8
6548,flipper,flIpX,4,3,1,1,3
6551,flit,flIt,17,14,3,4,13
6553,flivver,flIvX,5,4,1,3,2
6554,float,flot,13,11,2,3,10
6555,flock,flak,12,10,2,4,8
6556,floe,flo,20,11,9,12,8
6559,floor,floX,6,4,2,1,5
6562,flop,flap,9,7,2,5,4
6566,florin,flcrxn,2,1,1,1,1
6568,floss,flcs,4,2,2,2,2
6573,flour,flWr,5,4,1,1,4
6575,flout,flWt,12,10,2,3,9
6577,flown,flon,7,4,3,4,3
6581,fluff,fl^f,5,4,1,2,3
6585,flume,flum,11,9,2,6,5
6586,flung,fl^G,8,6,2,3,5
6587,flunk,fl^Gk,6,3,3,4,2
6594,flurry,flRi,3,1,2,1,2
6595,flush,fl^S,9,8,1,4,5
6596,fluster,fl^stX,4,2,2,3,1
6597,flute,flut,12,10,2,2,10
6599,flutter,fl^tX,3,1,2,2,1
6601,fly,flY,13,9,4,5,8
6605,foal,fol,30,28,2,24,6
6606,foam,fom,16,13,3,10,6
6611,foe,fo,26,17,9,15,11
6612,fog,fcg,10,9,1,7,3
6616,fold,fold,12,10,2,10,2
6620,folk,fok,16,13,3,10,6
6624,follow,falo,7,6,1,6,1
6625,folly,fali,11,10,1,10,1
6628,fond,fand,12,9,3,9,3
6633,food,fud,11,10,1,10,1
6635,fool,ful,18,17,1,17,1
6639,foot,fUt,10,9,1,9,1
6643,fop,fap,12,11,1,10,2
6644,for,for,33,23,10,20,13
6650,force,fors,16,14,2,7,9
6653,ford,ford,19,16,3,10,9
6671,foresee,forsi,4,3,1,2,2
6690,forge,forJ,9,8,1,1,8
6695,fork,fork,13,10,3,3,10
6699,form,form,15,11,4,4,11
6700,formal,formL,3,2,1,1,2
6718,fort,fort,16,13,3,6,10
6719,forth,forT,9,8,1,1,8
6731,forty,forti,4,2,2,1,3
6736,fought,fct,20,17,3,16,4
6737,foul,fWl,17,14,3,16,1
6739,foully,fWli,6,4,2,5,1
6741,found,fWnd,14,13,1,12,2
6746,fount,fWnt,6,5,1,4,2
6747,fountain,fWntN,2,1,1,1,1
6749,fox,faks,8,5,3,6,2
6750,foxed,fakst,2,1,1,1,1
6759,frail,frel,11,8,3,6,5
6761,frame,frem,7,5,2,2,5
6777,fraught,frct,11,8,3,3,8
6778,fray,fre,18,10,8,10,8
6780,freak,frik,7,5,2,4,3
6782,free,fri,17,11,6,11,6
6790,freeze,friz,7,5,2,2,5
6791,freight,fret,17,14,3,9,8
6792,french,frEnC,4,3,1,3,1
6798,fresh,frES,4,3,1,3,1
6802,friar,frYX,7,6,1,5,2
6807,friend,frEnd,5,3,2,4,1
