lower,idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
crest,4176,crest,krEst,9,6,3,6,3,crest,1,5,620,6,27,14,107,1328,152,5477034,6,1
loosen,10114,loosen,lusN,4,2,2,2,2,loosen,2,5,417,7,40,7,282,1099,123,819463,6,2
stuff,16524,stuff,st^f,10,8,2,2,8,stuff,1,4,539,6,33,10,15653,27542,11015,81467658,5,1
tongue,17467,tongue,t^G,16,15,1,10,6,tongue,1,3,335,7,41,4,1589,6661,422,10002790,4,1
same,15108,same,sem,21,19,2,13,8,same,1,3,441,5,72,32,21276,141764,30827,234832782,4,1
flick,6536,flick,flIk,14,12,2,3,11,flick,1,4,500,6,49,18,257,1032,105,2226500,5,1
spat,16060,spat,sp@t,12,8,4,3,9,spat,1,4,441,5,30,21,79,951,64,638324,5,1
hang,7631,hang,h@G,23,19,4,9,14,hang,1,3,370,5,79,54,7535,9104,2159,11079733,4,1
junk,9417,junk,J^Gk,9,8,1,8,1,junk,1,4,411,5,33,17,784,3075,613,6476245,5,1
toss,17521,toss,tcs,10,9,1,5,5,toss,1,3,482,5,54,34,632,4350,342,2645572,4,1
tilt,17361,tilt,tIlt,15,11,4,10,5,tilt,1,4,322,5,30,17,113,1429,146,4925167,5,1
nail,11359,nail,nel,26,23,3,22,4,nail,1,3,356,5,116,28,951,3102,503,9052835,4,1
abbey,16,abbey,@bi,10,5,5,9,1,abbey,2,3,479,6,57,4,162,1069,281,4224864,4,1
drawn,5259,drawn,drcn,8,6,2,3,5,drawn,1,4,430,5,26,8,542,11457,1282,14827380,4,1
center,2851,center,sEntX,9,5,4,5,4,center,2,5,455,7,45,17,2335,74697,10678,294324066,6,1
rainy,14190,rainy,reni,6,5,1,3,3,rainy,2,4,366,5,84,7,194,1432,203,2469088,5,2
dollar,5161,dollar,dalX,7,6,1,4,3,dollar,2,4,378,7,64,9,1410,11801,3362,35276362,5,1
cartridge,2694,cartridge,kartrIJ,3,2,1,1,2,cartridge,2,7,529,10,2,4,49,670,20,15410900,8,1
cop,3928,cop,kap,30,24,6,18,12,cop,1,3,312,4,129,50,4393,5614,1152,5586148,4,1
shelves,15561,shelves,SElvz,3,1,2,2,1,shelves,1,5,573,7,8,4,140,3093,298,4560501,5,1
spine,16124,spine,spYn,18,13,5,6,12,spine,1,4,550,6,37,22,293,2984,269,5371287,5,1
piled,12994,piled,pYld,5,3,2,3,2,piled,1,4,377,5,25,12,76,1955,146,818173,4,2
peer,12623,peer,pIr,33,29,4,23,10,peer,1,3,419,5,99,28,78,7459,308,17755290,4,1
sewer,15497,sewer,suX,9,6,3,1,8,sewer,2,3,426,6,68,16,240,1088,130,5008805,4,1
chaste,2977,chaste,Cest,9,8,1,6,3,chaste,1,4,513,7,20,5,30,238,13,289676,4,1
marry,10483,marry,m@ri,11,10,1,10,1,marry,2,4,396,6,131,30,5322,5543,1022,4388137,5,1
culture,4294,culture,k^lCX,2,1,1,1,1,culture,2,5,452,8,12,3,711,35835,3703,68608026,6,1
his,7923,his,hIz,17,15,2,8,9,his,1,3,401,4,76,31,108364,1082290,162842,660184817,4,1
ease,5420,ease,iz,19,8,11,10,9,ease,1,2,457,5,173,36,974,6877,741,13977690,3,1
navy,11431,navy,nevi,5,3,2,2,3,navy,2,4,430,5,28,11,1310,8542,2190,22021247,5,1
bond,2032,bond,band,13,11,2,10,3,bond,1,4,475,5,44,29,1595,9158,2047,23449140,5,1
comb,3485,comb,kom,24,20,4,13,11,comb,1,3,469,5,106,17,309,1057,103,2329108,4,1
stab,16237,stab,st@b,7,6,1,3,4,stab,1,4,489,5,33,21,447,958,199,1648037,5,1
accuse,154,accuse,xkyuz,5,3,2,2,3,accuse,2,5,599,7,16,3,290,1197,389,1048371,6,1
wrought,19215,wrought,rct,23,19,4,20,3,wrought,1,3,321,4,79,3,44,1100,48,2345069,3,1
colored,3474,colored,k^lXd,4,3,1,3,1,colored,2,5,392,8,15,2,377,7759,365,10189750,5,2
cow,4089,cow,kW,19,15,4,10,9,cow,1,2,278,4,115,44,1301,3428,411,8270235,3,1
fault,6269,fault,fclt,10,6,4,5,5,fault,1,4,380,6,33,13,5310,6839,1729,13112664,5,1
sheen,15551,sheen,Sin,21,20,1,14,7,sheen,1,3,619,6,117,15,48,1118,291,1124463,4,1
lining,9966,lining,lYnIG,5,3,2,4,1,lining,2,5,386,7,26,12,231,2520,410,4758401,6,2
pick,12956,pick,pIk,34,27,7,20,14,pick,1,3,305,5,101,28,10118,24469,6179,38550279,4,1
putt,14017,putt,p^t,29,25,4,18,11,putt,1,3,325,5,73,24,58,861,41,919086,4,1
brake,2137,brake,brek,13,10,3,3,10,brake,1,4,392,6,44,16,305,1737,118,9322146,5,1
