Item,Experiment,Release,Subject,Trial,List,WordRunLength,ExperimentRunID,RT,Session,idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
vessel,MALD1_sR,MALD1,15292,115,words38,3,15292_38,976,38,18481,vessel,vEsL,6,5,1,4,2,2,5,502,7,24,15,477,3493,310,8794883,6,1
war,MALD1_sR,MALD1,15292,346,words38,1,15292_38,650,38,18791,war,wor,29,20,9,19,10,1,3,379,4,121,46,8912,104024,32913,126526108,4,1
wide,MALD1_sR,MALD1,15292,303,words38,2,15292_38,936,38,19021,wide,wYd,26,23,3,15,11,1,3,298,5,100,27,1214,28320,1972,87666217,4,1
wood,MALD1_sR,MALD1,15292,379,words38,2,15292_38,745,38,19142,wood,wUd,15,13,2,11,4,1,3,289,5,30,17,1377,17037,1029,51133768,4,1
world,MALD1_sR,MALD1,15292,175,words38,1,15292_38,1774,38,19168,world,wRld,5,4,1,4,1,1,4,460,6,35,5,23216,193305,43143,431966449,5,1
abode,MALD1_sR,MALD1,15301,304,words9,1,15301_76,725,76,52,abode,xbod,4,2,2,1,3,2,4,509,4,10,4,33,213,12,1250165,3,1
beam,MALD1_sR,MALD1,15301,593,words9,1,15301_76,804,76,1636,beam,bim,16,14,2,9,7,1,3,443,5,94,25,445,3469,153,11828265,4,1
blur,MALD1_sR,MALD1,15301,602,words9,1,15301_76,813,76,1973,blur,blR,6,3,3,2,4,1,3,399,5,106,11,109,1469,111,1918107,4,1
bold,MALD1_sR,MALD1,15301,636,words9,8,15301_76,679,76,2009,bold,bold,18,14,4,11,7,1,4,499,5,70,27,385,4302,699,18244843,5,1
bush,MALD1_sR,MALD1,15301,140,words9,1,15301_76,1195,76,2362,bush,bUS,6,5,1,3,3,1,3,317,5,27,30,720,59007,35233,71300864,4,1
circuit,MALD1_sR,MALD1,15301,135,words9,2,15301_76,766,76,3182,circuit,sRk|t,3,2,1,1,2,2,5,550,8,11,1,340,5681,849,26918881,6,1
clan,MALD1_sR,MALD1,15301,197,words9,1,15301_76,786,76,3234,clan,kl@n,12,11,1,3,9,1,4,480,5,49,27,209,2155,130,6798554,5,1
cloth,MALD1_sR,MALD1,15301,397,words9,2,15301_76,815,76,3319,cloth,klcT,3,2,1,1,2,1,4,459,6,19,8,311,5095,171,9764604,5,1
crept,MALD1_sR,MALD1,15301,328,words9,1,15301_76,847,76,4171,crept,krEpt,3,2,1,2,1,1,5,345,5,11,4,58,1268,62,590578,5,1
crib,MALD1_sR,MALD1,15301,110,words9,1,15301_76,739,76,4183,crib,krIb,3,2,1,1,2,1,4,262,5,34,9,316,965,118,3849386,5,1
