Item,Experiment,Release,Subject,Trial,List,WordRunLength,ExperimentRunID,RT,Session,idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
manage,MALD1_sR,MALD1,15639,708,words5,1,15639_5,783,5,10357,manage,m@nIJ,3,2,1,1,2,2,5,447,7,8,6,1095,8449,1087,36439435,6,1
mobile,MALD1_sR,MALD1,15639,126,words5,2,15639_5,948,5,10986,mobile,mobL,5,4,1,2,3,2,5,448,7,44,6,381,5945,765,145498868,6,1
news,MALD1_sR,MALD1,15639,288,words5,1,15639_5,743,5,11539,news,nuz,16,12,4,9,7,1,3,503,5,110,19,8399,83198,45830,755449582,4,1
outsider,MALD1_sR,MALD1,15639,64,words5,1,15639_5,710,5,12146,outsider,WtsYdX,2,1,1,1,1,3,6,590,9,6,4,121,1621,363,1163206,7,3
please,MALD1_sR,MALD1,15639,718,words5,2,15639_5,711,5,13132,please,pliz,6,3,3,2,4,1,4,438,7,43,8,56149,23462,7181,380056867,5,1
power,MALD1_sR,MALD1,15639,773,words5,1,15639_5,538,5,13429,power,pWX,9,8,1,6,3,2,3,394,6,53,18,7600,85290,14004,226613941,4,1
prose,MALD1_sR,MALD1,15639,724,words5,4,15639_5,923,5,13806,prose,proz,9,5,4,3,6,1,4,551,6,50,17,48,1610,59,3090254,5,1
shall,MALD1_sR,MALD1,15639,75,words5,3,15639_5,801,5,15520,shall,S@l,13,10,3,6,7,1,3,559,6,68,17,9441,8999,1299,191970203,4,1
squat,MALD1_sR,MALD1,15639,726,words5,6,15639_5,785,5,16221,squat,skwat,6,4,2,1,5,1,5,484,6,10,2,160,1151,43,925062,6,1
stand,MALD1_sR,MALD1,15639,712,words5,1,15639_5,1308,5,16276,stand,st@nd,3,1,2,2,1,1,5,602,6,25,12,11536,35044,9303,46296102,6,1
summon,MALD1_sR,MALD1,15639,98,words5,1,15639_5,833,5,16680,summon,s^mxn,7,6,1,5,2,2,5,405,7,36,3,197,699,47,820528,6,1
tenor,MALD1_sR,MALD1,15639,342,words5,5,15639_5,1169,5,17123,tenor,tEnX,9,6,3,1,8,2,4,315,6,55,6,79,930,128,2361385,5,1
torch,MALD1_sR,MALD1,15639,741,words5,2,15639_5,927,5,17499,torch,torC,8,6,2,1,7,1,4,389,6,29,8,254,1260,161,3361755,5,1
truck,MALD1_sR,MALD1,15639,301,words5,7,15639_5,546,5,17781,truck,tr^k,9,5,4,2,7,1,4,372,6,28,13,3716,12906,2120,32136793,5,1
tusk,MALD1_sR,MALD1,15639,554,words5,1,15639_5,786,5,17867,tusk,t^sk,9,6,3,5,4,1,4,379,5,19,15,13,156,3,245115,5,1
urge,MALD1_sR,MALD1,15639,366,words5,3,15639_5,749,5,18220,urge,RJ,11,6,5,7,4,1,2,519,5,46,11,339,3776,630,5195810,3,1
viral,MALD1_sR,MALD1,15639,74,words5,2,15639_5,897,5,18589,viral,vYrL,4,3,1,1,3,2,5,452,5,12,6,45,1228,188,5973237,6,1
welt,MALD1_sR,MALD1,15639,651,words5,2,15639_5,948,5,18896,welt,wElt,21,17,4,10,11,1,4,438,5,49,24,9,172,5,1003072,5,1
abode,MALD1_sR,MALD1,15639,577,words9,8,15639_9,1036,9,52,abode,xbod,4,2,2,1,3,2,4,509,4,10,4,33,213,12,1250165,3,1
beam,MALD1_sR,MALD1,15639,52,words9,3,15639_9,887,9,1636,beam,bim,16,14,2,9,7,1,3,443,5,94,25,445,3469,153,11828265,4,1
blur,MALD1_sR,MALD1,15639,50,words9,1,15639_9,741,9,1973,blur,blR,6,3,3,2,4,1,3,399,5,106,11,109,1469,111,1918107,4,1
bold,MALD1_sR,MALD1,15639,350,words9,2,15639_9,765,9,2009,bold,bold,18,14,4,11,7,1,4,499,5,70,27,385,4302,699,18244843,5,1
bush,MALD1_sR,MALD1,15639,428,words9,2,15639_9,792,9,2362,bush,bUS,6,5,1,3,3,1,3,317,5,27,30,720,59007,35233,71300864,4,1
circuit,MALD1_sR,MALD1,15639,17,words9,3,15639_9,837,9,3182,circuit,sRk|t,3,2,1,1,2,2,5,550,8,11,1,340,5681,849,26918881,6,1
clan,MALD1_sR,MALD1,15639,442,words9,1,15639_9,807,9,3234,clan,kl@n,12,11,1,3,9,1,4,480,5,49,27,209,2155,130,6798554,5,1
cloth,MALD1_sR,MALD1,15639,716,words9,2,15639_9,945,9,3319,cloth,klcT,3,2,1,1,2,1,4,459,6,19,8,311,5095,171,9764604,5,1
crept,MALD1_sR,MALD1,15639,381,words9,1,15639_9,870,9,4171,crept,krEpt,3,2,1,2,1,1,5,345,5,11,4,58,1268,62,590578,5,1
crib,MALD1_sR,MALD1,15639,111,words9,1,15639_9,681,9,4183,crib,krIb,3,2,1,1,2,1,4,262,5,34,9,316,965,118,3849386,5,1
dawn,MALD1_sR,MALD1,15639,60,words9,1,15639_9,932,9,4465,dawn,dcn,19,16,3,16,3,1,3,345,5,101,20,1301,6154,737,12224273,4,1
diary,MALD1_sR,MALD1,15639,242,words9,1,15639_9,865,9,4860,diary,dYri,6,4,2,5,1,3,4,485,5,10,4,458,2632,356,14926124,5,1
drug,MALD1_sR,MALD1,15639,23,words9,4,15639_9,611,9,5309,drug,dr^g,8,6,2,3,5,1,4,347,5,17,9,2306,37213,8980,79428645,5,1
fish,MALD1_sR,MALD1,15639,276,words9,2,15639_9,734,9,6456,fish,fIS,13,9,4,4,9,1,3,407,5,50,18,4258,28281,2194,52768568,4,1
flag,MALD1_sR,MALD1,15639,708,words9,2,15639_9,740,9,6482,flag,fl@g,8,6,2,3,5,1,4,589,5,30,17,892,6243,1599,33053840,5,1
harm,MALD1_sR,MALD1,15639,307,words9,1,15639_9,692,9,7661,harm,harm,9,8,1,3,6,1,4,440,5,40,30,1621,7124,1524,10026586,5,1
hurl,MALD1_sR,MALD1,15639,750,words9,2,15639_9,722,9,8138,hurl,hRl,22,19,3,15,7,1,3,476,5,102,14,69,290,24,334757,4,1
incest,MALD1_sR,MALD1,15639,258,words9,2,15639_9,795,9,8527,incest,InsEst,7,5,2,3,4,2,6,551,7,8,4,44,686,239,51394714,6,1
informed,MALD1_sR,MALD1,15639,675,words9,1,15639_9,880,9,8778,informed,Informd,3,2,1,1,2,2,7,582,8,4,3,633,7984,1011,38215335,7,3
jet,MALD1_sR,MALD1,15639,69,words9,1,15639_9,688,9,9321,jet,JEt,20,17,3,14,6,1,3,350,4,74,30,721,5757,1077,16680047,4,1
nude,MALD1_sR,MALD1,15639,218,words9,2,15639_9,643,9,11726,nude,nud,15,13,2,8,7,1,3,344,5,56,16,301,1643,322,96757551,4,1
offer,MALD1_sR,MALD1,15639,572,words9,3,15639_9,700,9,11880,offer,cfX,6,4,2,3,3,2,3,472,6,32,8,3810,29215,3692,126228968,4,1
ooze,MALD1_sR,MALD1,15639,610,words9,2,15639_9,791,9,11941,ooze,uz,10,3,7,9,1,1,2,418,5,111,5,27,289,15,656481,3,1
pal,MALD1_sR,MALD1,15639,448,words9,1,15639_9,993,9,12275,pal,p@l,20,19,1,10,10,1,3,469,4,82,47,2937,1803,312,9995683,4,1
parrot,MALD1_sR,MALD1,15639,476,words9,2,15639_9,1186,9,12456,parrot,p@rxt,6,4,2,4,2,2,5,359,7,24,6,167,752,95,2682859,6,1
patriarchal,MALD1_sR,MALD1,15639,481,words9,2,15639_9,873,9,12548,patriarchal,petriarkL,2,1,1,1,1,4,10,674,11,2,1,14,856,22,434296,10,2
pit,MALD1_sR,MALD1,15639,336,words9,1,15639_9,610,9,13054,pit,pIt,33,30,3,23,10,1,3,243,4,87,42,674,3729,392,8536397,4,1
record,MALD1_sR,MALD1,15639,22,words9,3,15639_9,760,9,14379,record,rIkord,2,1,1,1,1,2,6,525,7,6,7,4365,36369,9383,102244532,7,1
sewer,MALD1_sR,MALD1,15639,288,words9,4,15639_9,738,9,15497,sewer,suX,9,6,3,1,8,2,3,426,6,68,16,240,1088,130,5008805,4,1
six,MALD1_sR,MALD1,15639,74,words9,1,15639_9,812,9,15738,six,sIks,8,7,1,5,3,1,4,472,4,74,30,10176,68004,14427,71373283,5,1
sold,MALD1_sR,MALD1,15639,534,words9,2,15639_9,963,9,15953,sold,sold,15,12,3,10,5,1,4,579,5,53,25,2655,18763,3095,42980371,5,1
taste,MALD1_sR,MALD1,15639,596,words9,3,15639_9,751,9,17006,taste,test,9,8,1,7,2,1,4,375,6,34,14,2617,14001,1677,17312480,5,1
three,MALD1_sR,MALD1,15639,740,words9,1,15639_9,702,9,17293,three,Tri,9,8,1,7,2,1,3,454,6,47,7,27654,189312,36451,223420478,4,1
vow,MALD1_sR,MALD1,15639,51,words9,2,15639_9,717,9,18710,vow,vW,14,11,3,10,4,1,2,348,4,75,26,276,886,172,1127734,3,1
wait,MALD1_sR,MALD1,15639,265,words9,1,15639_9,769,9,18762,wait,wet,27,22,5,18,9,1,3,390,5,91,32,42343,30118,11036,39005783,4,1
yen,MALD1_sR,MALD1,15639,440,words9,3,15639_9,1855,9,19261,yen,yEn,20,19,1,17,3,1,3,609,4,87,38,312,1013,171,5796042,4,1
bare,MALD1_sR,MALD1,15657,711,words5,3,15657_5,592,5,1540,bare,bEr,26,21,5,18,8,1,3,366,5,143,56,425,6166,368,8547495,4,1
big,MALD1_sR,MALD1,15657,273,words5,2,15657_5,712,5,1810,big,bIg,20,19,1,13,7,1,3,319,4,75,35,34824,118668,37227,216698774,4,1
bit,MALD1_sR,MALD1,15657,58,words5,1,15657_5,806,5,1866,bit,bIt,35,30,5,25,10,1,3,467,4,108,40,11987,47714,21135,82122088,4,1
box,MALD1_sR,MALD1,15657,393,words5,2,15657_5,651,5,2118,box,baks,5,3,2,4,1,1,4,429,4,83,32,4577,26697,2764,169242820,5,1
caper,MALD1_sR,MALD1,15657,53,words5,5,15657_5,782,5,2580,caper,kepX,9,8,1,6,3,2,4,333,6,48,19,90,213,17,485193,5,1
civil,MALD1_sR,MALD1,15657,124,words5,1,15657_5,631,5,3219,civil,sIvL,7,4,3,3,4,2,5,519,6,24,1,813,24939,6213,49496163,6,1
colic,MALD1_sR,MALD1,15657,341,words5,3,15657_5,678,5,3434,colic,kalIk,6,5,1,5,1,2,5,449,6,39,10,26,124,26,482850,5,1
coral,MALD1_sR,MALD1,15657,24,words5,2,15657_5,854,5,3947,coral,kcrL,9,7,2,7,2,2,5,318,6,80,17,121,2371,168,8819801,6,2
culture,MALD1_sR,MALD1,15657,229,words5,3,15657_5,886,5,4294,culture,k^lCX,2,1,1,1,1,2,5,452,8,12,3,711,35835,3703,68608026,6,1
fell,MALD1_sR,MALD1,15657,395,words5,1,15657_5,667,5,6309,fell,fEl,30,25,5,21,9,1,3,509,5,115,31,3723,20641,3030,15084606,4,1
galley,MALD1_sR,MALD1,15657,310,words5,1,15657_5,1180,5,6955,galley,g@li,13,10,3,11,2,2,4,444,7,86,26,82,639,26,1031511,5,1
grave,MALD1_sR,MALD1,15657,619,words5,3,15657_5,704,5,7379,grave,grev,16,12,4,4,12,1,4,493,6,33,24,1340,5004,837,6930746,5,1
hockey,MALD1_sR,MALD1,15657,513,words5,1,15657_5,647,5,7949,hockey,haki,6,5,1,3,3,2,4,449,7,48,12,588,3619,368,22253215,5,1
lava,MALD1_sR,MALD1,15657,621,words5,5,15657_5,721,5,9710,lava,lavx,3,2,1,2,1,2,4,372,5,23,23,176,1244,98,2472631,4,1
manage,MALD1_sR,MALD1,15657,3,words5,1,15657_5,898,5,10357,manage,m@nIJ,3,2,1,1,2,2,5,447,7,8,6,1095,8449,1087,36439435,6,1
mobile,MALD1_sR,MALD1,15657,283,words5,3,15657_5,624,5,10986,mobile,mobL,5,4,1,2,3,2,5,448,7,44,6,381,5945,765,145498868,6,1
news,MALD1_sR,MALD1,15657,451,words5,1,15657_5,750,5,11539,news,nuz,16,12,4,9,7,1,3,503,5,110,19,8399,83198,45830,755449582,4,1
outsider,MALD1_sR,MALD1,15657,102,words5,3,15657_5,756,5,12146,outsider,WtsYdX,2,1,1,1,1,3,6,590,9,6,4,121,1621,363,1163206,7,3
paunch,MALD1_sR,MALD1,15657,461,words5,1,15657_5,757,5,12567,paunch,pcnC,5,4,1,4,1,1,4,419,7,10,4,1,132,5,38730,5,1
please,MALD1_sR,MALD1,15657,337,words5,6,15657_5,616,5,13132,please,pliz,6,3,3,2,4,1,4,438,7,43,8,56149,23462,7181,380056867,5,1
power,MALD1_sR,MALD1,15657,76,words5,1,15657_5,580,5,13429,power,pWX,9,8,1,6,3,2,3,394,6,53,18,7600,85290,14004,226613941,4,1
prose,MALD1_sR,MALD1,15657,674,words5,3,15657_5,773,5,13806,prose,proz,9,5,4,3,6,1,4,551,6,50,17,48,1610,59,3090254,5,1
road,MALD1_sR,MALD1,15657,553,words5,1,15657_5,700,5,14872,road,rod,29,26,3,17,12,1,3,385,5,141,27,5709,42126,6729,131806092,4,1
sort,MALD1_sR,MALD1,15657,361,words5,2,15657_5,786,5,16015,sort,sort,14,8,6,10,4,1,4,462,5,56,23,7584,44758,25292,86986269,5,1
spite,MALD1_sR,MALD1,15657,571,words5,3,15657_5,667,5,16138,spite,spYt,15,12,3,3,12,1,4,559,6,26,12,388,4079,518,4495204,5,1
squat,MALD1_sR,MALD1,15657,378,words5,2,15657_5,799,5,16221,squat,skwat,6,4,2,1,5,1,5,484,6,10,2,160,1151,43,925062,6,1
stand,MALD1_sR,MALD1,15657,531,words5,3,15657_5,703,5,16276,stand,st@nd,3,1,2,2,1,1,5,602,6,25,12,11536,35044,9303,46296102,6,1
summon,MALD1_sR,MALD1,15657,305,words5,2,15657_5,715,5,16680,summon,s^mxn,7,6,1,5,2,2,5,405,7,36,3,197,699,47,820528,6,1
tenor,MALD1_sR,MALD1,15657,543,words5,2,15657_5,685,5,17123,tenor,tEnX,9,6,3,1,8,2,4,315,6,55,6,79,930,128,2361385,5,1
torch,MALD1_sR,MALD1,15657,248,words5,2,15657_5,665,5,17499,torch,torC,8,6,2,1,7,1,4,389,6,29,8,254,1260,161,3361755,5,1
truck,MALD1_sR,MALD1,15657,477,words5,5,15657_5,653,5,17781,truck,tr^k,9,5,4,2,7,1,4,372,6,28,13,3716,12906,2120,32136793,5,1
tusk,MALD1_sR,MALD1,15657,530,words5,2,15657_5,633,5,17867,tusk,t^sk,9,6,3,5,4,1,4,379,5,19,15,13,156,3,245115,5,1
urge,MALD1_sR,MALD1,15657,183,words5,1,15657_5,1005,5,18220,urge,RJ,11,6,5,7,4,1,2,519,5,46,11,339,3776,630,5195810,3,1
viral,MALD1_sR,MALD1,15657,469,words5,3,15657_5,1179,5,18589,viral,vYrL,4,3,1,1,3,2,5,452,5,12,6,45,1228,188,5973237,6,1
welt,MALD1_sR,MALD1,15657,92,words5,2,15657_5,910,5,18896,welt,wElt,21,17,4,10,11,1,4,438,5,49,24,9,172,5,1003072,5,1
an,MALD1_sR,MALD1,15693,338,words13,1,15693_80,855,80,669,an,@n,22,11,11,14,8,1,2,393,3,109,75,95071,827024,153847,1518266684,3,1
blessed,MALD1_sR,MALD1,15693,312,words13,1,15693_80,760,80,1918,blessed,blEst,5,2,3,4,1,1,5,500,8,8,1,704,3147,515,6405692,5,2
bulge,MALD1_sR,MALD1,15693,605,words13,1,15693_80,1106,80,2295,bulge,b^lJ,4,3,1,1,3,1,4,382,6,10,12,48,720,59,881613,5,1
cane,MALD1_sR,MALD1,15693,346,words13,1,15693_80,1461,80,2534,cane,ken,33,30,3,24,9,1,3,383,5,192,47,425,2584,181,3494916,4,1
chance,MALD1_sR,MALD1,15693,660,words13,2,15693_80,824,80,2919,chance,C@ns,9,7,2,4,5,1,4,538,7,25,11,12303,33018,9747,43463277,5,1
curtain,MALD1_sR,MALD1,15693,98,words13,1,15693_80,652,80,4335,curtain,kRtN,5,4,1,3,2,2,5,359,8,41,4,525,2749,325,4828203,6,1
down,MALD1_sR,MALD1,15693,117,words13,2,15693_80,765,80,5222,down,dWn,20,17,3,13,7,1,3,529,5,75,20,76004,235392,56832,224931672,4,1
faith,MALD1_sR,MALD1,15693,593,words13,3,15693_80,750,80,6179,faith,feT,11,10,1,2,9,1,3,450,6,42,9,2363,19515,3712,35943362,4,1
fear,MALD1_sR,MALD1,15693,795,words13,2,15693_80,698,80,6277,fear,fIr,31,27,4,23,8,1,3,429,5,104,28,3523,27002,5643,28053342,4,1
flat,MALD1_sR,MALD1,15693,105,words13,1,15693_80,1083,80,6509,flat,fl@t,15,13,2,3,12,1,4,450,5,42,23,1337,13571,1332,46695552,5,1
gentle,MALD1_sR,MALD1,15693,13,words13,3,15693_80,660,80,7098,gentle,JEntL,7,5,2,4,3,2,6,499,7,14,6,844,4558,374,6917025,7,1
grit,MALD1_sR,MALD1,15693,198,words13,1,15693_80,916,80,7432,grit,grIt,12,9,3,1,11,1,4,412,5,48,16,48,897,79,1282250,5,1
hall,MALD1_sR,MALD1,15693,481,words13,2,15693_80,624,80,7591,hall,hcl,23,20,3,19,4,1,3,446,5,125,39,2649,23866,3284,61270478,4,1
hero,MALD1_sR,MALD1,15693,596,words13,6,15693_80,778,80,7852,hero,hIro,3,2,1,2,1,2,4,379,5,22,34,2542,7912,1942,12346600,5,1
lay,MALD1_sR,MALD1,15693,621,words13,2,15693_80,925,80,9725,lay,le,35,20,15,20,15,1,2,412,4,165,58,2970,17528,2145,16125669,3,1
loathe,MALD1_sR,MALD1,15693,356,words13,1,15693_80,903,80,10051,loathe,loD,13,11,2,3,10,1,3,544,7,40,4,106,275,52,346325,4,1
mouse,MALD1_sR,MALD1,15693,80,words13,3,15693_80,797,80,11208,mouse,mWs,14,12,2,11,3,1,3,629,6,63,23,975,3760,456,33668364,4,1
oppose,MALD1_sR,MALD1,15693,528,words13,2,15693_80,854,80,11968,oppose,xpoz,3,1,2,2,1,2,4,637,7,7,2,110,3213,1036,3653137,5,1
pact,MALD1_sR,MALD1,15693,358,words13,3,15693_80,628,80,12251,pact,p@kt,10,6,4,4,6,1,4,313,5,49,20,192,1647,302,2172780,5,1
papery,MALD1_sR,MALD1,15693,506,words13,1,15693_80,1151,80,12368,papery,pepXi,2,1,1,1,1,3,5,425,6,5,2,4,113,0,50159,5,2
pool,MALD1_sR,MALD1,15693,648,words13,2,15693_80,746,80,13298,pool,pul,18,16,2,17,1,1,3,409,5,94,20,2396,12198,1548,53058254,4,1
prayer,MALD1_sR,MALD1,15693,653,words13,2,15693_80,637,80,13456,prayer,prEr,4,1,3,2,2,1,4,358,7,25,15,805,7584,1178,16763247,5,1
pull,MALD1_sR,MALD1,15693,720,words13,3,15693_80,842,80,13929,pull,pUl,16,15,1,12,4,1,3,288,5,55,22,7469,17128,3784,19062074,4,1
rail,MALD1_sR,MALD1,15693,103,words13,4,15693_80,738,80,14183,rail,rel,36,30,6,25,11,1,3,360,5,154,40,233,4334,419,17293944,4,1
savor,MALD1_sR,MALD1,15693,615,words13,1,15693_80,1015,80,15186,savor,sevX,8,6,2,3,5,2,4,480,6,52,11,48,648,44,511915,5,2
sir,MALD1_sR,MALD1,15693,434,words13,2,15693_80,895,80,15728,sir,sR,23,15,8,7,16,1,2,519,4,141,36,49188,16252,5576,20341429,3,1
slit,MALD1_sR,MALD1,15693,569,words13,1,15693_80,985,80,15821,slit,slIt,18,15,3,7,11,1,4,383,5,35,18,194,842,78,1424732,5,1
spat,MALD1_sR,MALD1,15693,372,words13,1,15693_80,920,80,16060,spat,sp@t,12,8,4,3,9,1,4,441,5,30,21,79,951,64,638324,5,1
spy,MALD1_sR,MALD1,15693,113,words13,1,15693_80,748,80,16210,spy,spY,15,6,9,5,10,1,3,469,4,37,13,1023,2699,709,20031037,4,1
trench,MALD1_sR,MALD1,15693,257,words13,2,15693_80,761,80,17680,trench,trEnC,4,3,1,3,1,1,5,405,7,11,6,157,1234,133,1709629,6,1
use,MALD1_sR,MALD1,15693,305,words13,3,15693_80,645,80,18234,use,yuz,13,9,4,9,4,1,3,580,4,73,30,17536,149661,20659,719989010,4,1
void,MALD1_sR,MALD1,15693,107,words13,1,15693_80,776,80,18673,void,vOd,4,2,2,2,2,1,3,461,5,18,6,209,1839,206,32492676,4,1
warrant,MALD1_sR,MALD1,15693,11,words13,1,15693_80,911,80,18812,warrant,wcrxnt,3,1,2,1,2,2,6,392,8,11,5,1060,2654,844,9167246,7,1
aisle,MALD1_sR,MALD1,15716,304,words4,3,15716_4,742,4,443,aisle,Yl,23,11,12,19,4,1,2,393,6,124,5,379,2990,663,1917319,3,1
bank,MALD1_sR,MALD1,15716,196,words4,1,15716_4,895,4,1505,bank,b@Gk,15,11,4,12,3,1,4,366,5,57,37,4334,29833,6432,91561546,5,1
bench,MALD1_sR,MALD1,15716,199,words4,4,15716_4,617,4,1732,bench,bEnC,7,6,1,4,3,1,4,364,6,40,13,493,5986,511,8992211,5,1
berg,MALD1_sR,MALD1,15716,33,words4,2,15716_4,983,4,1756,berg,bRg,13,11,2,5,8,1,3,353,5,84,18,79,718,94,3115609,4,1
buggy,MALD1_sR,MALD1,15716,617,words4,5,15716_4,719,4,2287,buggy,b^gi,5,4,1,3,2,2,4,328,5,43,10,127,559,54,1955438,5,2
calves,MALD1_sR,MALD1,15716,521,words4,3,15716_4,1327,4,2484,calves,k@vz,4,3,1,2,2,1,4,544,6,16,12,82,1032,40,1208012,4,1
did,MALD1_sR,MALD1,15716,221,words4,1,15716_4,854,4,4878,did,dId,21,20,1,13,8,1,3,294,4,66,32,119410,418955,146254,275375820,4,1
faze,MALD1_sR,MALD1,15716,627,words4,1,15716_4,805,4,6275,faze,fez,23,21,2,14,9,1,3,549,5,133,20,22,123,12,138560,4,1
fix,MALD1_sR,MALD1,15716,711,words4,2,15716_4,802,4,6467,fix,fIks,10,8,2,6,4,1,4,415,4,75,23,4426,8710,2451,32352416,5,1
gone,MALD1_sR,MALD1,15716,455,words4,3,15716_4,966,4,7282,gone,gcn,17,14,3,9,8,1,3,370,5,73,29,15135,45028,11761,34516203,4,1
haste,MALD1_sR,MALD1,15716,230,words4,1,15716_4,873,4,7685,haste,hest,10,9,1,8,2,1,4,465,6,36,20,106,556,36,1059853,5,1
him,MALD1_sR,MALD1,15716,759,words4,1,15716_4,774,4,7905,him,hIm,20,19,1,11,9,1,3,357,4,69,33,177710,401145,91425,219526951,4,1
inlaid,MALD1_sR,MALD1,15716,76,words4,1,15716_4,764,4,8837,inlaid,Inled,2,1,1,1,1,2,5,501,5,2,1,9,280,7,492826,5,2
last,MALD1_sR,MALD1,15716,241,words4,1,15716_4,788,4,9683,last,l@st,14,12,2,12,2,1,4,502,5,51,33,36878,193855,52414,417620476,5,1
mare,MALD1_sR,MALD1,15716,630,words4,1,15716_4,861,4,10442,mare,mEr,23,21,2,18,5,1,3,489,5,130,60,148,797,25,2815109,4,1
mere,MALD1_sR,MALD1,15716,786,words4,1,15716_4,710,4,10713,mere,mIr,31,27,4,23,8,1,3,405,5,111,38,401,6561,335,7312247,4,1
nutty,MALD1_sR,MALD1,15716,312,words4,1,15716_4,813,4,11764,nutty,n^ti,6,5,1,4,2,2,4,464,5,17,7,182,582,127,689340,4,2
owl,MALD1_sR,MALD1,15716,340,words4,1,15716_4,786,4,12218,owl,Wl,15,10,5,13,2,1,2,343,4,61,14,286,1467,134,5013390,3,1
place,MALD1_sR,MALD1,15716,280,words4,1,15716_4,978,4,13077,place,ples,7,4,3,2,5,1,4,387,6,25,16,30736,121329,23007,220988917,5,1
plead,MALD1_sR,MALD1,15716,264,words4,1,15716_4,675,4,13129,plead,plid,8,7,1,1,7,1,4,355,6,24,8,357,1114,458,1125870,5,1
plush,MALD1_sR,MALD1,15716,571,words4,4,15716_4,719,4,13186,plush,pl^S,9,8,1,4,5,1,4,423,5,12,7,28,799,44,4693277,4,1
rape,MALD1_sR,MALD1,15716,598,words4,1,15716_4,753,4,14229,rape,rep,26,21,5,15,11,1,3,294,5,89,34,816,6091,2592,51479037,4,1
ridge,MALD1_sR,MALD1,15716,85,words4,1,15716_4,716,4,14813,ridge,rIJ,14,13,1,3,11,1,3,449,6,47,11,361,5596,506,15996151,4,1
rob,MALD1_sR,MALD1,15716,551,words4,2,15716_4,782,4,14879,rob,rab,17,16,1,14,3,1,3,452,4,85,42,1188,4730,1441,17021598,4,1
rove,MALD1_sR,MALD1,15716,80,words4,3,15716_4,1101,4,14957,rove,rov,26,20,6,13,13,1,3,502,5,84,29,58,1816,1329,2059348,4,1
sat,MALD1_sR,MALD1,15716,619,words4,7,15716_4,888,4,15151,sat,s@t,32,28,4,24,8,1,3,461,4,82,57,1459,29649,2703,70649302,4,1
scan,MALD1_sR,MALD1,15716,463,words4,2,15716_4,988,4,15203,scan,sk@n,7,5,2,2,5,1,4,522,5,31,17,480,2742,300,18174748,5,1
singe,MALD1_sR,MALD1,15716,437,words4,1,15716_4,885,4,15715,singe,sInJ,7,5,2,4,3,1,4,503,6,24,20,13,49,4,110115,5,1
skill,MALD1_sR,MALD1,15716,322,words4,1,15716_4,956,4,15753,skill,skIl,15,13,2,5,10,1,4,413,6,31,9,404,8560,494,15837826,5,1
slam,MALD1_sR,MALD1,15716,347,words4,1,15716_4,830,4,15776,slam,sl@m,13,12,1,3,10,1,4,504,5,36,35,296,2051,335,3855126,5,1
snake,MALD1_sR,MALD1,15716,427,words4,1,15716_4,777,4,15884,snake,snek,6,5,1,3,3,1,4,529,6,19,10,1140,3557,312,7609672,5,1
stew,MALD1_sR,MALD1,15716,54,words4,1,15716_4,734,4,16357,stew,stu,13,5,8,5,8,1,3,428,5,41,17,328,1471,95,1716385,4,1
stud,MALD1_sR,MALD1,15716,790,words4,1,15716_4,701,4,16518,stud,st^d,12,11,1,2,10,1,4,399,5,43,11,354,715,52,9482020,5,1
swear,MALD1_sR,MALD1,15716,219,words4,2,15716_4,935,4,16803,swear,swEr,11,9,2,8,3,1,4,510,6,30,9,4496,2486,485,3082820,5,1
tester,MALD1_sR,MALD1,15716,692,words4,1,15716_4,765,4,17172,tester,tEstX,5,3,2,3,2,2,5,492,7,38,31,17,1175,30,3366908,6,2
testy,MALD1_sR,MALD1,15716,249,words4,3,15716_4,810,4,17179,testy,tEsti,5,3,2,2,3,2,5,390,5,19,7,49,222,59,169557,6,1
threw,MALD1_sR,MALD1,15716,714,words4,1,15716_4,753,4,17299,threw,Tru,10,8,2,7,3,1,3,340,5,34,5,2082,8913,1305,4411069,4,1
tiff,MALD1_sR,MALD1,15716,35,words4,1,15716_4,1282,4,17349,tiff,tIf,11,9,2,5,6,1,3,375,5,46,13,44,93,11,3055768,4,1
tilt,MALD1_sR,MALD1,15716,285,words4,6,15716_4,615,4,17361,tilt,tIlt,15,11,4,10,5,1,4,322,5,30,17,113,1429,146,4925167,5,1
tire,MALD1_sR,MALD1,15716,776,words4,2,15716_4,826,4,17401,tire,tYr,26,22,4,16,10,2,3,314,5,88,31,631,3489,492,9193048,4,1
trig,MALD1_sR,MALD1,15716,112,words4,1,15716_4,2055,4,17716,trig,trIg,9,7,2,4,5,1,4,378,5,28,14,39,91,26,591988,5,1
waggle,MALD1_sR,MALD1,15716,595,words4,2,15716_4,859,4,18748,waggle,w@gL,4,2,2,2,2,2,5,409,7,20,7,20,34,0,40713,6,1
wig,MALD1_sR,MALD1,15716,152,words4,2,15716_4,648,4,19030,wig,wIg,20,16,4,11,9,1,3,398,4,72,29,426,847,156,2156534,4,1
age,MALD1_sR,MALD1,15716,360,words40,3,15716_40,699,40,393,age,eJ,16,10,6,8,8,1,2,395,4,66,46,4039,65798,8812,132738257,3,1
air,MALD1_sR,MALD1,15716,123,words40,5,15716_40,648,40,438,air,Er,30,13,17,19,11,1,2,322,4,154,35,7090,69259,13508,160853049,3,1
