"","name","ortho","phono"
"1319","1319","auto","cto"
"1337","1337","autumn","ctM"
"1341","1341","avail","xvel"
"1346","1346","avast","xv@st"
"1352","1352","aver","xvR"
"1355","1355","averse","xvRs"
"1357","1357","avert","xvRt"
"1372","1372","avouch","xvWC"
"1373","1373","avow","xvW"
"1375","1375","await","xwet"
"1376","1376","awake","xwek"
"1378","1378","award","xword"
"1379","1379","aware","xwEr"
"1381","1381","awe","c"
"1382","1382","aweary","xwIri"
"1383","1383","aweigh","xwe"
"1386","1386","awful","cfL"
"1387","1387","awhile","xhwYl"
"1388","1388","awhirl","xhwRl"
"1390","1390","awn","cn"
"1392","1392","AWOL","ewcl"
"1393","1393","awry","xrY"
"1394","1394","axe","@ks"
"1395","1395","axial","@ksiL"
"1399","1399","axle","@ksL"
"1400","1400","ay","Y"
"1401","1401","ayah","Yx"
"1406","1406","b","bi"
"1408","1408","babe","beb"
"1409","1409","Babel","bebL"
"1412","1412","baby","bebi"
"1418","1418","back","b@k"
"1428","1428","bad","b@d"
"1442","1442","baht","bat"
"1443","1443","bail","bel"
"1447","1447","bairn","bErn"
"1448","1448","bait","bet"
"1449","1449","baize","bez"
"1450","1450","bake","bek"
"1457","1457","bald","bcld"
"1464","1464","balk","bck"
"1465","1465","ball","bcl"
"1482","1482","ban","b@n"
"1486","1486","band","b@nd"
"1497","1497","bandy","b@ndi"
"1498","1498","bane","ben"
"1499","1499","bang","b@G"
"1505","1505","bank","b@Gk"
"1508","1508","banner","b@nX"
"1510","1510","banns","b@nz"
"1515","1515","banter","b@ntX"
"1524","1524","bar","bar"
"1525","1525","barb","barb"
"1532","1532","barbed","barbd"
"1534","1534","barber","barbX"
"1539","1539","bard","bard"
"1540","1540","bare","bEr"
"1542","1542","barge","barJ"
"1545","1545","bark","bark"
"1547","1547","barker","barkX"
"1549","1549","barn","barn"
"1570","1570","barrow","b@ro"
"1573","1573","basal","besL"
"1574","1574","basalt","bxsclt"
"1576","1576","base","bes"
"1578","1578","bash","b@S"
"1584","1584","basin","besN"
"1586","1586","bask","b@sk"
"1588","1588","bass","b@s"
"1590","1590","basso","b@so"
"1593","1593","bast","b@st"
"1595","1595","baste","best"
"1598","1598","bat","b@t"
"1601","1601","bathe","beD"
"1612","1612","batteau","b@to"
"1613","1613","batten","b@tN"
"1614","1614","batter","b@tX"
"1615","1615","battery","b@tXi"
"1617","1617","battle","b@tL"
"1621","1621","bay","be"
"1624","1624","bayou","bYu"
"1627","1627","beach","biC"
"1630","1630","bead","bid"
"1631","1631","beadle","bidL"
"1632","1632","beagle","bigL"
"1633","1633","beak","bik"
"1634","1634","beaked","bikt"
"1635","1635","beaker","bikX"
"1636","1636","beam","bim"
"1637","1637","bean","bin"
"1638","1638","beanie","bini"
"1639","1639","beard","bIrd"
"1640","1640","bearing","b@rIG"
"1642","1642","beast","bist"
"1643","1643","beat","bit"
"1644","1644","beaten","bitN"
"1648","1648","beau","bo"
"1654","1654","beauty","byuti"
"1655","1655","beaux","boz"
"1664","1664","bed","bEd"
"1668","1668","bedew","bidu"
"1676","1676","beef","bif"
