"","x"
"2391",21
"2422",4
"2808",12
"2809",1
"2810",3
"2811",12
"3166",3
"3178",1
"3179",1
"3180",2
"3210",6
"4367",3
"13885",1
"13888",1
"15040",1
"15042",4
"15065",8
"15072",8
"15076",9
"15077",4
"15078",2
"15079",8
"15095",4
"15108",8
"15124",9
"15152",2
"15156",11
"15173",5
"15174",4
"15176",1
"15180",1
"15184",9
"15185",1
"15186",5
"15187",12
"15190",20
"15191",1
"15195",6
"15203",5
"15207",1
"15209",7
"15211",1
"15214",6
"15216",2
"15224",11
"15231",4
"15240",5
"15243",1
"15250",2
"15253",6
"15255",6
"15256",3
"15257",4
"15258",2
"15259",7
"15260",3
"15263",9
"15264",4
"15265",1
"15268",6
"15269",3
"15270",7
"15271",5
"15272",7
"15275",3
"15276",2
"15277",2
"15280",4
"15281",3
"15282",2
"15286",3
"15288",2
"15289",5
"15290",1
"15301",3
"15303",7
"15308",4
"15310",5
"15312",5
"15313",1
"15316",6
"15317",11
"15319",12
"15322",2
"15325",5
"15327",2
"15329",11
"15364",12
"15365",1
"15366",12
"15367",1
"15368",11
"15375",13
"15376",2
"15435",1
"15462",5
"15463",5
"15474",7
"15476",3
"15495",15
"15497",8
"15499",5
"15652",8
"15657",4
"15658",11
"15663",18
"15664",7
"15728",16
"15729",6
"15733",2
"15741",6
"15744",6
"15745",5
"15747",2
"15750",5
"15751",8
"15752",8
"15753",10
"15755",9
"15756",2
"15757",9
"15760",10
"15761",1
"15763",8
"15764",10
"15766",2
"15767",1
"15768",3
"15769",7
"15770",10
"15772",8
"15773",4
"15774",7
"15776",10
"15778",9
"15779",1
"15780",12
"15781",8
"15782",14
"15783",10
"15786",4
"15787",6
"15792",7
"15793",10
"15795",3
"15796",2
"15797",6
"15798",8
"15799",9
"15800",5
"15801",10
"15804",4
"15805",8
"15806",5
"15807",10
"15808",4
"15809",7
"15810",6
"15812",8
"15813",7
"15814",8
"15815",2
"15816",11
"15818",5
"15819",1
"15821",11
"15822",3
"15823",3
"15825",7
"15827",8
"15828",8
"15829",6
"15830",1
"15831",8
"15832",2
"15835",6
"15836",6
"15838",4
"15839",9
"15841",1
"15842",8
"15843",1
"15844",6
"15845",6
"15846",11
"15847",10
"15916",5
"15917",5
"15919",8
"15921",1
"15942",2
"15946",1
"15949",9
"15951",6
"15953",5
"15955",1
"15957",4
"15972",4
"15978",1
"15991",3
"15996",6
"15998",6
"15999",6
"16015",4
"16016",1
"16020",11
"16021",6
"16024",6
"16025",3
"16026",3
"16027",3
"16028",3
"16037",9
"16038",5
"16039",4
"16042",6
"16044",7
"16050",9
"16051",8
"16053",3
"16054",1
"16056",2
"16060",9
"16061",9
"16063",1
"16066",6
"16067",9
"16068",6
"16069",8
"16080",7
"16091",8
"16092",2
"16093",5
"16096",6
"16098",2
"16100",1
"16101",4
"16110",7
"16114",9
"16115",8
"16116",2
"16118",3
"16119",9
"16121",2
"16124",12
"16127",2
"16128",11
"16137",12
"16138",12
"16139",1
"16143",2
"16149",1
"16150",2
"16151",1
"16152",2
"16156",5
"16157",2
"16158",2
"16159",5
"16163",1
"16168",3
"16169",7
"16170",6
"16171",9
"16172",5
"16174",7
"16175",1
"16177",8
"16179",7
"16180",1
"16181",3
"16182",4
"16184",5
"16185",1
"16186",2
"16187",1
"16189",3
"16193",4
"16195",3
"16197",2
"16198",4
"16199",4
"16201",8
"16203",8
"16204",4
"16206",10
"16207",10
"16210",10
"16211",5
"16212",1
"16213",4
"16219",2
"16220",3
"16221",5
"16230",2
"16231",3
"16233",1
"16234",2
"16235",2
"16236",4
"16237",4
"16245",10
"16247",5
"16248",4
"16249",9
"16250",3
"16255",1
"16256",11
"16257",12
"16258",7
"16259",13
"16261",13
"16262",8
"16263",1
"16264",7
"16270",3
"16271",1
"16282",1
"16286",9
"16288",4
"16290",5
"16292",5
"16293",1
"16295",4
"16297",10
"16307",2
"16310",3
"16312",1
"16314",8
"16316",13
"16317",8
"16318",1
"16319",9
"16321",5
"16322",7
"16324",7
"16325",1
"16326",8
"16329",6
"16331",4
"16337",6
"16346",1
"16352",6
"16353",1
"16357",8
"16359",14
"16361",1
"16362",7
"16368",8
"16370",12
"16372",3
"16374",1
"16379",8
"16381",2
"16382",1
"16387",6
"16389",5
"16390",8
"16391",10
"16398",2
"16400",1
"16401",4
"16402",1
"16404",15
"16405",13
"16412",10
"16413",4
"16414",4
"16415",9
"16416",7
"16417",6
"16420",12
"16422",1
"16423",5
"16424",3
"16425",4
"16427",2
"16428",8
"16429",11
"16431",4
"16433",7
"16434",1
"16437",6
"16439",2
"16440",1
"16444",3
"16455",3
"16456",6
"16457",6
"16458",5
"16460",5
"16467",4
"16468",2
"16469",3
"16475",5
"16478",5
"16479",7
"16480",6
"16482",2
"16483",2
"16484",4
"16485",7
"16487",5
"16492",4
"16493",7
"16494",4
"16495",3
"16500",4
"16503",5
"16504",6
"16507",4
"16509",5
"16510",5
"16512",8
"16513",3
"16515",4
"16516",1
"16517",13
"16518",10
"16520",1
"16523",4
"16524",8
"16525",3
"16528",1
"16530",10
"16531",7
"16532",2
"16533",1
"16540",1
"16544",7
"16550",8
"16633",14
"16634",4
"16635",1
"16652",8
"16657",5
"16659",3
"16750",1
"16760",7
"16766",2
"16776",2
"16779",7
"16781",3
"16782",3
"16783",1
"16785",6
"16787",3
"16788",1
"16789",10
"16792",11
"16793",4
"16794",4
"16795",4
"16797",8
"16799",9
"16800",7
"16801",7
"16802",4
"16803",3
"16804",6
"16805",2
"16806",3
"16808",5
"16811",1
"16813",4
"16814",1
"16815",1
"16817",2
"16819",7
"16820",8
"16821",8
"16823",4
"16824",7
"16825",4
"16826",3
"16827",7
"16828",6
"16829",6
"16832",4
"16833",4
"16834",4
"16836",5
"16837",4
"16838",3
"16839",2
