"","name","ortho","phono"
"6465","6465","fit","fIt"
"6509","6509","flat","fl@t"
"6514","6514","flaunt","flcnt"
"6527","6527","fleet","flit"
"6539","6539","flight","flYt"
"6544","6544","flint","flInt"
"6551","6551","flit","flIt"
"6554","6554","float","flot"
"6575","6575","flout","flWt"
"6597","6597","flute","flut"
"6615","6615","foist","fOst"
"6632","6632","font","fant"
"6639","6639","foot","fUt"
"6718","6718","fort","fort"
"6736","6736","fought","fct"
"6746","6746","fount","fWnt"
"6777","6777","fraught","frct"
"6791","6791","freight","fret"
"6809","6809","fright","frYt"
"6828","6828","front","fr^nt"
"6846","6846","fruit","frut"
"6943","6943","gait","get"
"7011","7011","garotte","gxrat"
"7035","7035","gaunt","gcnt"
"7039","7039","gavotte","gxvat"
"7092","7092","gent","JEnt"
"7134","7134","get","gEt"
"7141","7141","ghat","gct"
"7144","7144","ghost","gost"
"7155","7155","gift","gIft"
"7175","7175","girt","gRt"
"7178","7178","gist","JIst"
"7213","7213","glint","glInt"
"7218","7218","gloat","glot"
"7241","7241","glut","gl^t"
"7249","7249","gnat","n@t"
"7260","7260","goat","got"
"7310","7310","got","gat"
"7321","7321","gout","gWt"
"7338","7338","graft","gr@ft"
"7358","7358","grant","gr@nt"
"7371","7371","grate","gret"
"7402","7402","greet","grit"
"7429","7429","grist","grIst"
"7432","7432","grit","grIt"
"7436","7436","groat","grot"
"7452","7452","grot","grat"
"7477","7477","grunt","gr^nt"
"7490","7490","guest","gEst"
"7522","7522","gust","g^st"
"7525","7525","gut","g^t"
"7539","7539","gyrate","JYret"
"7570","7570","haft","h@ft"
"7676","7676","hart","hart"
"7685","7685","haste","hest"
"7687","7687","hat","h@t"
"7691","7691","hate","het"
"7697","7697","haunt","hcnt"
"7737","7737","heat","hit"
"7760","7760","heft","hEft"
"7765","7765","height","hYt"
"7770","7770","heist","hYst"
"7915","7915","hint","hInt"
"7932","7932","hit","hIt"
"7955","7955","hoist","hOst"
"8010","8010","hoot","hut"
"8050","8050","host","host"
"8056","8056","hot","hat"
"8134","8134","hunt","h^nt"
"8142","8142","hurt","hRt"
"8152","8152","hut","h^t"
"8929","8929","instate","Instet"
"9178","9178","irate","Yret"
"9252","9252","it","It"
"9297","9297","jaunt","Jcnt"
"9320","9320","jest","JEst"
"9321","9321","jet","JEt"
"9359","9359","joint","JOnt"
"9360","9360","joist","JOst"
"9370","9370","jot","Jat"
"9377","9377","joust","JWst"
"9426","9426","just","J^st"
"9430","9430","jut","J^t"
"9431","9431","jute","Jut"
"9513","9513","kit","kIt"
"9517","9517","kite","kYt"
"9536","9536","knight","nYt"
"9537","9537","knit","nIt"
"9545","9545","knot","nat"
"9560","9560","kraut","krWt"
"9683","9683","last","l@st"
"9688","9688","late","let"
"9727","9727","layette","leEt"
"9756","9756","least","list"
"9773","9773","left","lEft"
"9819","9819","lent","lEnt"
"9835","9835","lest","lEst"
"9836","9836","let","lEt"
"9897","9897","lied","lit"
"9907","9907","lift","lIft"
"9910","9910","light","lYt"
"9973","9973","lint","lInt"
"9994","9994","list","lIst"
"9998","9998","lit","lIt"
"10081","10081","loft","lcft"
"10115","10115","loot","lut"
"10127","10127","lost","lcst"
"10128","10128","lot","lat"
"10137","10137","lout","lWt"
"10198","10198","lust","l^st"
"10489","10489","mart","mart"
"10518","10518","mast","m@st"
"10532","10532","mat","m@t"
"10536","10536","mate","met"
"10603","10603","meant","mEnt"
"10610","10610","meat","mit"
"10741","10741","met","mEt"
"10805","10805","midst","mIdst"
"10810","10810","might","mYt"
"10885","10885","mint","mInt"
"10961","10961","mist","mIst"
"10977","10977","mitt","mIt"
"10984","10984","moat","mot"
"11022","11022","moist","mOst"
"11121","11121","moot","mut"
"11181","11181","most","most"
"11202","11202","mount","mWnt"
"11303","11303","must","m^st"
"11314","11314","mute","myut"
"11321","11321","mutt","m^t"
"11418","11418","naught","nct"
"11440","11440","neat","nit"
"11505","11505","nest","nEst"
"11508","11508","net","nEt"
"11542","11542","newt","nut"
"11686","11686","note","not"
"11756","11756","nut","n^t"
"11777","11777","oat","ot"
"11790","11790","obit","obIt"
"11894","11894","oft","cft"
"11918","11918","omit","omIt"
"11974","11974","opt","apt"
"11994","11994","orate","oret"
"12091","12091","oust","Wst"
"12093","12093","out","Wt"
"12111","12111","outfight","WtfYt"
"12141","12141","outright","WtrYt"
"12251","12251","pact","p@kt"
"12270","12270","paint","pent"
"12349","12349","pant","p@nt"
"12465","12465","part","part"
"12508","12508","past","p@st"
"12510","12510","paste","pest"
"12525","12525","pat","p@t"
"12527","12527","pate","pet"
"12587","12587","peaked","pikt"
"12594","12594","peat","pit"
"12676","12676","pent","pEnt"
"12805","12805","pert","pRt"
"12821","12821","pest","pEst"
"12830","12830","pet","pEt"
"13030","13030","pint","pYnt"
"13054","13054","pit","pIt"
"13092","13092","plaint","plent"
"13095","13095","plait","plet"
"13102","13102","plant","pl@nt"
"13112","13112","plat","pl@t"
"13135","13135","pleat","plit"
"13156","13156","plight","plYt"
"13160","13160","plot","plat"
"13213","13213","point","pOnt"
"13236","13236","polite","pxlYt"
"13331","13331","port","port"
"13366","13366","post","post"
"13396","13396","pot","pat"
"13426","13426","pout","pWt"
"13450","13450","prate","pret"
"13963","13963","punt","p^nt"
"14009","14009","put","pUt"
"14017","14017","putt","p^t"
"14071","14071","quart","kwort"
"14089","14089","quest","kwEst"
"14107","14107","quint","kInt"
"14114","14114","quirt","kwRt"
"14116","14116","quit","kwIt"
"14117","14117","quite","kwYt"
"14124","14124","quoit","kwet"
"14129","14129","quote","kwot"
"14173","14173","raft","r@ft"
"14226","14226","rant","r@nt"
"14238","14238","rapt","r@pt"
"14252","14252","rat","r@t"
"14254","14254","rate","ret"
"14551","14551","remit","rImIt"
"14561","14561","remote","rImot"
"14581","14581","rent","rEnt"
"14693","14693","rest","rEst"
"14822","14822","rift","rIft"
"14825","14825","right","rYt"
"14878","14878","roast","rost"
"14914","14914","roost","rust"
"14915","14915","root","rut"
"14928","14928","rot","rat"
"14934","14934","rote","rot"
"14955","14955","rout","rWt"
"14976","14976","ruffed","r^ft"
"15014","15014","runt","r^nt"
"15025","15025","rust","r^st"
"15033","15033","rut","r^t"
"15078","15078","saint","sent"
"15151","15151","sat","s@t"
"15156","15156","sate","set"
"15207","15207","scant","sk@nt"
"15263","15263","scot","skat"
"15270","15270","scout","skWt"
"15329","15329","seat","sit"
"15400","15400","Semite","sEmYt"
"15469","15469","serrate","sXet"
"15482","15482","set","sEt"
"15514","15514","shaft","S@ft"
"15554","15554","sheet","Sit"
"15569","15569","shift","SIft"
"15586","15586","shirt","SRt"
