lower,node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50
allah,502,Allah,@lx,8,5,3,1,7
allay,503,allay,xle,12,8,4,9,3
allege,505,allege,xlEJ,3,2,1,3,0
allergy,516,allergy,@lXJi,1,0,1,0,1
alley,519,alley,@li,22,13,9,16,6
allied,522,allied,xlYd,12,10,2,6,6
allot,528,allot,xlat,10,9,1,5,5
allow,529,allow,xlW,5,4,1,2,3
alloy,530,alloy,@lO,7,7,0,2,5
allude,532,allude,xlud,6,3,3,3,3
allure,533,allure,xlUr,4,3,1,4,0
ally,535,ally,@lY,9,8,1,4,5
alms,541,alms,amz,2,2,0,1,1
aloe,542,aloe,@lo,20,11,9,14,6
aloft,543,aloft,xlcft,1,0,1,1,0
alone,545,alone,xlon,7,5,2,5,2
along,546,along,xlcG,2,0,2,2,0
aloof,549,aloof,xluf,1,1,0,0,1
aloud,550,aloud,xlWd,5,3,2,2,3
alp,551,alp,@lp,6,6,0,1,5
altar,562,altar,cltX,5,1,4,4,1
alto,571,alto,@lto,1,0,1,0,1
alum,575,alum,@lxm,2,0,2,1,1
am,582,am,@m,19,9,10,12,7
amah,583,amah,amx,4,1,3,3,1
amain,584,amain,xmen,4,3,1,3,1
amass,591,amass,xm@s,3,2,1,1,2
amaze,596,amaze,xmez,2,1,1,1,1
amber,600,amber,@mbX,5,3,2,4,1
amble,609,amble,@mbL,6,3,3,4,2
amen,616,amen,emEn,1,0,1,1,0
amend,618,amend,xmEnd,8,5,3,7,1
amends,620,amends,xmEndz,1,0,1,0,1
amerce,622,amerce,xmRs,4,4,0,2,2
amid,632,amid,xmId,2,1,1,1,1
amiss,633,amiss,xmIs,5,4,1,2,3
amity,634,amity,@mxti,1,1,0,1,0
ammeter,635,ammeter,@mitX,1,0,1,1,0
ammo,636,ammo,@mo,4,2,2,3,1
amok,643,amok,xm^k,2,1,1,1,1
among,644,among,xm^G,1,1,0,0,1
amoral,646,amoral,emcrL,2,1,1,2,0
amount,651,amount,xmWnt,2,1,1,2,0
amour,652,amour,xmUr,3,3,0,3,0
ample,658,ample,@mpL,3,1,2,2,1
amuse,668,amuse,xmyuz,3,2,1,3,0
an,669,an,@n,22,11,11,14,8
anal,676,anal,enL,2,1,1,1,1
anchor,698,anchor,@GkX,7,2,5,4,3
and,704,and,@nd,12,2,10,8,4
anent,712,anent,xnEnt,3,3,0,3,0
anew,715,anew,xnu,4,2,2,3,1
angel,716,angel,enJL,1,0,1,0,1
anger,718,anger,@GgX,3,2,1,1,2
angle,720,angle,@GgL,10,3,7,8,2
anise,744,anise,@n|s,3,3,0,3,0
ankh,745,ankh,@Gk,14,2,12,12,2
ankle,746,ankle,@GkL,4,2,2,1,3
anneal,749,anneal,xnil,4,2,2,3,1
annoy,758,annoy,xnO,2,2,0,1,1
annul,762,annul,xn^l,2,1,1,1,1
anode,766,anode,@nod,2,0,2,1,1
anoint,769,anoint,xnOnt,2,2,0,2,0
answer,778,answer,@nsX,3,1,2,2,1
ant,780,ant,@nt,12,4,8,8,4
ante,785,ante,@nti,5,1,4,2,3
anther,796,anther,@nTX,2,1,1,1,1
anti,805,anti,@ntY,3,2,1,1,2
antic,808,antic,@ntIk,2,1,1,1,1
antique,826,antique,@ntik,2,1,1,0,2
anus,836,anus,en|s,3,2,1,3,0
any,840,any,Eni,9,4,5,5,4
apace,845,apace,xpes,4,3,1,3,1
apart,846,apart,xpart,3,1,2,3,0
ape,851,ape,ep,17,10,7,9,8
apeak,852,apeak,xpik,5,4,1,2,3
apiece,865,apiece,xpis,5,4,1,1,4
aplomb,866,aplomb,xpl^m,1,0,1,1,0
aport,875,aport,xport,5,3,2,5,0
apostle,878,apostle,xpasL,1,1,0,0,1
appal,884,appal,xpcl,3,2,1,1,2
apparent,888,apparent,xp@rxnt,1,0,1,1,0
appeal,890,appeal,xpil,6,5,1,2,4
appear,891,appear,xpIr,2,1,1,2,0
appease,893,appease,xpiz,5,4,1,1,4
append,898,append,xpEnd,7,6,1,7,0
applaud,906,applaud,xplcd,2,2,0,0,2
applause,907,applause,xplcz,1,1,0,0,1
apple,908,apple,@pL,8,5,3,6,2
applied,915,applied,xplYd,3,1,2,1,2
apply,917,apply,xplY,3,0,3,2,1
appoint,918,appoint,xpOnt,3,1,2,2,1
appointee,919,appointee,xpOnti,1,0,1,0,1
appraise,926,appraise,xprez,3,2,1,2,1
apprize,933,apprize,xprYz,3,1,2,2,1
approval,938,approval,xpruvL,1,0,1,0,1
approve,939,approve,xpruv,2,0,2,1,1
apse,947,apse,@ps,7,3,4,5,2
apt,948,apt,@pt,8,6,2,6,2
arab,960,Arab,@rxb,3,2,1,0,3
arable,964,arable,@rxbL,4,1,3,3,1
arbor,974,arbor,arbX,5,3,2,2,3
arc,979,arc,ark,11,3,8,7,4
arch,982,arch,arC,8,3,5,3,5
archer,989,archer,arCX,5,3,2,0,5
archery,990,archery,arCXi,3,2,1,2,1
ardor,1007,ardor,ardX,5,4,1,2,3
are,1009,are,ar,19,6,13,14,5
area,1010,area,@rix,4,2,2,1,3
aria,1022,aria,arix,1,1,0,1,0
arid,1023,arid,@rxd,4,3,1,2,2
aright,1026,aright,xrYt,8,5,3,6,2
arise,1027,arise,xrYz,7,4,3,4,3
arm,1034,arm,arm,9,3,6,3,6
armor,1044,armor,armX,6,4,2,0,6
armory,1046,armory,armXi,4,2,2,2,2
army,1048,army,armi,4,2,2,0,4
around,1052,around,xrWnd,4,2,2,4,0
arouse,1053,arouse,xrWz,4,3,1,3,1
arraign,1055,arraign,xren,10,7,3,8,2
arrange,1056,arrange,xrenJ,3,1,2,2,1
arrant,1057,arrant,@rxnt,3,1,2,2,1
arras,1058,arras,@rxs,5,4,1,2,3
array,1059,array,xre,12,9,3,10,2
arrest,1061,arrest,xrEst,5,3,2,5,0
arrival,1062,arrival,xrYvL,1,0,1,1,0
arrow,1065,arrow,@ro,18,11,7,16,2
arson,1071,arson,arsN,1,0,1,1,0
art,1072,art,art,13,4,9,8,5
artery,1076,artery,artXi,3,2,1,2,1
arty,1095,arty,arti,5,1,4,2,3
arum,1096,arum,@rM,5,3,2,3,2
aryan,1097,Aryan,@rixn,2,0,2,1,1
as,1098,as,@z,13,9,4,7,6
ascend,1101,ascend,xsEnd,6,5,1,5,1
ascension,1104,ascension,xsEnC|n,1,1,0,1,0
ascent,1105,ascent,xsEnt,4,3,1,3,1
ash,1111,ash,@S,17,6,11,10,7
ashore,1115,ashore,xSor,3,2,1,2,1
ashy,1116,ashy,@Si,5,3,2,4,1
aside,1118,aside,xsYd,5,4,1,3,2
ask,1121,ask,@sk,8,3,5,5,3
askew,1123,askew,xskyu,1,0,1,1,0
aslant,1124,aslant,xsl@nt,1,0,1,1,0
asleep,1125,asleep,xslip,1,0,1,1,0
asp,1126,asp,@sp,7,3,4,4,3
aspire,1138,aspire,xspYr,1,0,1,1,0
ass,1140,ass,@s,21,10,11,11,10
assail,1141,assail,xsel,2,1,1,2,0
assault,1143,assault,xsclt,2,0,2,2,0
assay,1144,assay,@se,7,4,3,4,3
assert,1148,assert,xsRt,3,3,0,2,1
asset,1151,asset,@sEt,1,0,1,1,0
assign,1156,assign,xsYn,5,4,1,3,2
assist,1160,assist,xsIst,1,0,1,1,0
assize,1162,assize,xsYz,4,3,1,2,2
assort,1167,assort,xsort,2,1,1,2,0
assuage,1168,assuage,xsweJ,1,0,1,1,0
assure,1172,assure,xSUr,6,4,2,4,2
assured,1173,assured,xSUrd,1,0,1,0,1
aster,1175,aster,@stX,10,6,4,10,0
astern,1177,astern,xstRn,2,0,2,1,1
astir,1182,astir,xstR,2,0,2,1,1
astray,1188,astray,xstre,1,0,1,1,0
astride,1189,astride,xstrYd,1,0,1,1,0
asunder,1200,asunder,xs^ndX,1,0,1,1,0
at,1203,at,@t,31,12,19,23,8
ate,1206,ate,et,27,14,13,17,10
atheistic,1210,atheistic,eTiIstIk,1,0,1,1,0
athirst,1212,athirst,xTRst,2,1,1,2,0
athwart,1215,athwart,xTwort,1,0,1,1,0
atilt,1216,atilt,xtIlt,2,1,1,2,0
