lower,node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50
duffer,5336,duffer,d^fX,3,3,0,3,0
dug,5337,dug,d^g,22,21,1,13,9
duke,5339,duke,duk,16,14,2,6,10
dull,5342,dull,d^l,23,22,1,13,10
dullard,5343,dullard,d^lXd,1,1,0,1,0
dully,5344,dully,d^li,11,10,1,8,3
duly,5345,duly,duli,9,9,0,8,1
duma,5346,duma,dumx,1,0,1,0,1
dumb,5347,dumb,d^m,29,26,3,18,11
dummy,5352,dummy,d^mi,9,7,2,4,5
dump,5353,dump,d^mp,13,10,3,9,4
dumps,5354,dumps,d^mps,3,2,1,1,2
dumpy,5355,dumpy,d^mpi,3,1,2,0,3
dunce,5356,dunce,d^ns,4,3,1,3,1
dune,5358,dune,dun,27,26,1,18,9
dung,5359,dung,d^G,17,16,1,7,10
dunk,5363,dunk,d^Gk,13,10,3,10,3
duo,5364,duo,duo,10,8,2,0,10
dupe,5366,dupe,dup,18,16,2,9,9
duress,5376,duress,dUrEs,1,0,1,1,0
during,5377,during,dUrIG,2,2,0,2,0
dusk,5378,dusk,d^sk,9,8,1,6,3
dust,5379,dust,d^st,8,8,0,6,2
dutch,5381,dutch,d^C,15,14,1,5,10
duty,5385,duty,duti,6,6,0,5,1
dwarf,5386,dwarf,dworf,1,0,1,1,0
dwell,5388,dwell,dwEl,6,2,4,4,2
dwelled,5389,dwelled,dwEld,3,1,2,1,2
dwelt,5390,dwelt,dwElt,4,1,3,2,2
e,5401,e,i,28,4,24,22,6
each,5402,each,iC,14,8,6,8,6
eager,5403,eager,igX,7,6,1,5,2
eagle,5404,eagle,igL,8,5,3,6,2
ear,5406,ear,Ir,31,12,19,22,9
earl,5407,earl,Rl,19,12,7,14,5
early,5409,early,Rli,10,6,4,9,1
earn,5411,earn,Rn,15,9,6,11,4
earnings,5413,earnings,RnIGz,1,1,0,1,0
earth,5416,earth,RT,12,5,7,7,5
earthen,5417,earthen,RT|n,2,2,0,2,0
earthy,5419,earthy,RTi,2,1,1,1,1
ease,5420,ease,iz,19,8,11,10,9
easel,5421,easel,izL,6,3,3,4,2
east,5422,east,ist,8,2,6,7,1
easter,5423,Easter,istX,6,4,2,4,2
eastern,5424,eastern,istXn,1,0,1,0,1
easy,5425,easy,izi,4,2,2,2,2
eat,5427,eat,it,24,11,13,17,7
eaten,5428,eaten,itN,3,1,2,2,1
eaves,5429,eaves,ivz,7,1,6,4,3
ebb,5430,ebb,Eb,11,8,3,3,8
echo,5438,echo,Eko,2,2,0,1,1
eddy,5458,eddy,Edi,5,2,3,5,0
eden,5460,Eden,idN,1,1,0,1,0
edge,5461,edge,EJ,15,10,5,7,8
educe,5474,educe,Idus,6,1,5,6,0
eel,5475,eel,il,28,13,15,22,6
eery,5476,eery,Iri,14,8,6,12,2
efface,5477,efface,Ifes,3,1,2,3,0
effect,5478,effect,IfEkt,3,2,1,3,0
ego,5484,ego,igo,4,3,1,2,2
eider,5494,eider,YdX,6,4,2,4,2
eighteen,5496,eighteen,etin,1,0,1,0,1
eighth,5497,eighth,etT,2,1,1,0,2
eighty,5498,eighty,eti,4,1,3,1,3
either,5501,either,iDX,4,3,1,4,0
eject,5503,eject,IJEkt,3,1,2,3,0
eke,5504,eke,ik,20,9,11,14,6
elapse,5506,elapse,xl@ps,3,1,2,3,0
elate,5508,elate,xlet,11,9,2,5,6
elder,5510,elder,EldX,2,2,0,1,1
elect,5512,elect,xlEkt,4,1,3,3,1
elector,5516,elector,xlEktX,1,0,1,0,1
eleven,5542,eleven,xlEvxn,1,0,1,1,0
elf,5543,elf,Elf,8,3,5,4,4
elicit,5545,elicit,xlIs|t,3,1,2,3,0
elite,5550,elite,xlit,13,10,3,7,6
elk,5553,elk,Elk,5,4,1,1,4
ell,5554,ell,El,31,16,15,19,12
ellipse,5555,ellipse,xlIps,1,1,0,1,0
elm,5557,elm,Elm,7,3,4,3,4
elope,5560,elope,xlop,2,2,0,1,1
else,5562,else,Els,6,4,2,2,4
elver,5565,elver,ElvX,3,2,1,1,2
elves,5566,elves,Elvz,3,1,2,2,1
ember,5582,ember,EmbX,3,2,1,3,0
emend,5601,emend,ImEnd,4,2,2,3,1
emerge,5604,emerge,ImRJ,3,2,1,1,2
emir,5613,emir,ImIr,4,3,1,2,2
emit,5615,emit,ImIt,6,4,2,3,3
emote,5618,emote,Imot,4,2,2,3,1
emu,5637,emu,imyu,1,0,1,1,0
enable,5643,enable,InebL,2,2,0,2,0
enchain,5648,enchain,InCen,3,2,1,3,0
encipher,5650,encipher,InsYfX,2,2,0,0,2
end,5661,end,End,13,3,10,10,3
ennoble,5693,ennoble,InobL,4,2,2,4,0
enough,5696,enough,In^f,1,1,0,1,0
enter,5711,enter,EntX,2,1,1,2,0
entomb,5720,entomb,Intum,1,0,1,0,1
envenom,5739,envenom,InvEnM,1,1,0,0,1
envoy,5745,envoy,EnvO,1,1,0,0,1
envy,5746,envy,Envi,2,1,1,0,2
epee,5751,epee,Epe,3,2,1,3,0
epergne,5752,epergne,IpRn,2,2,0,2,0
epic,5755,epic,EpIk,2,1,1,1,1
epoch,5779,epoch,Epxk,1,1,0,0,1
equate,5790,equate,Ikwet,2,0,2,1,1
equator,5792,equator,IkwetX,1,0,1,0,1
equip,5801,equip,xkwIp,2,1,1,1,1
era,5810,era,Irx,4,2,2,2,2
erase,5812,erase,Ires,5,4,1,5,0
ermine,5816,ermine,Rmxn,4,1,3,4,0
erode,5817,erode,Irod,2,0,2,2,0
errand,5819,errand,Erxnd,2,1,1,1,1
errant,5820,errant,Erxnt,2,2,0,1,1
error,5825,error,ErX,5,3,2,2,3
erst,5827,erst,Rst,7,2,5,7,0
esprit,5855,esprit,Ispri,2,1,1,2,0
espy,5856,espy,IspY,1,0,1,1,0
esquire,5857,esquire,EskwYr,1,0,1,1,0
essay,5858,essay,Ese,4,2,2,3,1
estate,5862,estate,Istet,2,0,2,2,0
ester,5863,ester,EstX,8,5,3,8,0
estrange,5868,estrange,IstrenJ,1,0,1,1,0
etch,5871,etch,EC,15,11,4,7,8
eternal,5872,eternal,ItRnL,2,1,1,2,0
ether,5874,ether,iTX,3,3,0,3,0
ethyl,5882,ethyl,ETL,1,0,1,1,0
etiquette,5885,etiquette,EtIk|t,1,0,1,1,0
euchre,5891,euchre,yukX,2,1,1,1,1
eve,5918,eve,iv,15,6,9,7,8
event,5923,event,xvEnt,5,4,1,4,1
ever,5926,ever,EvX,6,2,4,6,0
every,5930,every,Evri,2,1,1,2,0
evil,5936,evil,ivL,6,4,2,4,2
ewe,5944,ewe,yu,30,20,10,24,6
ewer,5945,ewer,yuX,6,4,2,1,5
exceed,5959,exceed,Iksid,1,1,0,1,0
excite,5971,excite,IksYt,2,2,0,2,0
expect,6037,expect,IkspEkt,1,1,0,1,0
eyestrain,6138,eyestrain,Ystren,1,0,1,1,0
eyrie,6139,eyrie,Yri,13,9,4,11,2
eyrir,6140,eyrir,erIr,2,1,1,2,0
f,6141,f,Ef,15,11,4,7,8
fable,6143,fable,febL,11,10,1,9,2
face,6149,face,fes,21,18,3,12,9
facet,6151,facet,f@s|t,4,3,1,3,1
facial,6153,facial,feSL,3,3,0,1,2
facile,6154,facile,f@sL,8,8,0,6,2
fact,6158,fact,f@kt,6,3,3,3,3
factor,6161,factor,f@ktX,2,0,2,1,1
fad,6165,fad,f@d,19,18,1,15,4
fade,6166,fade,fed,22,19,3,12,10
faery,6167,faery,fEri,14,11,3,10,4
fag,6168,fag,f@g,18,17,1,14,4
faggot,6169,faggot,f@g|t,2,2,0,2,0
fail,6172,fail,fel,37,33,4,28,9
faille,6173,faille,fYl,27,25,2,21,6
fain,6175,fain,fen,31,29,2,21,10
faint,6176,faint,fent,7,5,2,5,2
fair,6177,fair,fEr,28,22,6,20,8
fairy,6178,fairy,f@ri,14,11,3,11,3
faith,6179,faith,feT,11,10,1,2,9
fake,6180,fake,fek,22,19,3,13,9
fall,6184,fall,fcl,26,23,3,21,5
fallout,6189,fallout,fclWt,2,0,2,1,1
fallow,6190,fallow,f@lo,12,10,2,11,1
false,6191,FALSE,fcls,4,3,1,2,2
falter,6198,falter,fcltX,7,5,2,6,1
fame,6199,fame,fem,24,19,5,14,10
famed,6200,famed,femd,2,0,2,0,2
famine,6206,famine,f@mxn,3,3,0,3,0
fan,6209,fan,f@n,21,20,1,17,4
fancier,6211,fancier,f@nsiX,1,0,1,0,1
fancy,6212,fancy,f@nsi,2,1,1,1,1
fang,6215,fang,f@G,11,11,0,7,4
far,6220,far,far,18,14,4,14,4
farce,6222,farce,fars,6,5,1,3,3
farm,6226,farm,farm,6,4,2,4,2
farrier,6231,farrier,f@riX,4,3,1,3,1
farrow,6232,farrow,f@ro,10,8,2,8,2
farther,6235,farther,farDX,1,0,1,1,0
fast,6246,fast,f@st,15,13,2,10,5
fasten,6247,fasten,f@sN,4,3,1,0,4
fastener,6248,fastener,f@sNX,1,0,1,0,1
fat,6252,fat,f@t,28,22,6,20,8
fatal,6253,fatal,fetL,7,5,2,3,4
fate,6257,fate,fet,29,24,5,18,11
fateful,6259,fateful,fetfL,1,0,1,0,1
father,6260,father,faDX,6,5,1,5,1
fatten,6263,fatten,f@tN,8,6,2,5,3
fatty,6264,fatty,f@ti,7,6,1,4,3
faucet,6268,faucet,fcs|t,1,1,0,1,0
fault,6269,fault,fclt,10,6,4,5,5
faun,6270,faun,fcn,18,16,2,14,4
fauna,6271,fauna,fcnx,1,0,1,0,1
favor,6272,favor,fevX,4,3,1,4,0
fay,6274,fay,fe,30,19,11,15,15
faze,6275,faze,fez,23,21,2,14,9
fear,6277,fear,fIr,31,27,4,23,8
feast,6281,feast,fist,10,8,2,8,2
feat,6282,feat,fit,24,19,5,17,7
feather,6283,feather,fEDX,8,8,0,7,1
feature,6284,feature,fiCX,2,2,0,0,2
feaze,6285,feaze,fiz,18,15,3,13,5
febrile,6286,febrile,fEbrL,1,0,1,1,0
fed,6294,fed,fEd,20,18,2,14,6
fee,6300,fee,fi,31,21,10,19,12
feeble,6301,feeble,fibL,2,2,0,2,0
feed,6303,feed,fid,19,16,3,12,7
feel,6305,feel,fil,30,27,3,24,6
fell,6309,fell,fEl,30,25,5,21,9
fellah,6310,fellah,fElx,4,3,1,0,4
felloe,6312,felloe,fElo,14,12,2,9,5
felly,6315,felly,fEli,12,10,2,7,5
felt,6319,felt,fElt,13,12,1,9,4
femur,6325,femur,fimX,3,3,0,1,2
fen,6326,fen,fEn,29,25,4,21,8
fence,6327,fence,fEns,10,8,2,7,3
fend,6328,fend,fEnd,20,15,5,16,4
fennel,6331,fennel,fEnL,8,7,1,3,5
fern,6335,fern,fRn,21,19,2,14,7
ferrule,6340,ferrule,fErL,8,6,2,3,5
fertile,6341,fertile,fRtL,6,6,0,6,0
festal,6346,festal,fEstL,4,3,1,3,1
fester,6347,fester,fEstX,6,4,2,5,1
fetch,6351,fetch,fEC,9,8,1,4,5
fetich,6352,fetich,fEtIS,1,1,0,1,0
fetter,6355,fetter,fEtX,6,5,1,4,2
fettle,6356,fettle,fEtL,11,10,1,8,3
feud,6358,feud,fyud,7,4,3,1,6
feudal,6359,feudal,fyudL,2,1,1,0,2
fever,6362,fever,fivX,4,4,0,2,2
few,6363,few,fyu,12,6,6,7,5
fez,6364,fez,fEz,10,10,0,5,5
fiat,6367,fiat,fiat,2,1,1,0,2
fib,6368,fib,fIb,12,12,0,5,7
fichu,6372,fichu,fISu,4,2,2,2,2
fickle,6373,fickle,fIkL,8,7,1,4,4
fiddle,6376,fiddle,fIdL,6,6,0,4,2
fidget,6379,fidget,fIJ|t,2,2,0,2,0
fie,6381,fie,fY,29,20,9,17,12
fief,6382,fief,fif,12,11,1,7,5
field,6383,field,fild,9,6,3,6,3
fiend,6385,fiend,find,7,6,1,5,2
fierce,6386,fierce,fIrs,6,5,1,3,3
fiery,6387,fiery,fYri,6,3,3,5,1
fife,6389,fife,fYf,11,10,1,5,6
fifth,6391,fifth,fIfT,1,1,0,0,1
fig,6393,fig,fIg,16,16,0,9,7
fight,6394,fight,fYt,24,21,3,18,6
filch,6402,filch,fIlC,8,7,1,0,8
filet,6403,filet,fIle,8,6,2,1,7
filial,6404,filial,fIliL,1,0,1,0,1
filing,6407,filing,fYlIG,3,2,1,3,0
fill,6409,fill,fIl,40,31,9,26,14
filler,6410,filler,fIlX,11,9,2,2,9
filling,6411,filling,fIlIG,6,5,1,6,0
filly,6413,filly,fIli,18,15,3,8,10
film,6414,film,fIlm,7,6,1,0,7
fils,6415,fils,fIls,10,9,1,1,9
filter,6416,filter,fIltX,3,2,1,2,1
filth,6417,filth,fIlT,9,8,1,1,8
fin,6420,fin,fIn,30,26,4,20,10
final,6422,final,fYnL,6,4,2,3,3
finally,6426,finally,fYnLi,2,1,1,0,2
finch,6430,finch,fInC,10,7,3,6,4
find,6431,find,fYnd,12,11,1,10,2
fine,6433,fine,fYn,28,25,3,20,8
finery,6434,finery,fYnXi,1,1,0,0,1
finger,6436,finger,fIGgX,1,1,0,1,0
finis,6441,finis,fIni,8,7,1,5,3
finny,6444,finny,fIni,8,7,1,5,3
fir,6445,fir,fR,18,11,7,7,11
fire,6446,fire,fYr,22,18,4,15,7
firm,6449,firm,fRm,13,11,2,6,7
first,6451,first,fRst,9,8,1,9,0
firth,6454,firth,fRT,14,12,2,7,7
fiscal,6455,fiscal,fIskL,1,0,1,0,1
fish,6456,fish,fIS,13,9,4,4,9
fissure,6461,fissure,fISX,3,2,1,0,3
fist,6462,fist,fIst,11,9,2,9,2
fit,6465,fit,fIt,28,25,3,20,8
five,6466,five,fYv,12,11,1,6,6
fix,6467,fix,fIks,10,8,2,6,4
fixed,6470,fixed,fIkst,3,1,2,1,2
fizz,6475,fizz,fIz,16,13,3,8,8
fizzle,6476,fizzle,fIzL,6,4,2,3,3
fjord,6477,fjord,fiord,1,0,1,1,0
flag,6482,flag,fl@g,8,6,2,3,5
flail,6490,flail,flel,5,3,2,2,3
flair,6491,flair,flEr,10,8,2,4,6
flak,6492,flak,fl@k,17,13,4,5,12
flake,6493,flake,flek,11,8,3,3,8
flame,6496,flame,flem,11,7,4,6,5
flank,6502,flank,fl@Gk,8,6,2,6,2
flap,6505,flap,fl@p,10,9,1,4,6
flash,6507,flash,fl@S,10,9,1,4,6
flask,6508,flask,fl@sk,2,1,1,0,2
flat,6509,flat,fl@t,15,13,2,3,12
flatten,6511,flatten,fl@tN,4,1,3,3,1
flaunt,6514,flaunt,flcnt,1,1,0,1,0
flavor,6516,flavor,flevX,2,1,1,2,0
flaw,6518,flaw,flc,9,7,2,3,6
flax,6519,flax,fl@ks,5,3,2,4,1
flay,6520,flay,fle,16,10,6,7,9
flea,6521,flea,fli,22,12,10,13,9
fleck,6522,fleck,flEk,11,9,2,1,10
fled,6523,fled,flEd,10,8,2,5,5
fleece,6525,fleece,flis,4,2,2,1,3
fleer,6526,fleer,flIr,11,9,2,4,7
fleet,6527,fleet,flit,16,13,3,7,9
flesh,6529,flesh,flES,7,7,0,1,6
flew,6530,flew,flu,14,10,4,6,8
flex,6531,flex,flEks,4,3,1,3,1
flick,6536,flick,flIk,14,12,2,3,11
flicker,6537,flicker,flIkX,5,3,2,2,3
flier,6538,flier,flYX,6,4,2,2,4
flight,6539,flight,flYt,16,13,3,7,9
flinch,6542,flinch,flInC,5,2,3,3,2
fling,6543,fling,flIG,12,9,3,6,6
flint,6544,flint,flInt,5,3,2,3,2
flip,6546,flip,flIp,11,9,2,3,8
flipper,6548,flipper,flIpX,4,3,1,1,3
flirt,6549,flirt,flRt,10,10,0,2,8
flit,6551,flit,flIt,17,14,3,4,13
flitch,6552,flitch,flIC,6,5,1,0,6
flivver,6553,flivver,flIvX,5,4,1,3,2
float,6554,float,flot,13,11,2,3,10
flock,6555,flock,flak,12,10,2,4,8
floe,6556,floe,flo,20,11,9,12,8
flog,6557,flog,flag,4,4,0,1,3
flood,6558,flood,fl^d,5,5,0,1,4
floor,6559,floor,floX,6,4,2,1,5
flop,6562,flop,flap,9,7,2,5,4
floss,6568,floss,flcs,4,2,2,2,2
flounder,6572,flounder,flWndX,1,0,1,1,0
flour,6573,flour,flWr,5,4,1,1,4
flout,6575,flout,flWt,12,10,2,3,9
flower,6576,flower,flWX,5,5,0,1,4
flown,6577,flown,flon,7,4,3,4,3
fluff,6581,fluff,fl^f,5,4,1,2,3
fluke,6584,fluke,fluk,8,7,1,0,8
flume,6585,flume,flum,11,9,2,6,5
flung,6586,flung,fl^G,8,6,2,3,5
flunk,6587,flunk,fl^Gk,6,3,3,4,2
flunkey,6588,flunkey,fl^Gki,1,0,1,0,1
flurry,6594,flurry,flRi,3,1,2,1,2
flush,6595,flush,fl^S,9,8,1,4,5
fluster,6596,fluster,fl^stX,4,2,2,3,1
flute,6597,flute,flut,12,10,2,2,10
flutter,6599,flutter,fl^tX,3,1,2,2,1
flux,6600,flux,fl^ks,3,3,0,3,0
fly,6601,fly,flY,13,9,4,5,8
foal,6605,foal,fol,30,28,2,24,6
foam,6606,foam,fom,16,13,3,10,6
fob,6607,fob,fab,13,13,0,11,2
fodder,6610,fodder,fadX,3,3,0,2,1
foe,6611,foe,fo,26,17,9,15,11
fog,6612,fog,fcg,10,9,1,7,3
fogey,6613,fogey,fogi,3,3,0,2,1
foible,6614,foible,fObL,2,2,0,2,0
foist,6615,foist,fOst,8,8,0,8,0
fold,6616,fold,fold,12,10,2,10,2
folio,6619,folio,folio,2,1,1,2,0
folk,6620,folk,fok,16,13,3,10,6
folksy,6621,folksy,foksi,2,2,0,1,1
follow,6624,follow,falo,7,6,1,6,1
folly,6625,folly,fali,11,10,1,10,1
fond,6628,fond,fand,12,9,3,9,3
fondle,6630,fondle,fandL,2,1,1,0,2
fondu,6631,fondu,fandu,2,1,1,0,2
font,6632,font,fant,3,3,0,2,1
food,6633,food,fud,11,10,1,10,1
fool,6635,fool,ful,18,17,1,17,1
foot,6639,foot,fUt,10,9,1,9,1
fop,6643,fop,fap,12,11,1,10,2
for,6644,for,for,33,23,10,20,13
foray,6646,foray,fcre,1,0,1,1,0
force,6650,force,fors,16,14,2,7,9
ford,6653,ford,ford,19,16,3,10,9
forecastle,6657,forecastle,foksL,1,1,0,0,1
foresee,6671,foresee,forsi,4,3,1,2,2
forge,6690,forge,forJ,9,8,1,1,8
fork,6695,fork,fork,13,10,3,3,10
forked,6696,forked,forkt,2,0,2,0,2
form,6699,form,form,15,11,4,4,11
formal,6700,formal,formL,3,2,1,1,2
former,6708,former,formX,2,1,1,0,2
fort,6718,fort,fort,16,13,3,6,10
forth,6719,forth,forT,9,8,1,1,8
forty,6731,forty,forti,4,2,2,1,3
forum,6732,forum,forM,8,7,1,0,8
fossil,6734,fossil,fasL,4,4,0,4,0
foster,6735,foster,fcstX,2,2,0,2,0
fought,6736,fought,fct,20,17,3,16,4
foul,6737,foul,fWl,17,14,3,16,1
foully,6739,foully,fWli,6,4,2,5,1
found,6741,found,fWnd,14,13,1,12,2
founder,6743,founder,fWndX,2,0,2,1,1
fount,6746,fount,fWnt,6,5,1,4,2
fountain,6747,fountain,fWntN,2,1,1,1,1
fourteen,6748,fourteen,fortin,1,0,1,0,1
fox,6749,fox,faks,8,5,3,6,2
foxed,6750,foxed,fakst,2,1,1,1,1
foyer,6751,foyer,fOX,1,1,0,1,0
fragile,6755,fragile,fr@JL,1,1,0,0,1
frail,6759,frail,frel,11,8,3,6,5
frame,6761,frame,frem,7,5,2,2,5
franc,6762,franc,fr@Gk,6,5,1,6,0
frappe,6771,frappe,fr@p,3,2,1,3,0
fraud,6775,fraud,frcd,4,4,0,1,3
fraught,6777,fraught,frct,11,8,3,3,8
fray,6778,fray,fre,18,10,8,10,8
frazzle,6779,frazzle,fr@zL,2,2,0,1,1
freak,6780,freak,frik,7,5,2,4,3
free,6782,free,fri,17,11,6,11,6
freeze,6790,freeze,friz,7,5,2,2,5
freight,6791,freight,fret,17,14,3,9,8
french,6792,french,frEnC,4,3,1,3,1
fresh,6798,fresh,frES,4,3,1,3,1
fret,6799,fret,frEt,6,6,0,1,5
friar,6802,friar,frYX,7,6,1,5,2
friend,6807,friend,frEnd,5,3,2,4,1
fright,6809,fright,frYt,13,9,4,7,6
frill,6812,frill,frIl,9,7,2,7,2
frisk,6815,frisk,frIsk,2,1,1,2,0
fritter,6816,fritter,frItX,1,1,0,1,0
frizz,6820,frizz,frIz,6,4,2,1,5
frizzle,6821,frizzle,frIzL,4,2,2,3,1
fro,6822,fro,fro,17,12,5,12,5
frock,6823,frock,frak,4,3,1,3,1
frog,6824,frog,frcg,4,3,1,1,3
frolic,6825,frolic,fralIk,1,0,1,1,0
from,6826,from,fr^m,5,4,1,4,1
frond,6827,frond,frand,2,1,1,2,0
front,6828,front,fr^nt,5,2,3,4,1
frontal,6830,frontal,fr^ntL,1,0,1,0,1
frost,6833,frost,frcst,1,0,1,0,1
froth,6836,froth,frcT,6,5,1,3,3
frown,6839,frown,frWn,3,3,0,3,0
frowsy,6840,frowsy,frWzi,1,1,0,1,0
froze,6841,froze,froz,7,4,3,2,5
frozen,6842,frozen,frozN,1,0,1,0,1
fruit,6846,fruit,frut,7,6,1,3,4
fry,6850,fry,frY,13,9,4,7,6
fuddle,6852,fuddle,f^dL,6,6,0,5,1
fudge,6853,fudge,f^J,6,6,0,3,3
fuel,6855,fuel,fyul,9,6,3,4,5
fugue,6857,fugue,fyug,5,4,1,0,5
full,6860,full,fUl,15,14,1,13,2
fully,6861,fully,fUli,9,7,2,8,1
fumble,6865,fumble,f^mbL,6,5,1,6,0
fume,6866,fume,fyum,6,5,1,1,5
fun,6870,fun,f^n,25,22,3,19,6
fund,6873,fund,f^nd,8,7,1,5,3
funk,6883,funk,f^Gk,9,8,1,9,0
funnel,6884,funnel,f^nL,9,8,1,5,4
funny,6885,funny,f^ni,11,10,1,8,3
furl,6889,furl,fRl,24,21,3,16,8
furlough,6891,furlough,fRlo,6,3,3,4,2
furrier,6896,furrier,fRiX,3,2,1,1,2
furring,6897,furring,fRIG,1,1,0,1,0
furrow,6898,furrow,fRo,13,10,3,4,9
furry,6899,furry,fRi,16,12,4,7,9
further,6900,further,fRDX,3,3,0,2,1
furze,6904,furze,fRz,13,12,1,6,7
fuse,6905,fuse,fyuz,7,5,2,2,5
fuss,6910,fuss,f^s,9,8,1,6,3
fusty,6912,fusty,f^sti,2,2,0,2,0
futile,6913,futile,fyutL,2,1,1,1,1
fuzz,6918,fuzz,f^z,10,10,0,7,3
g,6919,g,Ji,24,21,3,18,6
gab,6920,gab,g@b,17,14,3,8,9
gabble,6922,gabble,g@bL,9,7,2,5,4
gabby,6923,gabby,g@bi,7,5,2,4,3
gable,6925,gable,gebL,9,8,1,9,0
gad,6926,gad,g@d,25,23,2,18,7
gadget,6929,gadget,g@J|t,1,1,0,1,0
gael,6933,Gael,gel,34,29,5,24,10
gaff,6935,gaff,g@f,14,12,2,6,8
gaffer,6936,gaffer,g@fX,5,4,1,2,3
gag,6937,gag,g@g,19,19,0,12,7
gage,6938,gage,geJ,15,13,2,7,8
gaily,6940,gaily,geli,8,6,2,5,3
gain,6941,gain,gen,25,23,2,17,8
gait,6943,gait,get,28,24,4,19,9
gaiter,6944,gaiter,getX,5,4,1,4,1
gala,6945,gala,gelx,3,2,1,0,3
gall,6949,gall,gcl,24,23,1,18,6
gallant,6950,gallant,g@l|nt,2,1,1,1,1
gallery,6954,gallery,g@lXi,3,2,1,2,1
galley,6955,galley,g@li,13,10,3,11,2
gallon,6960,gallon,g@l|n,2,1,1,1,1
gallows,6962,gallows,g@loz,1,0,1,1,0
gambit,6969,gambit,g@mbxt,1,0,1,0,1
gamble,6970,gamble,g@mbL,4,2,2,3,1
game,6971,game,gem,20,17,3,11,9
gamin,6975,gamin,g@mxn,5,5,0,3,2
gamine,6976,gamine,g@min,1,1,0,0,1
gammer,6977,gammer,g@mX,6,4,2,4,2
gamut,6978,gamut,g@mxt,3,2,1,1,2
gamy,6979,gamy,gemi,2,1,1,0,2
gander,6980,gander,g@ndX,3,3,0,3,0
gang,6981,gang,g@G,15,15,0,8,7
gannet,6990,gannet,g@n|t,2,1,1,2,0
gantry,6992,gantry,g@ntri,2,2,0,2,0
gaol,6993,gaol,Jel,22,19,3,18,4
gap,6994,gap,g@p,20,19,1,12,8
gape,6995,gape,gep,18,14,4,10,8
garb,6997,garb,garb,4,2,2,1,3
garble,6999,garble,garbL,4,2,2,2,2
garden,7000,garden,gardN,2,1,1,1,1
gargle,7002,gargle,gargL,2,1,1,1,1
garish,7004,garish,g@rIS,1,1,0,1,0
garner,7008,garner,garnX,1,1,0,0,1
garotte,7011,garotte,gxrat,2,1,1,2,0
garret,7012,garret,g@rxt,3,3,0,3,0
garter,7017,garter,gartX,5,5,0,4,1
gas,7018,gas,g@s,19,15,4,11,8
gash,7019,gash,g@S,19,18,1,12,7
gasp,7023,gasp,g@sp,6,2,4,4,2
gather,7030,gather,g@DX,4,4,0,2,2
gauche,7031,gauche,goS,7,6,1,2,5
gaud,7034,gaud,gcd,13,13,0,7,6
gaunt,7035,gaunt,gcnt,10,8,2,7,3
gauze,7036,gauze,gcz,11,11,0,5,6
gave,7037,gave,gev,18,16,2,10,8
gavel,7038,gavel,g@vL,4,3,1,3,1
gavotte,7039,gavotte,gxvat,1,1,0,1,0
gawk,7040,gawk,gck,14,12,2,7,7
gawky,7041,gawky,gcki,1,0,1,0,1
gay,7042,gay,ge,27,18,9,15,12
gaze,7043,gaze,gez,20,17,3,12,8
gear,7048,gear,gIr,21,20,1,18,3
geese,7049,geese,gis,8,7,1,8,0
geisha,7050,geisha,geSx,1,1,0,0,1
geld,7053,geld,gEld,5,5,0,5,0
gem,7055,gem,JEm,9,8,1,6,3
gender,7062,gender,JEndX,3,3,0,3,0
gene,7063,gene,Jin,17,14,3,13,4
general,7066,general,JEnXL,1,1,0,0,1
genic,7084,genic,JinIk,1,1,0,1,0
genie,7085,genie,Jini,7,6,1,5,2
genital,7086,genital,JEn|tL,2,0,2,0,2
gens,7091,gens,JEnz,3,3,0,2,1
gent,7092,gent,JEnt,17,14,3,12,5
gentian,7095,gentian,JEnC|n,3,3,0,3,0
gentle,7098,gentle,JEntL,7,5,2,4,3
genus,7105,genus,Jin|s,2,2,0,2,0
germ,7116,germ,JRm,7,7,0,6,1
german,7117,german,JRmxn,5,4,1,4,1
germane,7118,germane,JRmen,1,1,0,0,1
gerund,7127,gerund,JErxnd,1,0,1,1,0
gesture,7132,gesture,JEsCX,1,1,0,1,0
get,7134,get,gEt,21,19,2,18,3
geyser,7138,geyser,gYzX,5,4,1,4,1
ghat,7141,ghat,gct,23,21,2,16,7
ghetto,7143,ghetto,gEto,1,0,1,0,1
ghost,7144,ghost,gost,10,9,1,9,1
ghoul,7145,ghoul,gul,17,15,2,14,3
gi,7146,GI,JiY,2,1,1,0,2
gibber,7148,gibber,JIbX,4,3,1,2,2
gibbon,7150,gibbon,gIb|n,2,1,1,1,1
gibe,7151,gibe,JYb,4,4,0,3,1
gibson,7153,Gibson,gIbs|n,1,0,1,0,1
giddy,7154,giddy,gIdi,3,3,0,2,1
gift,7155,gift,gIft,5,5,0,4,1
gig,7156,gig,gIg,12,11,1,8,4
giggle,7158,giggle,gIgL,6,5,1,5,1
gild,7160,gild,gIld,6,4,2,3,3
gill,7161,gill,gIl,28,24,4,23,5
gilt,7162,gilt,gIlt,11,10,1,8,3
gin,7167,gin,JIn,20,19,1,15,5
ginger,7168,ginger,JInJX,1,0,1,1,0
giraffe,7170,giraffe,JX@f,1,1,0,1,0
gird,7171,gird,gRd,17,14,3,11,6
girder,7172,girder,gRdX,4,3,1,1,3
girdle,7173,girdle,gRdL,6,5,1,2,4
girl,7174,girl,gRl,16,15,1,13,3
