node,ortho,phono
1238,attack,xt@k
1239,attain,xten
1243,attaint,xtent
1244,attar,@tX
1245,attempt,xtEmpt
1246,attend,xtEnd
1248,attention,xtEnC|n
1251,attest,xtEst
1253,attic,@tIk
1254,attire,xtYr
1258,attract,xtr@kt
1265,attune,xtun
1285,auger,cgX
1286,aught,ct
1291,auk,ck
1292,auld,cld
1293,aura,crx
1294,aural,crL
1297,aureole,criol
1298,auricle,crIkL
1304,austere,cstIr
1312,author,cTX
1319,auto,cto
1337,autumn,ctM
1341,avail,xvel
1346,avast,xv@st
1348,avaunt,xvcnt
1350,avenge,xvEnJ
1352,aver,xvR
1355,averse,xvRs
1356,aversion,xvRZ|n
1357,avert,xvRt
1363,avid,@vxd
1370,avoid,xvOd
1372,avouch,xvWC
1373,avow,xvW
1375,await,xwet
1376,awake,xwek
1378,award,xword
1379,aware,xwEr
1380,awash,xwcS
1381,awe,c
1382,aweary,xwIri
1383,aweigh,xwe
1386,awful,cfL
1387,awhile,xhwYl
1388,awhirl,xhwRl
1390,awn,cn
1391,awning,cnIG
1392,AWOL,ewcl
1393,awry,xrY
1394,axe,@ks
1395,axial,@ksiL
1399,axle,@ksL
1400,ay,Y
1401,ayah,Yx
1405,azure,@ZX
1406,b,bi
1407,babble,b@bL
1408,babe,beb
1409,Babel,bebL
1412,baby,bebi
1418,back,b@k
1428,bad,b@d
1429,badge,b@J
1430,badger,b@JX
1433,baffle,b@fL
1434,bag,b@g
1437,bagel,begL
1439,baggy,b@gi
1442,baht,bat
1443,bail,bel
1447,bairn,bErn
1448,bait,bet
1449,baize,bez
1450,bake,bek
1457,bald,bcld
1462,baleen,bxlin
1464,balk,bck
1465,ball,bcl
1466,ballad,b@lxd
1467,ballast,b@l|st
1470,ballet,b@le
1472,balloon,bxlun
1473,ballot,b@l|t
1476,balm,bam
1482,ban,b@n
1486,band,b@nd
1497,bandy,b@ndi
1498,bane,ben
1499,bang,b@G
1500,bangle,b@GgL
1501,bani,bani
1505,bank,b@Gk
1508,banner,b@nX
1510,banns,b@nz
1513,banshee,b@nSi
1515,banter,b@ntX
1517,Bantu,b@ntu
1524,bar,bar
1525,barb,barb
1532,barbed,barbd
1534,barber,barbX
1539,bard,bard
1540,bare,bEr
1542,barge,barJ
1545,bark,bark
1547,barker,barkX
1548,barley,barli
1549,barn,barn
1558,baroque,bXok
1564,barrel,b@rL
1567,barrier,b@riX
1570,barrow,b@ro
1572,barter,bartX
1573,basal,besL
1574,basalt,bxsclt
1576,base,bes
1578,bash,b@S
1579,bashful,b@SfL
1581,basil,b@zL
1584,basin,besN
1586,bask,b@sk
1588,bass,b@s
1590,basso,b@so
1593,bast,b@st
1595,baste,best
1598,bat,b@t
1599,batch,b@C
1600,bath,b@T
1601,bathe,beD
1605,baths,b@Dz
1607,batman,b@tmxn
1610,batsman,b@tsmxn
1612,batteau,b@to
1613,batten,b@tN
1614,batter,b@tX
1615,battery,b@tXi
1616,batting,b@tIG
1617,battle,b@tL
1618,bauble,bcbL
1620,bawdy,bcdi
1621,bay,be
1624,bayou,bYu
1627,beach,biC
1630,bead,bid
1631,beadle,bidL
1632,beagle,bigL
1633,beak,bik
1634,beaked,bikt
1635,beaker,bikX
1636,beam,bim
1637,bean,bin
1638,beanie,bini
1639,beard,bIrd
1640,bearing,b@rIG
1642,beast,bist
1643,beat,bit
1644,beaten,bitN
1648,beau,bo
1654,beauty,byuti
1655,beaux,boz
1656,beaver,bivX
1659,beck,bEk
1662,become,bxk^m
1664,bed,bEd
1668,bedew,bidu
1676,beef,bif
1678,been,bIn
1679,beer,bIr
1681,beetle,bitL
1682,beeves,bivz
1683,befall,bxfcl
1685,befog,bxfcg
1687,befoul,bxfWl
1690,beg,bEg
1692,beggar,bEgX
1705,beige,beZ
1706,being,biIG
1708,belch,bElC
1714,belief,bxlif
1715,believe,bxliv
1717,bell,bEl
1724,bellow,bElo
1726,belly,bEli
1727,belong,bxlcG
1728,belt,bElt
1732,bench,bEnC
1733,bend,bEnd
1746,bent,bEnt
1753,Berber,bRbX
1755,beret,bXe
1756,berg,bRg
1759,berry,bEri
1761,berth,bRT
1762,beryl,bErL
1770,best,bEst
1774,bet,bEt
1776,bethel,bETL
1778,better,bEtX
1781,bevel,bEvL
1783,bevy,bEvi
1785,beyond,biand
1786,bezel,bEzL
1789,bias,bYxs
1790,bib,bIb
1792,bible,bYbL
1800,bicker,bIkX
1802,bicycle,bYsIkL
1803,bid,bId
1804,bidden,bIdN
1805,bide,bYd
1810,big,bIg
1813,bight,bYt
1814,bigot,bIg|t
1816,bike,bYk
1819,bile,bYl
1820,bilge,bIlJ
1823,bilk,bIlk
1824,bill,bIl
1825,billet,bIl|t
1831,billow,bIlo
1832,billy,bIli
1836,bind,bYnd
1837,binge,bInJ
1854,birch,bRC
1855,bird,bRd
1856,birdie,bRdi
1863,bison,bYsN
1864,bisque,bIsk
1866,bit,bIt
1867,bitch,bIC
1868,biting,bYtIG
1869,bitten,bItN
1870,bitter,bItX
1871,bittern,bItXn
1872,bitters,bItXz
1877,blab,bl@b
1878,black,bl@k
1885,bladder,bl@dX
1886,blade,bled
1887,blain,blen
1888,blame,blem
1889,blanch,bl@nC
1891,bland,bl@nd
1893,blank,bl@Gk
1895,blare,blEr
1900,blast,bl@st
1902,blather,bl@DX
1903,blaze,blez
1904,blazer,blezX
1905,blazon,blezN
1906,bleach,bliC
1908,bleak,blik
1909,blear,blIr
1910,bleary,blIri
1911,bleat,blit
1912,bled,blEd
1913,bleed,blid
1915,blench,blEnC
1916,blend,blEnd
1917,bless,blEs
1918,blessed,blEst
1919,blew,blu
1920,blight,blYt
1921,blimp,blImp
1922,blind,blYnd
1924,blink,blIGk
1925,blinker,blIGkX
1926,blintz,blInts
1927,blintze,blIntsx
1928,bliss,blIs
1929,blister,blIstX
1930,blithe,blYT
1931,blitz,blIts
1934,bloat,blot
1935,bloater,blotX
1936,blob,blab
1937,bloc,blak
1941,blonde,bland
1942,blood,bl^d
1945,bloom,blum
1949,blot,blat
1950,blotch,blaC
1951,blotter,blatX
1952,blouse,blWs
1953,blow,blo
1955,blown,blon
1956,blowsy,blWzi
1958,blowy,bloi
1959,blubber,bl^bX
1966,blues,bluz
1969,bluff,bl^f
1971,blunder,bl^ndX
1972,blunt,bl^nt
1973,blur,blR
1974,blurb,blRb
1975,blurt,blRt
1976,blush,bl^S
1977,bluster,bl^stX
1978,boa,box
1979,boar,bor
1980,board,bord
1981,boast,bost
1982,boat,bot
1984,boatman,botmxn
1985,boatswain,bosN
1986,bob,bab
1987,bobbin,bab|n
1988,bobble,babL
1989,bobby,babi
1994,boccie,baCi
1995,bock,bak
1996,bode,bod
2001,body,badi
2002,bog,bcg
2004,bogie,bUgi
2005,bogus,bog|s
2007,boil,bOl
2009,bold,bold
2010,bole,bol
2015,bolo,bolo
2019,bolster,bolstX
2020,bolt,bolt
2027,bomber,bamX
2032,bond,band
2038,bone,bon
2039,boner,bonX
2044,bonnet,ban|t
2045,bonnie,bani
2047,bonus,bon|s
2048,boo,bu
2049,booby,bubi
2050,boodle,budL
2051,book,bUk
2052,booklet,bUkl|t
2053,boom,bum
2056,boon,bun
2058,boost,bust
2059,boot,but
2060,booth,buT
2061,booths,buDz
2062,bootie,buti
2065,booty,buti
2066,booze,buz
2068,border,bordX
2069,boreal,boriL
2071,born,born
2072,boron,boran
2073,borough,bRo
2074,borrow,baro
2076,bosh,baS
2079,boss,bcs
2083,botch,baC
2084,both,boT
2085,bother,baDX
2086,bottle,batL
2087,bottom,batM
2090,bough,bW
2091,bought,bct
2092,boulder,boldX
2094,bounce,bWns
2095,bound,bWnd
2100,bounty,bWnti
2101,bouquet,boke
2102,bourbon,bRb|n
2106,bout,bWt
2107,boutique,butik
2111,bowel,bWL
2112,bower,bWX
2114,bowler,bolX
2115,bowman,bomxn
2118,box,baks
2119,boy,bO
2121,bra,bra
2122,brace,bres
2124,bracket,br@k|t
2126,bract,br@kt
2127,brad,br@d
2128,brae,bre
2129,brag,br@g
2133,braid,bred
2134,braille,brel
2135,brain,bren
2136,braise,brez
2137,brake,brek
2138,bramble,br@mbL
2139,bran,br@n
2140,branch,br@nC
2141,brand,br@nd
2143,brandy,br@ndi
2144,brash,br@S
2145,brass,br@s
2147,brat,br@t
2149,brave,brev
2153,brawl,brcl
2154,brawn,brcn
2155,brazen,brezN
2158,breach,briC
2159,bread,brEd
2160,breadth,brEdT
2167,bream,brIm
2168,breast,brEst
2171,breath,brET
2172,breathe,briD
2174,breed,brid
2175,breeze,briz
2181,brew,bru
2182,briar,brYX
2183,bribe,brYb
2184,brick,brIk
2185,bridal,brYdL
2186,bride,brYd
2188,bridge,brIJ
2189,brief,brif
2190,brig,brIg
2194,bright,brYt
2195,brighten,brYtN
2200,brine,brYn
2201,bring,brIG
2202,brink,brIGk
2203,brio,brio
2204,brioche,brioS
2206,brisk,brIsk
2208,bristle,brIsL
2212,Briton,brItN
2213,brittle,brItL
2214,broach,broC
2215,broad,brcd
2216,broaden,brcdN
2223,brogue,brog
2225,broil,brOl
2226,broke,brok
2229,broker,brokX
2237,brood,brud
2238,brook,brUk
2239,broom,brum
2240,broth,brcT
2243,brougham,brom
2244,brought,brct
2246,brow,brW
2247,brown,brWn
2248,brownie,brWni
2250,browse,brWz
2252,bruise,bruz
2253,bruit,brut
2254,brunch,br^nC
2256,brunt,br^nt
2257,brush,br^S
2258,brusque,br^sk
2259,brutal,brutL
2261,brutally,brutLi
2262,bubble,b^bL
2265,buck,b^k
2267,buckle,b^kL
2268,buckler,b^klX
2272,bud,b^d
2275,buddy,b^di
2276,budge,b^J
2279,buff,b^f
2281,buffer,b^fX
2284,bug,b^g
2287,buggy,b^gi
2289,build,bIld
2290,built,bIlt
2291,bulb,b^lb
2295,bulge,b^lJ
2296,bulk,b^lk
2298,bull,bUl
2299,bullet,bUl|t
2300,bulletin,bUl|tN
2304,bully,bUli
2307,bum,b^m
2309,bump,b^mp
2312,bun,b^n
2313,bunch,b^nC
2316,bung,b^G
2319,bungle,bEGgL
2321,bunk,b^Gk
2322,bunker,b^GkX
2323,bunko,b^Gko
2324,bunt,b^nt
2326,buoy,bui
2328,bur,bR
2329,burden,bRdN
2335,burgee,bRJi
2336,burgeon,bRJ|n
2337,burgess,bRJ|s
2338,burgher,bRgX
2344,burial,bEriL
2347,burly,bRli
2349,burn,bRn
2350,burned,bRnd
2353,burnt,bRnt
2354,burp,bRp
2355,bursa,bRsx
2356,bursar,bRsX
2358,burst,bRst
2359,bus,b^s
2362,bush,bUS
2363,bushel,bUSL
2369,bust,b^st
2370,bustle,b^sL
2371,busy,bIzi
2373,but,b^t
2375,butler,b^tlX
2376,butte,byut
2377,butter,b^tX
2382,button,b^tN
2385,buy,bY
2386,buzz,b^z
2388,byelaw,bYlc
2391,c,si
2392,cab,k@b
2397,cabbie,k@bi
2398,cabin,k@b|n
2400,cable,kebL
2406,cache,k@S
2407,cachet,k@Se
2408,cackle,k@kL
2411,cad,k@d
2414,caddy,k@di
2418,cadge,k@J
2420,cadre,k@dri
2422,Caesar,sizX
2424,cafe,k@fe
2428,cage,keJ
2430,cairn,kErn
2435,cake,kek
2453,calf,k@f
2462,calk,kck
2463,call,kcl
2464,calla,k@lx
2466,calling,kclIG
2470,callous,k@lxs
2471,callow,k@lo
2472,callus,k@lxs
2473,calm,kam
2474,calomel,k@lxmL
2476,calorie,k@lXi
2483,calve,k@v
2484,calves,k@vz
2489,cam,k@m
2491,camber,k@mbX
2494,came,kem
2495,camel,k@mL
2502,camp,k@mp
2505,camphor,k@mfX
2510,can,k@n
2520,cancel,k@nsL
2522,cancer,k@nsX
2526,candid,k@nd|d
2529,candied,k@ndid
2530,candle,k@ndL
2532,candor,k@ndX
2533,candy,k@ndi
2534,cane,ken
2537,canker,k@GkX
2538,canned,k@nd
2539,canner,k@nX
2540,cannery,k@nXi
2544,cannon,k@n|n
2548,cannot,k@nat
2549,canny,k@ni
2550,canoe,kxnu
2554,cant,k@nt
2560,canter,k@ntX
2563,cantle,k@ntL
2564,canto,k@nto
2565,canton,k@ntN
2566,cantonal,k@ntNL
2571,cap,k@p
2579,cape,kep
2580,caper,kepX
2601,capsular,k@psLX
2602,capsule,k@psL
2611,captor,k@ptX
2612,capture,k@pCX
2614,car,kar
2618,carafe,kX@f
2619,caramel,k@rxmL
2621,carat,k@rxt
2638,card,kard
2641,cardinal,kardnL
2643,care,kEr
2644,careen,kXin
2645,career,kXIr
2647,caress,kXEs
2653,caries,k@riz
2658,carmine,karmxn
2659,carnage,karnIJ
2660,carnal,karnL
2662,carnally,karnLi
2670,carol,k@rL
2671,carom,k@rM
2676,carp,karp
2677,carpel,karpL
2683,carrier,k@riX
2684,carrion,k@rixn
2685,carry,k@ri
2686,cart,kart
2687,cartage,kartIJ
2689,cartilage,kartLIJ
2692,carton,kartN
2694,cartridge,kartrIJ
2696,carve,karv
2701,case,kes
2704,cashew,k@Su
2709,cask,k@sk
2714,cassia,k@Sx
2715,cassock,k@sxk
2716,cast,k@st
2723,castle,k@sL
