"","x"
"1945",11
"1948",37
"1949",33
"1951",2
"1954",4
"1955",34
"1956",1
"1957",2
"1958",19
"1959",7
"1960",28
"1961",11
"1962",3
"1963",33
"1964",20
"1965",7
"1966",11
"1967",30
"1969",15
"1971",33
"1972",1
"1973",1
"1975",4
"1976",15
"1977",1
"1978",4
"1979",28
"1981",6
"1982",37
"1983",5
"1984",17
"1985",12
"1986",3
"1988",19
"1989",1
"1993",3
"1994",4
"1999",18
"2001",1
"2005",27
"2010",4
"2011",10
"2023",16
"2029",33
"2030",22
"2032",17
"2037",27
"2038",24
"2039",10
"2040",27
"2041",15
"2042",36
"2043",37
"2044",5
"2045",4
"2047",19
"2055",17
"2056",2
"2057",2
"2059",8
"2060",4
"2061",4
"2062",3
"2063",2
"2066",3
"2070",13
"2073",4
"2090",10
"2091",7
"2092",2
"2098",3
"2099",1
"2101",4
"2102",4
"2105",2
"2107",25
"2110",20
"2118",14
"2119",2
"2120",5
"2121",20
"2122",13
"2123",3
"2124",2
"2127",2
"2128",1
"2129",10
"2130",16
"2131",2
"2132",4
"2133",4
"2136",5
"2139",18
"2140",11
"2141",10
"2156",18
"2162",5
"2163",14
"2165",12
"2166",24
"2167",1
"2170",1
"2174",25
"2179",1
"2185",20
"2186",7
"2187",11
"2190",2
"2202",2
"2203",5
"2204",4
"2205",1
"2206",4
"2207",4
"2218",23
"2219",5
"2220",13
"2223",21
"2225",8
"2226",1
"2229",2
"2232",17
"2233",7
"2234",10
"2235",9
"2239",9
"2241",36
"2244",19
"2248",13
"2253",10
"2254",28
"2257",27
"2259",6
"2260",7
"2261",6
"2265",16
"2289",16
"2290",26
"2291",7
"2292",4
"2293",16
"2294",19
"2297",5
"2300",4
"2308",1
"2309",7
"2310",32
"2311",35
"2312",26
"2313",9
"2314",18
"2315",5
"2316",11
"2324",7
"2328",2
"2335",3
"2336",13
"2337",4
"2338",7
"2339",3
"2341",4
"2342",2
"2343",10
"2345",8
"2346",6
"2347",1
"2352",4
"2353",3
"2356",5
"2357",2
"2358",2
"2359",2
"2361",1
"2362",11
"2363",2
"2364",1
"2365",5
"2367",9
"2368",2
"2369",13
"2370",11
"2371",4
"2372",8
"2374",4
"2375",3
"2376",5
"2377",4
"2378",5
"2379",2
"2380",1
"2381",11
"2382",8
"2383",2
"2385",6
"2386",1
"2387",3
"2390",3
"2391",4
"2392",3
"2394",1
"2395",5
"2396",3
"2400",5
"2401",1
"2402",1
"2403",2
"2404",1
"2405",6
"2406",6
"2409",6
"2412",9
"2413",2
"2414",2
"2415",1
"2416",5
"2417",11
"2424",6
"2431",3
"2432",11
"2433",3
"2434",3
"2435",5
"2438",1
"2439",6
"2440",17
"2441",16
"2442",8
"2447",10
"2449",12
"2452",11
"2458",10
"2459",3
"2460",1
"2462",4
"2463",2
"2465",12
"2466",3
"2467",9
"2468",4
"2469",3
"2470",8
"2471",3
"2473",3
"2475",7
"2476",20
"2477",3
"2478",3
"2482",13
"2484",2
"2485",8
"2486",28
"2487",3
"2490",1
"2491",16
"2492",4
"2493",2
"2497",26
"2498",30
"2500",3
"2502",6
"2507",15
"2508",11
"2509",2
"2510",2
"2512",7
"2514",18
"2515",13
"2516",7
"2517",4
"2518",14
"2520",24
"2526",2
"2527",11
"2528",2
"2529",11
"2533",9
"2534",8
"2535",4
"2536",5
"2537",1
"2538",11
"2544",18
"2545",2
"2547",4
"2548",6
"2550",31
"2552",9
"2553",14
"2555",11
"2559",8
"2560",3
"2561",4
"2563",17
"2567",8
"2569",9
"2570",3
"2571",7
"2574",1
"2578",11
"2585",16
"2586",6
"2588",4
"2589",5
"2591",16
"2592",11
"2593",3
"2594",6
"2595",9
"2596",3
"2597",1
"2599",26
"2600",11
"2601",4
"2605",16
"2606",6
"2607",24
"2608",7
"2610",6
"2611",4
"2612",2
"2616",4
"2617",35
"2618",20
"2619",1
"2620",8
"2621",13
"2622",13
"2623",4
"2624",12
"2625",11
"2626",6
"2627",5
"2628",1
"2629",2
"2631",13
"2632",2
"2633",2
"2637",10
"2638",12
"2639",5
"2640",2
"2642",5
"2643",5
"2644",3
"2645",6
"2646",1
"2647",2
"2649",2
"2651",15
"2652",24
"2655",9
"2658",6
"2659",3
"2660",3
"2663",4
"2664",16
"2670",2
"2672",3
"2673",2
"2676",22
"2677",2
"2678",1
"2679",15
"2682",15
"2683",30
"2685",13
"2686",12
"2687",11
"2688",33
"2689",24
"2690",13
"2691",9
"2692",24
"2693",5
"2694",17
"2696",2
"2697",2
"2698",2
"2701",12
"2708",13
"2709",4
"2710",16
"2713",3
"2714",5
"2715",1
"2716",1
"2718",2
"2720",20
"2721",2
"2722",10
"2723",12
"2724",6
"2725",19
"2727",5
"2728",13
"2731",5
"2732",12
"2733",5
"2734",1
"2735",2
"2736",10
"2737",6
"2738",1
"2739",1
"2740",1
"2741",9
"2745",3
"2746",2
"2747",3
"2748",9
"2749",7
"2750",2
"2751",9
"2754",9
"2755",2
"2756",3
"2757",2
"2759",3
"2763",9
"2764",14
"2766",3
"2769",10
"2770",4
"2772",12
"2779",4
"2781",5
"2786",8
"2791",2
"2793",5
"2795",6
"2796",4
"2797",4
"2798",2
"2800",1
"2802",14
"2803",20
"2804",6
"2805",3
"2806",4
"2807",12
"2808",18
"2809",1
"2810",1
"2812",14
"2813",1
"2815",7
"2816",2
"2817",2
"2818",1
"2819",4
"2820",12
"2823",4
"2826",15
"2829",6
"2831",6
"2833",2
"2834",10
"2836",3
"2837",4
"2838",2
"2839",4
"2840",7
"2843",13
"2845",2
"2847",1
"2848",1
"2853",10
"2855",3
"2858",1
"2859",6
"2862",6
"2865",10
"2867",2
"2871",10
"2881",2
"2890",2
"2891",2
"2892",6
"2895",2
"2897",1
"2904",4
"2905",1
"2906",2
"2907",6
"2908",8
"2910",3
"2914",9
"2915",7
"2917",10
"2918",9
"2919",4
"2920",7
"2922",9
"2923",9
"2924",3
"2925",1
"2926",12
"2927",1
"2929",4
"2930",6
"2931",3
"2932",3
"2936",2
"2942",11
"2944",8
"2945",4
"2946",6
"2948",20
"2949",2
"2950",1
"2952",3
"2961",5
"2962",6
"2963",9
"2964",10
"2970",11
"2972",7
"2973",2
"2974",2
"2976",23
"2977",10
"2979",4
"2980",5
"2981",10
"2982",13
"2984",19
"2985",5
"2986",2
"2987",3
"2988",7
"2990",16
"2991",2
"2993",5
"2995",2
"2996",8
"2999",3
"3000",4
"3001",16
"3005",3
"3007",3
"3012",4
"3013",1
"3015",1
"3018",13
"3019",9
"3023",6
"3024",10
"3025",8
"3026",5
"3027",4
"3029",9
"3030",5
"3031",10
"3032",8
"3033",3
"3039",12
"3040",4
"3041",2
"3042",3
"3045",10
"3047",15
"3048",5
"3049",2
"3050",1
"3052",3
"3053",3
"3054",2
"3055",3
"3062",14
"3064",7
"3065",3
"3066",2
"3067",1
"3069",3
"3070",10
"3071",12
"3074",7
"3075",26
"3076",15
"3077",10
"3078",5
"3079",7
"3081",2
"3082",18
"3084",11
"3085",10
"3086",12
"3087",10
"3088",2
"3089",9
"3090",25
"3091",6
"3093",16
"3095",4
"3096",24
"3097",19
"3098",17
"3099",5
"3100",6
"3111",2
"3112",5
"3113",17
"3115",3
"3116",9
"3117",1
"3118",31
"3119",1
"3120",1
"3121",19
"3122",31
"3123",5
"3124",18
"3134",2
"3136",6
"3137",2
"3139",2
"3142",19
"3144",26
"3145",17
"3146",8
"3147",13
"3148",2
"3149",29
"3150",21
"3151",3
"3152",4
"3153",2
"3154",4
"3155",26
"3158",1
"3161",18
"3169",7
"3170",5
"3172",5
"3173",11
"3174",1
"3178",28
"3181",6
"3184",2
"3185",1
"3188",3
"3192",12
"3195",19
"3196",13
"3210",13
"3217",27
"3220",15
"3221",10
"3222",6
"3223",4
"3224",18
"3225",5
"3226",2
"3227",2
"3228",1
"3230",5
"3231",3
"3233",1
"3234",15
"3235",8
"3236",24
"3238",1
"3239",19
"3240",4
"3242",2
"3247",10
"3256",1
"3257",7
"3259",2
"3261",9
"3262",28
"3267",8
"3268",3
"3271",3
"3272",6
"3273",5
"3275",3
"3277",3
"3281",6
"3284",4
"3287",4
"3288",6
"3289",29
"3290",16
"3293",16
"3295",2
"3300",1
"3307",15
"3315",27
"3321",18
"3322",9
"3323",2
"3324",3
"3325",13
"3339",15
"3340",2
"3341",2
"3351",4
"3352",3
"3353",5
"3354",2
"3355",4
"3357",25
"3363",9
"3368",1
"3369",4
"3370",1
"3373",20
"3378",8
"3379",30
"3380",13
"3381",3
"3382",2
"3391",23
"3392",1
"3393",2
"3400",10
"3402",3
"3403",4
"3404",1
"3405",1
"3416",5
"3417",1
"3418",9
"3419",6
"3420",4
"3421",11
"3422",6
"3423",2
"3424",22
"3427",3
"3429",16
"3431",17
"3432",17
"3436",10
"3440",4
"3441",3
"3442",3
"3444",3
"3445",2
"3448",10
"3451",8
"3452",3
"3453",3
"3459",22
"3461",6
"3465",19
"3468",6
"3471",7
"3475",2
"3476",18
"3478",18
"3482",3
"3484",9
"3486",7
"3492",28
"3506",18
"3507",2
"3508",3
"3509",3
"3519",6
"3520",1
"3521",1
"3530",12
"3532",6
"3536",2
"3538",4
"3539",29
"3542",2
"3544",16
"3545",5
"3551",3
"3553",1
"3554",2
"3555",1
"3558",19
"3559",7
"3563",9
"3566",1
"3567",23
"3568",9
"3569",2
"3570",10
"3571",37
"3572",17
"3573",5
"3581",4
"3584",25
"3585",15
"3587",4
"3589",22
"3596",10
"3597",7
"3598",7
"3600",5
"3601",3
"3604",23
"3606",13
"3607",7
"3610",9
"3620",13
"3623",11
"3624",1
"3625",2
"3635",4
"3648",4
"3652",4
"3654",19
"3655",13
"3656",29
"3657",10
"3660",19
"3662",27
"3664",19
"3676",3
"3677",7
"3684",5
"3685",5
"3686",3
"3687",3
"3690",2
"3692",5
"3694",3
"3695",1
"3696",1
"3697",3
"3698",5
"3699",3
"3700",8
"3701",3
"3702",5
"3703",3
"3705",4
"3706",3
"3711",12
"3712",13
"3713",4
"3714",2
"3725",2
"3727",7
"3728",3
"3729",4
"3731",1
"3739",7
"3740",2
"3741",3
"3742",12
"3743",12
"3744",8
"3745",1
"3747",8
"3748",17
"3749",12
"3750",5
"3751",6
"3752",4
"3754",2
"3755",12
"3757",14
"3758",2
"3759",6
"3760",9
"3761",5
"3762",2
"3763",1
"3766",16
"3767",1
"3768",9
"3772",22
"3773",1
"3774",10
"3775",7
"3776",12
"3777",17
"3779",10
"3780",4
"3781",3
"3785",1
"3788",15
"3790",23
"3793",10
"3794",2
"3795",16
"3796",24
"3797",12
"3798",1
"3801",9
"3805",13
"3806",18
"3810",7
"3811",1
"3818",4
"3819",2
"3823",8
"3824",18
"3825",1
"3826",11
"3828",20
"3829",4
"3831",7
"3833",4
"3834",20
"3835",8
"3836",4
"3837",2
"3838",21
"3839",22
"3840",3
"3844",1
"3845",12
"3848",4
"3849",11
"3851",4
"3854",5
"3855",6
"3865",8
"3867",8
"3868",25
"3869",13
"3870",3
"3871",3
"3872",8
"3873",17
"3874",8
"3875",7
"3877",5
"3882",22
"3883",1
"3888",15
"3889",1
"3890",3
"3893",11
"3895",19
"3897",11
"3898",11
"3899",12
"3901",3
"3904",19
"3907",6
"3908",9
"3909",1
"3913",19
"3915",17
"3920",3
"3921",2
"3922",3
"3925",15
"3926",5
"3927",4
"3928",3
"3929",1
"3931",3
"3932",2
"3933",3
"3934",17
"3936",13
"3937",9
"3938",6
"3939",5
"3940",12
"3941",7
"3942",2
"3943",26
"3944",14
"3945",25
"3948",15
"3949",10
"3950",1
"3952",18
"3954",7
"3955",3
"3956",2
"3966",9
"3970",2
"3976",1
"3977",16
"3978",2
"3979",2
"3980",10
"3981",13
"3982",11
"3983",4
"3984",4
"3985",4
"3992",6
"3993",14
"3996",10
"4002",8
"4004",2
"4008",4
"4009",3
"4011",8
"4012",3
"4013",4
"4014",2
"4015",5
"4017",3
"4033",6
"4038",36
"4039",3
"4040",18
"4041",4
"4042",11
"4050",8
"4054",3
"4064",11
"4065",10
"4067",5
"4068",3
"4069",5
"4070",5
"4072",13
"4074",3
"4076",1
"4077",3
"4078",7
"4080",12
"4081",2
"4082",2
"4083",6
"4084",6
"4086",11
"4088",5
"4095",11
"4096",4
"4097",1
"4098",9
"4099",7
"4100",1
"4113",4
"4114",7
"4119",6
"4120",1
"4121",7
"4122",7
"4123",12
"4124",5
"4125",4
"4126",1
"4127",3
"4133",10
"4136",3
"4137",3
"4138",2
"4142",5
"4144",9
"4146",8
"4147",3
"4148",4
"4150",2
"4151",2
"4157",6
"4158",5
"4160",2
"4165",17
"4166",7
"4167",7
"4168",9
"4172",5
"4174",3
"4182",7
"4183",5
"4184",4
"4185",2
"4186",1
"4187",7
"4188",4
"4189",3
"4190",13
"4191",4
"4192",4
"4198",11
"4201",8
"4202",11
"4204",8
"4209",14
"4210",9
"4211",4
"4212",8
"4216",3
"4218",1
"4219",15
"4220",7
"4221",4
"4222",14
"4223",2
"4230",1
"4237",3
"4239",10
"4240",3
"4242",1
"4248",2
"4250",9
"4252",4
"4253",2
"4254",5
"4255",6
"4257",5
"4258",7
"4259",3
"4260",4
"4261",5
"4262",2
"4266",2
"4267",12
"4268",6
"4269",5
"4270",7
"4271",14
"4273",9
"4274",4
"4275",2
"4277",8
"4278",4
"4279",5
"4280",4
"4281",2
"4282",4
"4283",2
"4284",2
"4285",3
"4286",3
"4287",11
"4288",3
"4289",2
"4290",5
"4294",30
"4306",21
"4307",16
"4310",17
"4311",1
"4312",4
"4314",6
"4316",9
"4317",27
"4318",2
"4319",7
"4320",14
"4325",17
"4332",26
"4333",15
"4336",1
"4337",2
"4339",2
"4343",12
"4347",22
"4348",2
"4349",30
"4350",1
"4351",10
"4353",6
"4359",3
"4360",3
"4361",1
"4362",5
"4364",3
"4365",1
"4367",6
"4374",6
"4384",17
"4385",12
"4387",11
"4388",13
"4397",6
"4398",8
"4400",6
"4401",24
"4402",6
"4405",6
"4419",13
"4421",4
"4422",10
"4423",1
"4427",3
"4437",2
"4438",1
"4439",3
"4440",2
"4446",16
"4452",2
"4454",1
"4455",3
"4456",3
"4467",11
"4468",5
"4471",10
"4473",3
"4476",1
"4477",4
"4478",20
"4481",5
"4491",22
"4497",8
"4498",4
"4499",1
"4500",1
"4508",4
"4510",1
"4511",9
"4512",2
"4547",3
"4550",2
"4552",3
"4553",1
"4560",5
"4561",1
"4565",2
"4590",3
"4609",1
"4726",4
"4728",4
"4730",5
"4732",2
"4735",5
"4736",4
"4737",3
"4751",3
"4752",3
"4754",2
"4762",2
"4810",29
"4811",15
"4840",2
"4841",3
"4844",2
"4877",1
"4901",6
"4914",2
"4920",2
"4926",2
"4930",10
"4955",2
"4965",4
"4966",1
"4976",2
"4977",1
"5200",26
"5201",6
"5202",12
"5204",9
"5205",8
"5206",3
"5207",4
"5208",2
"5209",10
"5210",25
"5211",12
"5212",13
"5213",8
"5216",2
"5217",11
"5218",10
"5219",16
"5220",6
"5232",27
"5233",22
"5234",2
"5235",3
"5237",6
"5238",1
"5240",17
"5241",12
"5245",14
"5246",10
"5249",7
"5250",26
"5251",2
"5253",14
"5254",37
"5256",27
"5258",13
"5259",5
"5260",8
"5262",22
"5265",7
"5267",4
"5277",8
"5282",2
"5288",27
"5289",6
"5290",1
"5293",2
"5294",1
"5302",1
"5319",6
"5321",1
"5323",3
"5327",2
"5328",1
"5333",1
"5340",12
"5341",3
"5343",4
"5347",29
"5348",1
"5350",7
"5354",8
"5355",1
"5356",11
"5357",6
"5359",11
"5361",4
"5362",6
"5363",4
"5364",6
"5366",5
"5367",2
"5368",5
"5371",5
"5380",2
"5392",3
"5395",1
"5396",2
"5403",6
"5404",5
"5405",26
"5406",15
"5407",3
"5408",2
"5409",1
"5410",2
"5415",1
"5416",16
"5417",4
"5418",21
"5422",1
"5425",14
"5431",7
"5432",15
"5436",6
"5438",5
"5441",6
"5442",1
"5443",1
"5444",9
"5448",14
"5449",7
"5452",3
"5454",4
"5455",3
"5459",12
"5460",2
"5463",3
"5464",1
"5465",16
"5466",2
"5469",9
"5474",10
"5475",7
"5477",4
"5478",4
"5479",1
"5480",5
"5481",10
"5483",4
"5484",3
"5486",4
"5487",14
"5489",8
"5490",7
"5491",1
"5492",7
"5495",1
"5498",10
"5500",5
"5501",1
"5502",4
"5506",2
"5507",2
"5508",16
"5509",2
"5510",4
"5511",1
"5512",3
"5515",14
"5517",9
"5518",8
"5519",1
"5520",13
"5521",13
"5522",6
"5523",3
"5524",3
"5525",5
"5526",12
"5527",1
"5528",5
"5530",7
"5531",5
"5532",2
"5533",3
"5534",15
"5535",5
"5536",4
"5537",2
"5538",7
"5539",4
"5540",10
"5541",8
"5542",12
"5543",8
"5544",6
"5545",10
"5546",8
"5547",1
"5548",4
"5550",3
"5558",3
"5559",2
"5560",2
"5569",2
"5571",15
"5573",7
"5574",13
"5575",10
"5576",9
"5577",3
"5578",7
"5579",4
"5583",2
"5585",8
"5587",21
"5590",12
"5591",2
"5594",12
"5595",12
"5596",1
"5597",11
"5598",7
"5603",1
"5605",2
"5606",1
"5607",1
"5628",2
"5629",7
"5632",2
"5634",1
"5636",14
"5637",5
"5639",7
"5640",10
"5641",4
"5642",2
"5643",7
"5644",3
"5645",6
"5646",1
"5648",3
"5654",5
"5655",3
"5658",3
"5659",2
"5666",1
"5667",1
"5668",2
"5669",10
"5671",10
"5673",2
"5674",3
"5676",10
"5677",8
"5678",7
"5679",16
"5683",14
"5684",2
"5685",9
"5686",5
"5687",1
"5688",12
"5689",3
"5690",2
"5691",2
"5692",3
"5693",11
"5694",2
"5697",6
"5698",3
"5699",2
"5700",3
"5701",1
"5702",3
"5703",1
"5706",4
"5707",4
"5708",3
"5709",4
"5710",8
"5711",4
"5712",7
"5713",10
"5715",3
"5721",17
"5725",6
"5726",2
"5727",3
"5731",9
"5736",4
"5738",16
"5739",12
"5740",15
"5742",6
"5745",20
"5752",6
"5761",2
"5762",2
"5769",6
"5770",15
"5771",4
"5772",2
"5776",7
"5777",11
"5781",12
"5782",8
